Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
ERYTHROBLAST	25/2316	0.0000000000238929888271071263737988400340279287505096394994552611024118959903717041015625	0.00000000246097784919203401973245479129014101626893307184218429028987884521484375	0.0000000000012976430834779112917246280877089294083885639974340620028669945895671844482421875	0.0000000001336572375982248594125656417755973297267768629126294399611651897430419921875	-1.7017805544248426	41.621189088709095	HEMGN;COL18A1;GYPA;ALAS2;GYPC;GYPB;GYPE;SMIM1;FAM83A;TMOD1;HBZ;HBG2;HBG1;TESC;UROS;HBA2;HBA1;KLF1;MYL4;FAM210B;SLC25A37;APOC1;HMBS;BLVRB;REEP6
CORD BLOOD	19/2316	0.00000130409797452883230892378522980390442853604326955974102020263671875	0.0000671610456882348687800143860471280277124606072902679443359375	0.000000176506035034053292360331694800523738564379527815617620944976806640625	0.000009090060804253744940368886506831813676399178802967071533203125	-1.6033342407960829	21.725177300836528	CSTB;HBZ;ALAS2;GYPC;HBG2;RPS8;HBG1;GYPB;TESC;GSTP1;HBA2;HBA1;KLF1;EEF1A1;FTH1;HMBS;CD7;BLVRB;HNRNPA1
CD34+ CELL	14/2316	0.001230415902290819644970820689877655240707099437713623046875	0.03168320948398860303907298430203809402883052825927734375	0.00034044299300177069921014005871029439731501042842864990234375	0.00876640706979559501677012889331308542750775814056396484375	-1.6611498199757495	11.130373295035906	HEMGN;GYPC;RPS8;GYPB;UROS;GSTP1;SMIM1;NCOA4;KLF1;EEF1A1;FTH1;TXNIP;FLOT2;HNRNPA1
PERIPHERAL BLOOD	14/2316	0.001230415902290819644970820689877655240707099437713623046875	0.03168320948398860303907298430203809402883052825927734375	0.00034044299300177069921014005871029439731501042842864990234375	0.00876640706979559501677012889331308542750775814056396484375	-1.5709831590276542	10.526220326380804	HEMGN;ALAS2;HBG2;HBG1;GYPB;TESC;HBA2;HBA1;KLF1;MYL4;SLC25A37;CD7;CHI3L2;TXNIP
ADRENAL GLAND	13/2316	0.0037206499832185039276788440787413492216728627681732177734375	0.076645389654301177007056367074255831539630889892578125	0.00118205808036927627509282689999281501513905823230743408203125	0.02435039645560709009597388785550720058381557464599609375	-1.5844939172815542	8.863432231065875	TMOD1;COL18A1;GYPA;ALAS2;HBG2;HBG1;TESC;HBA2;FAM210B;APOC1;APOE;REEP6;FAM83A
BONE MARROW (BULK TISSUE)	12/2316	0.0102457675216602768497597963914813590236008167266845703125	0.1507591506758583499436809916005586273968219757080078125	0.00373031165262589607667376156996397185139358043670654296875	0.054888871460066761265306212180803413502871990203857421875	-1.5754708332658045	7.217059504513988	HEMGN;EEF1A1;PRDX5;GYPC;RPS8;GYPB;GSTP1;FTH1;NCOA4;TXNIP;HNRNPA1;KLF1
SPLEEN (BULK TISSUE)	12/2316	0.0102457675216602768497597963914813590236008167266845703125	0.1507591506758583499436809916005586273968219757080078125	0.00373031165262589607667376156996397185139358043670654296875	0.054888871460066761265306212180803413502871990203857421875	-1.4175119891648902	6.493467323008833	COL18A1;GYPA;ALAS2;LBH;GYPB;GYPE;APOC1;CD7;CHI3L2;HBA2;APOE;HBA1
BLOOD DENDRITIC CELLS	10/2316	0.0579586293107885730524486689319019205868244171142578125	0.542703529001020257283016690053045749664306640625	0.02750684945406757508923334398787119425833225250244140625	0.257564135797178239695170987033634446561336517333984375	-1.5062590578484365	4.289864674340177	EEF1A1;CSTB;RPS8;GSTP1;FTH1;NCOA4;TXNIP;BLVRB;HNRNPA1;ZFP36L1
MIDBRAIN	10/2316	0.0579586293107885730524486689319019205868244171142578125	0.542703529001020257283016690053045749664306640625	0.02750684945406757508923334398787119425833225250244140625	0.257564135797178239695170987033634446561336517333984375	-1.429491120422558	4.071227607117727	EEF1A1;NARF;HBG2;RPS8;HBG1;TCF4;APOE;HNRNPA1;ZFP36L1;ZNF431
THYMUS (BULK TISSUE)	10/2316	0.0579586293107885730524486689319019205868244171142578125	0.542703529001020257283016690053045749664306640625	0.02750684945406757508923334398787119425833225250244140625	0.257564135797178239695170987033634446561336517333984375	-1.3725652516575204	3.9091012635788642	HBZ;ALAS2;LBH;HBG2;HBG1;CD7;CHI3L2;HBA2;HBA1;FAM83A
NATURAL KILLER CELLS	10/2316	0.0579586293107885730524486689319019205868244171142578125	0.542703529001020257283016690053045749664306640625	0.02750684945406757508923334398787119425833225250244140625	0.257564135797178239695170987033634446561336517333984375	-1.3343176608660487	3.800171137807987	LBH;GYPC;TESC;SMIM1;CD7;CHI3L2;FLOT2;REEP6;HBA1;KLF1
DENDRITIC CELL	9/2316	0.11828969194025142075421541676405468024313449859619140625	0.81225588465639309010413171563413925468921661376953125	0.0637715674249757780156500075463554821908473968505859375	0.43789809631816700719042501077638007700443267822265625	-1.3417759953609327	2.8641800593964346	EEF1A1;CSTB;RPS8;GSTP1;FTH1;TXNIP;BLVRB;CBL;ZFP36L1
VENTRICLE	9/2316	0.11828969194025142075421541676405468024313449859619140625	0.81225588465639309010413171563413925468921661376953125	0.0637715674249757780156500075463554821908473968505859375	0.43789809631816700719042501077638007700443267822265625	-1.226248871186083	2.617573705932784	TMOD1;MYL4;CNN1;COL18A1;ASAH1;LBH;TESC;TXNIP;HBA1
SUBCUTANEOUS ADIPOSE TISSUE	9/2316	0.11828969194025142075421541676405468024313449859619140625	0.81225588465639309010413171563413925468921661376953125	0.0637715674249757780156500075463554821908473968505859375	0.43789809631816700719042501077638007700443267822265625	-1.1888938727865042	2.537835029801468	COL18A1;HBZ;GYPC;GYPE;APOC1;HBA2;APOE;REEP6;HBA1
KIDNEY (BULK TISSUE)	9/2316	0.11828969194025142075421541676405468024313449859619140625	0.81225588465639309010413171563413925468921661376953125	0.0637715674249757780156500075463554821908473968505859375	0.43789809631816700719042501077638007700443267822265625	-1.1693818683528914	2.4961843413029188	EEF1A1;CSTB;SLC25A37;GUK1;RPS8;GSTP1;APOC1;HMBS;HNRNPA1
ATRIUM	8/2316	0.2171156022572823529603880388094694353640079498291015625	0.86011180894231087368240196155966259539127349853515625	0.1323189033561609495581734563529607839882373809814453125	0.5241864248340222243172092930763028562068939208984375	-1.2568616340562353	1.9196366200482908	TMOD1;MYL4;CNN1;COL18A1;SMIM1;HBA2;APOE;HBA1
HEART (BULK TISSUE)	8/2316	0.2171156022572823529603880388094694353640079498291015625	0.86011180894231087368240196155966259539127349853515625	0.1323189033561609495581734563529607839882373809814453125	0.5241864248340222243172092930763028562068939208984375	-1.1845232842626454	1.8091524254997724	TMOD1;MYL4;CNN1;COL18A1;ALAS2;TESC;HBA2;HBA1
CARDIAC MUSCLE FIBER	8/2316	0.2171156022572823529603880388094694353640079498291015625	0.86011180894231087368240196155966259539127349853515625	0.1323189033561609495581734563529607839882373809814453125	0.5241864248340222243172092930763028562068939208984375	-1.1417411586349413	1.743810201015281	TMOD1;MYL4;CNN1;COL18A1;LBH;SMIM1;APOE;REEP6
CEREBELLUM	8/2316	0.2171156022572823529603880388094694353640079498291015625	0.86011180894231087368240196155966259539127349853515625	0.1323189033561609495581734563529607839882373809814453125	0.5241864248340222243172092930763028562068939208984375	-1.1398149761661733	1.7408682937251294	ALAS2;HBG2;HBG1;GYPB;TCF4;HBA2;HBA1;FAM83A
ADIPOSE (BULK TISSUE)	8/2316	0.2171156022572823529603880388094694353640079498291015625	0.86011180894231087368240196155966259539127349853515625	0.1323189033561609495581734563529607839882373809814453125	0.5241864248340222243172092930763028562068939208984375	-1.1390947048861433	1.7397682051489092	COL18A1;HBZ;GYPC;GYPE;HBA2;APOE;REEP6;HBA1
BLOOD PBMC	8/2316	0.2171156022572823529603880388094694353640079498291015625	0.86011180894231087368240196155966259539127349853515625	0.1323189033561609495581734563529607839882373809814453125	0.5241864248340222243172092930763028562068939208984375	-1.0696135090392378	1.633647814217715	LBH;GYPC;CD7;CHI3L2;TXNIP;FLOT2;REEP6;FAM83A
RENAL CORTEX	8/2316	0.2171156022572823529603880388094694353640079498291015625	0.86011180894231087368240196155966259539127349853515625	0.1323189033561609495581734563529607839882373809814453125	0.5241864248340222243172092930763028562068939208984375	-0.9914063075547924	1.5141999737768164	COL18A1;HBZ;ALAS2;HBG2;HBG1;HBA2;HBA1;HNRNPA1
SPINAL CORD	8/2316	0.2171156022572823529603880388094694353640079498291015625	0.86011180894231087368240196155966259539127349853515625	0.1323189033561609495581734563529607839882373809814453125	0.5241864248340222243172092930763028562068939208984375	-0.9761650592149902	1.4909216290047573	COL18A1;HBZ;ALAS2;HBG2;HBG1;HBA2;HBA1;FAM83A
SPINAL CORD (BULK)	8/2316	0.2171156022572823529603880388094694353640079498291015625	0.86011180894231087368240196155966259539127349853515625	0.1323189033561609495581734563529607839882373809814453125	0.5241864248340222243172092930763028562068939208984375	-0.9423461816565519	1.4392692004071932	COL18A1;HBZ;ALAS2;HBG2;HBG1;HBA2;HBA1;FAM83A
VALVE	8/2316	0.2171156022572823529603880388094694353640079498291015625	0.86011180894231087368240196155966259539127349853515625	0.1323189033561609495581734563529607839882373809814453125	0.5241864248340222243172092930763028562068939208984375	-0.9327165245666129	1.4245615811375232	TMOD1;CNN1;COL18A1;CHI3L2;BLVRB;HBA2;APOE;HBA1
SMALL INTESTINE (BULK TISSUE)	8/2316	0.2171156022572823529603880388094694353640079498291015625	0.86011180894231087368240196155966259539127349853515625	0.1323189033561609495581734563529607839882373809814453125	0.5241864248340222243172092930763028562068939208984375	-0.9269725721975741	1.4157886971440519	CNN1;COL18A1;ALAS2;HBG2;HBG1;HBA2;REEP6;HBA1
GRANULOSA CELL	7/2316	0.35759616545162520306888609411544166505336761474609375	0.9978911988504624019924449385143816471099853515625	0.244735268157016794265956605158862657845020294189453125	0.76387068545977976352645555380149744451045989990234375	-0.8676405978888673	0.892239040689671	COL18A1;SMIM1;APOC1;HBA2;APOE;REEP6;HBA1
MYOFIBROBLAST	7/2316	0.35759616545162520306888609411544166505336761474609375	0.9978911988504624019924449385143816471099853515625	0.244735268157016794265956605158862657845020294189453125	0.76387068545977976352645555380149744451045989990234375	-0.742106601513596	0.7631460351614083	MYL4;CNN1;COL18A1;LBH;HBG2;HBG1;SMIM1
LUNG (BULK TISSUE)	7/2316	0.35759616545162520306888609411544166505336761474609375	0.9978911988504624019924449385143816471099853515625	0.244735268157016794265956605158862657845020294189453125	0.76387068545977976352645555380149744451045989990234375	-0.7099398158268989	0.730067290260579	COL18A1;LBH;APOC1;CHI3L2;HBA2;APOE;HBA1
PLACENTA (BULK)	7/2316	0.35759616545162520306888609411544166505336761474609375	0.9978911988504624019924449385143816471099853515625	0.244735268157016794265956605158862657845020294189453125	0.76387068545977976352645555380149744451045989990234375	-0.708207701221168	0.7282860685451104	ALAS2;HBG2;HBG1;GYPB;HBA2;HBA1;FAM83A
RESPIRATORY SMOOTH MUSCLE	7/2316	0.35759616545162520306888609411544166505336761474609375	0.9978911988504624019924449385143816471099853515625	0.244735268157016794265956605158862657845020294189453125	0.76387068545977976352645555380149744451045989990234375	-0.6642369524941134	0.6830687069346767	CNN1;COL18A1;LBH;FTH1;GYPE;SMIM1;CHI3L2
MACROPHAGE	7/2316	0.35759616545162520306888609411544166505336761474609375	0.9978911988504624019924449385143816471099853515625	0.244735268157016794265956605158862657845020294189453125	0.76387068545977976352645555380149744451045989990234375	-0.6499071866900964	0.668332678531449	CSTB;FTH1;PSAP;APOC1;CHI3L2;BLVRB;APOE
OMENTUM	7/2316	0.35759616545162520306888609411544166505336761474609375	0.9978911988504624019924449385143816471099853515625	0.244735268157016794265956605158862657845020294189453125	0.76387068545977976352645555380149744451045989990234375	-0.549943137295282	0.5655345524957326	TMOD1;CNN1;COL18A1;APOC1;HBA2;APOE;HBA1
MELANOCYTE	6/2316	0.52827230975586669803334416428697295486927032470703125	0.9978911988504624019924449385143816471099853515625	0.402285940414179865598498508916236460208892822265625	0.99541467041390474523865350420237518846988677978515625	-0.602948473421923	0.3847675828544011	FAM210B;COL18A1;ASAH1;GYPC;APOE;FAM83A
HEPATOCYTE	6/2316	0.52827230975586669803334416428697295486927032470703125	0.9978911988504624019924449385143816471099853515625	0.402285940414179865598498508916236460208892822265625	0.99541467041390474523865350420237518846988677978515625	-0.5576452988551914	0.3558576614564004	COL18A1;SMIM1;APOC1;BLVRB;APOE;REEP6
REGULATORY T CELLS	6/2316	0.52827230975586669803334416428697295486927032470703125	0.9978911988504624019924449385143816471099853515625	0.402285940414179865598498508916236460208892822265625	0.99541467041390474523865350420237518846988677978515625	-0.48563576636107514	0.30990525427475357	LBH;GYPC;CD7;CHI3L2;TXNIP;HBA2
