Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
ERYTHROBLAST	17/2316	0.0000000000177965093060420249336461638181309456545331482146821144851855933666229248046875	0.00000000169066838407399245593809079292457742127453457214869558811187744140625	0.00000000000157140077654686186655633268751258780943254322881585949289728887379169464111328125	0.000000000149283073771951867023483626748165710440563458405449637211859226226806640625	-1.7017805544248426	42.12250424981894	HEMGN;COL18A1;HBZ;GYPA;ALAS2;HBG2;HBG1;GYPB;SMIM1;HBE1;HBA2;HBA1;MYL4;SLC25A37;APOC1;BLVRB;REEP6
CORD BLOOD	11/2316	0.00002894058915720825649335774809589594269709778018295764923095703125	0.000687338992483696041742302629273808634025044739246368408203125	0.0000078601126207490938820054982016927169752307236194610595703125	0.0001866776747427909932501577383590074532548896968364715576171875	-1.6033342407960829	16.755268468022397	EEF1A1;HBZ;ALAS2;HBG2;HBG1;GYPB;HBE1;BLVRB;ANXA2R;HBA2;HBA1
PERIPHERAL BLOOD	11/2316	0.00002894058915720825649335774809589594269709778018295764923095703125	0.000687338992483696041742302629273808634025044739246368408203125	0.0000078601126207490938820054982016927169752307236194610595703125	0.0001866776747427909932501577383590074532548896968364715576171875	-1.6019500857396773	16.740803680218747	HEMGN;MYL4;SLC25A37;ALAS2;HBG2;HBG1;GYPB;CHI3L2;ANXA2R;HBA2;HBA1
SPLEEN (BULK TISSUE)	11/2316	0.00002894058915720825649335774809589594269709778018295764923095703125	0.000687338992483696041742302629273808634025044739246368408203125	0.0000078601126207490938820054982016927169752307236194610595703125	0.0001866776747427909932501577383590074532548896968364715576171875	-1.5135342071406996	15.816834276293092	COL18A1;GYPA;ALAS2;LBH;GYPB;APOC1;CHI3L2;ANXA2R;HBA2;APOE;HBA1
ADRENAL GLAND	10/2316	0.00017912930757677525948380614639887653538607992231845855712890625	0.0034034568439587297404569365966153782210312783718109130859375	0.0000570842902638847503565648622281258894872735254466533660888671875	0.00108460151501381016868330586788715663715265691280364990234375	-1.5844939172815542	13.670066980021174	COL18A1;GYPA;ALAS2;HBG2;HBG1;APOC1;HBE1;HBA2;APOE;REEP6
THYMUS (BULK TISSUE)	9/2316	0.00094602272023795188314598814116607172763906419277191162109375	0.01497869307043423782455082715614480548538267612457275390625	0.000351939593399575359998487922297272234573028981685638427734375	0.005572376895493276298398921397847516345791518688201904296875	-1.531291024913935	10.66275299866471	HBZ;ALAS2;LBH;HBG2;HBG1;CHI3L2;ANXA2R;HBA2;HBA1
SPINAL CORD	8/2316	0.00424845332504214696911493120978775550611317157745361328125	0.04484478509766710863093663874678895808756351470947265625	0.00183626021231057291738242298606564872898161411285400390625	0.0193827466855004924839445124007397680543363094329833984375	-1.5194221356476802	8.297868601452299	COL18A1;HBZ;ALAS2;HBG2;HBG1;HBE1;HBA2;HBA1
RENAL CORTEX	8/2316	0.00424845332504214696911493120978775550611317157745361328125	0.04484478509766710863093663874678895808756351470947265625	0.00183626021231057291738242298606564872898161411285400390625	0.0193827466855004924839445124007397680543363094329833984375	-1.4976391034875909	8.178907099993994	COL18A1;HBZ;ALAS2;HBG2;HBG1;HBE1;HBA2;HBA1
SPINAL CORD (BULK)	8/2316	0.00424845332504214696911493120978775550611317157745361328125	0.04484478509766710863093663874678895808756351470947265625	0.00183626021231057291738242298606564872898161411285400390625	0.0193827466855004924839445124007397680543363094329833984375	-1.487429110925372	8.123148285695173	COL18A1;HBZ;ALAS2;HBG2;HBG1;HBE1;HBA2;HBA1
ATRIUM	7/2316	0.016139996682128003591127907156987930648028850555419921875	0.095831230300135017419194127796799875795841217041015625	0.00806606370473615490179764009326390805654227733612060546875	0.04789225324687092222308848477041465230286121368408203125	-1.4948456595476918	6.168413079550794	MYL4;COL18A1;SMIM1;HBA2;APOE;HBA1;CRYM
