Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
CD71+_EarlyErythroid	8/553	0.0000001616375977137714524365665579030970633311881101690232753753662109375	0.0000030711143565616574904156461933713018197522615082561969757080078125	0.000000157162396332996281260666461380981484552421534317545592784881591796875	0.0000029860855303269292116037647577542202270706184208393096923828125	-1.964112659431209	30.714615149424006	HEMGN;MYL4;SLC25A37;HBZ;GYPA;ALAS2;GYPB;BLVRB
Liver	4/618	0.005864687394506860711185236567644096794538199901580810546875	0.055714530247815176322578878398417145945131778717041015625	0.006763971072285111622857112223528019967488944530487060546875	0.06425772518670856692235560103654279373586177825927734375	-1.7582631608012775	9.035373453434653	COL18A1;APOC1;APOE;REEP6
Leukemia_chronicMyelogenousK-562	2/124	0.0096261973391408260647406081034205271862447261810302734375	0.060965916481225235212804136608610861003398895263671875	0.010892992530837704301394097683441941626369953155517578125	0.06898895269530545826253131735938950441777706146240234375	-1.3249884555040463	6.15227518099009	HBZ;HBE1
CD105+_Endothelial	3/370	0.07212428853603015943551923783161328174173831939697265625	0.207121961583171587673035674015409313142299652099609375	0.07957502983135554541771483627599081955850124359130859375	0.221998870866838782234253812930546700954437255859375	-1.751292547085079	4.604786309726518	MYL4;GYPB;BLVRB
Bonemarrow	1/52	0.06060315380811474861300069960634573362767696380615234375	0.207121961583171587673035674015409313142299652099609375	0.06523763832798741557628119380751741118729114532470703125	0.221998870866838782234253812930546700954437255859375	-0.7577353222723644	2.124241525170747	SLC25A37
AdrenalCortex	1/106	0.11980505116617105876297699751376057974994182586669921875	0.28453699651965624894955908530391752719879150390625	0.1275720642032525942166643062591901980340480804443359375	0.302983652482724907795130775411962531507015228271484375	-0.8545868507215769	1.8133388063031781	APOC1
Leukemia_promyelocytic-HL-60	1/62	0.07184682969885379522079205116824596188962459564208984375	0.207121961583171587673035674015409313142299652099609375	0.0770884466064671591833956654227222315967082977294921875	0.221998870866838782234253812930546700954437255859375	-0.6720396208306451	1.7696273580799426	CHI3L2
Wholebrain	1/240	0.251668856050939970803170808721915818750858306884765625	0.478170826496785938974909413445857353508472442626953125	0.265781019312628596917846834912779740989208221435546875	0.5049839366939943285927938632084988057613372802734375	-1.268998891124106	1.7507630500319298	CRYM
Fetalliver	2/126	0.1408105634913243420225370527987251989543437957763671875	0.29726674514835138563029204306076280772686004638671875	0.1496494412593143141787521699370699934661388397216796875	0.3159265982141079565082009139587171375751495361328125	-0.8915900327449169	1.7478194383099814	HBZ;GYPB
FetalThyroid	1/66	0.076308091109589526457313013452221639454364776611328125	0.207121961583171587673035674015409313142299652099609375	0.08178905768778270413132958083224366419017314910888671875	0.221998870866838782234253812930546700954437255859375	-0.6658844701715001	1.7133049622456404	MYL4
Heart	1/415	0.395607830072054633685496582984342239797115325927734375	0.6263790642807531838798240642063319683074951171875	0.4154188234170579363535580341704189777374267578125	0.657746470410341732559800220769830048084259033203125	-1.2034029777371036	1.1159539535976362	MYL4
Placenta	1/405	0.38815338525652742784899373873486183583736419677734375	0.6263790642807531838798240642063319683074951171875	0.40770678032517315703131544069037772715091705322265625	0.657746470410341732559800220769830048084259033203125	-0.9883018181843822	0.9352840653721375	HBE1
CD33+_Myeloid	1/679	0.563705511919266211151580137084238231182098388671875	0.823877286651235163361661761882714927196502685546875	0.587932508144052068388418774702586233615875244140625	0.85928597344130686064289648129488341510295867919921875	-1.4438649216731592	0.8276570235803808	NEAT1
Fetallung	1/41	0.9999999999239903569758780577103607356548309326171875	1	1.0000000000031672442446506465785205364227294921875	1	-0.22692743427793716	0.00000000001724867327250143	MYL4
CD4+_Tcells	1/533	1.00000000000172750702631674357689917087554931640625	1	1.0000000000301707547833984790486283600330352783203125	1	-1.2375175299366785	-0.0000000000021378202281539064	LBH
Leukemialymphoblastic(MOLT-4)	1/118	1.000000000013522072350724556599743664264678955078125	1	1.0000000000273863154376385864452458918094635009765625	1	-0.3281852632212383	-0.0000000000044377448736891635	CHI3L2
CD19+_BCells(neg._sel.)	1/412	1.00000000000630162588777238852344453334808349609375	1	1.0000000000146271883494364374200813472270965576171875	1	-0.9811508295186047	-0.0000000000061828454670843116	LBH
Adipocyte	1/181	1.00000000003204103649068201775662600994110107421875	1	0.9999999999775555092895729103474877774715423583984375	1	-0.24900115249771848	-0.00000000000797825501327346	CHI3L2
Lymphoma_burkitts(Raji)	1/355	1.000000000010083933688065371825359761714935302734375	1	1.0000000000528419530354540256666950881481170654296875	1	-0.849980747076917	-0.00000000000857114948961268	CHI3L2
