Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
CORD BLOOD	82/2316	0.000000000000000000000000000000007115006166802503346335860499711646357395589929361663026226320828468125258007449462850819987824735335379955358803272247314453125	0.00000000000000000000000000000076130565984786787584785898384280038095273884780196132920016676262529353624145304034465109310758634819649159908294677734375	0.00000000000000000000000000000000000009509503681157563638957134406266101103620803575992826016565289846712941197586037091515509493276810115691688451988738961517810821533203125	0.0000000000000000000000000000000000101751689388385935113036197666102978903330828187313674025993726523967061379697928379838828120453053660554587622755207121372222900390625	-1.6335334090473463	120.91921011017831	CSF3R;IFITM2;MS4A3;ARPC1B;GMFG;LST1;DBI;LRMP;SAT1;CTSS;ACTB;LIMD2;PYCARD;LGALS1;ADGRE5;FCGRT;ARHGDIB;HYAL3;CFL1;CNTRL;COTL1;AP1S2;CD37;SH3BGRL3;B2M;TMSB10;GPSM3;CD53;CD52;SERPINB1;FCER1G;ATP6V0E1;PRKCB;RNASET2;PLAUR;RHOG;HLA-C;CYBA;COMMD6;VAMP8;TYROBP;DNAJC4;LCP1;PFDN5;SKAP2;ARHGEF6;PRR13;CFD;PXK;SELPLG;GLRX;ABRACL;STK4;HSD17B11;CORO1A;OAZ1;AIF1;ZFP36L2;SNX3;SH3BGRL;CREG1;PTK2B;NCKAP1L;S100A11;LAPTM5;IRF2BP2;APOBR;LYZ;DEF6;PSMB9;RPS27;ARPC2;LPCAT2;TPP1;PLP2;PTPN7;VIM;LAMTOR1;CLC;TPT1;MYO1F;MSRB1
DENDRITIC CELL	78/2316	0.000000000000000000000000000018117599997164397769395881099345803727018077339396408824949901497743703207891040329879928094669594429433345794677734375	0.000000000000000000000000000969291599848295233018531851771220087988661305800559408605913706327751881881849005395679341745562851428985595703125	0.000000000000000000000000000000000498670116056118624365290503108673229277324220714123375355769106519847250205641166337085061488476611657461035065352916717529296875	0.0000000000000000000000000000000266788512090023490549256343277720987377490212224756243662089522630201362642437946221495026488668145248084329068660736083984375	-1.6423261242384826	108.69024153364506	TNFAIP8;IFITM2;ARPC1B;GMFG;LST1;DBI;LRMP;SAT1;CTSS;ACTB;LIMD2;PYCARD;MILR1;LGALS1;FCGRT;ARHGDIB;CFL1;CNTRL;EFHD2;COTL1;AP1S2;CD37;SH3BGRL3;B2M;TMSB10;GPSM3;CD53;CD52;SERPINB1;FCER1G;ATP6V0E1;PRKCB;RNASET2;RHOG;HLA-C;CYBA;COMMD6;HLA-E;VAMP8;TYROBP;DNAJC4;TXNIP;LCP1;PFDN5;SKAP2;ARHGEF6;PRR13;FTL;SELPLG;GLRX;ABRACL;STK4;HSD17B11;CORO1A;OAZ1;AIF1;SNX3;CNN2;SH3BGRL;CREG1;NCKAP1L;S100A11;GSN;LAPTM5;APOBR;ARPC5;LYZ;DEF6;PSMB9;RPS27;ARPC2;TPP1;PLP2;VIM;TRIM38;LAMTOR1;TPT1;MYO1F
CD34+ CELL	77/2316	0.0000000000000000000000000001212002036207862360779559125652133833504263006861639557115977364687713592667807349645414660699316300451755523681640625	0.00000000000000000000000000432280726247470837678920562358529473814221585758234123838093538328485412360058237624116372899152338504791259765625	0.00000000000000000000000000000000398881114054752081911589190603796315383308105186653995051710314799897685300095594314838398641853700610226951539516448974609375	0.00000000000000000000000000000014226759734619490465361503942467344974019765357804418505717400356601372990199410868521201489755867441999725997447967529296875	-1.6611498199757495	106.77889155341893	CSF3R;IFITM2;MS4A3;ACSM3;ARPC1B;GMFG;LST1;LRMP;ICAM4;RCSD1;N4BP2L2;ACTB;LIMD2;PYCARD;ARHGDIB;CFL1;CNTRL;CD37;SH3BGRL3;B2M;GPSM3;CD53;CD52;PNISR;SERPINB1;PRKCB;RNASET2;NCOA4;RHOG;HLA-C;CYBA;COMMD6;RUNX1;TAPBP;HLA-E;VAMP8;ZEB2;ORAI3;DNAJC4;TXNIP;LCP1;SKAP2;ARHGEF6;PRR13;FTL;SELPLG;GPR85;ABRACL;HSD17B11;CORO1A;OAZ1;AIF1;ZFP36L2;GNAI2;SNX3;SH3BGRL;CREG1;PTK2B;NCKAP1L;RNF130;MBOAT7;LAPTM5;MSN;PNRC1;DEF6;PSMB9;RPS27;ARPC2;LPCAT2;TPP1;PTPN7;P4HB;LAMTOR1;CLC;YPEL3;ITM2B;TPT1
BLOOD DENDRITIC CELLS	75/2316	0.00000000000000000000000000504545986880808924589375772089842765157034207164061352755320961502590146503799406474399802391417324542999267578125	0.000000000000000000000000134966051490616376027587202718708079750551290766502729218016057909719680740767699944626656360924243927001953125	0.0000000000000000000000000000002369430424366389729946341686934137846982110506897568734239475627213623169861560322120574983983942729537375271320343017578125	0.0000000000000000000000000000063382263851800928012975703259896529054680798422627407547667578255534286506820730588973589192391955293715000152587890625	-1.6271830163310004	98.52806114595846	TNFAIP8;IFITM2;ARPC1B;GMFG;LST1;DBI;LRMP;N4BP2L2;SAT1;CTSS;ACTB;LIMD2;PYCARD;MILR1;LGALS1;FCGRT;ARHGDIB;CFL1;CNTRL;COTL1;AP1S2;CD37;SH3BGRL3;B2M;TMSB10;GPSM3;CD53;SMIM14;CD52;SERPINB1;FCER1G;ATP6V0E1;PRKCB;RNASET2;NCOA4;RHOG;HLA-C;CYBA;COMMD6;VAMP8;TYROBP;DNAJC4;TXNIP;LCP1;PFDN5;SKAP2;ARHGEF6;PRR13;FTL;SELPLG;GLRX;ABRACL;STK4;HSD17B11;CORO1A;OAZ1;AIF1;SNX3;CNN2;SH3BGRL;NCKAP1L;S100A11;LAPTM5;ARPC5;LYZ;PSMB9;RPS27;ARPC2;TPP1;PLP2;VIM;TRIM38;LAMTOR1;TPT1;MYO1F
BONE MARROW (BULK TISSUE)	67/2316	0.000000000000000000005724853431125159737447480071634396628267491558398981417606597721370320641653961502015590667724609375	0.000000000000000000122511863426078405591997536586488001145070794371705227669699933557012627716176211833953857421875	0.00000000000000000000000109103282349942586486639027407985262724579812261309326542692941662722472262458950353902764618396759033203125	0.0000000000000000000000233481024228877156387242627307049544163950535392404869264676111652312417987786830053664743900299072265625	-1.606120824185726	74.86044037979251	CSF3R;IFITM2;MS4A3;ACSM3;ARPC1B;GMFG;LST1;LRMP;ICAM4;RCSD1;N4BP2L2;ACTB;LIMD2;PYCARD;ARHGDIB;CFL1;CNTRL;CD37;SH3BGRL3;B2M;GPSM3;CD53;CD52;PNISR;SERPINB1;PRKCB;RNASET2;NCOA4;HLA-C;CYBA;COMMD6;RUNX1;TAPBP;HLA-E;VAMP8;ZEB2;TXNIP;LCP1;PFDN5;SKAP2;ARHGEF6;PRR13;FTL;ABRACL;HSD17B11;CORO1A;OAZ1;AIF1;ZFP36L2;SH3BGRL;CREG1;NCKAP1L;RNF130;ANKRD28;MBOAT7;LAPTM5;MSN;PNRC1;DEF6;PSMB9;RPS27;ARPC2;LPCAT2;TPP1;PTPN7;LAMTOR1;TPT1
NATURAL KILLER CELLS	44/2316	0.0000001521899645580230987565169102626594366256540524773299694061279296875	0.00000271405436795141169841979501831108478882015333510935306549072265625	0.0000000014722773192128115648703904383182324011603014923821319825947284698486328125	0.000000026255612192628473217048025857393855897470302807050757110118865966796875	-1.4588021073608404	22.90047435922839	COLGALT2;SELPLG;IFITM2;HVCN1;GMFG;LST1;LRMP;RCSD1;CORO1A;PPP1R18;LIMD2;PYCARD;LGALS1;ADGRE5;ARHGDIB;CFL1;EFHD2;PTK2B;CD37;SH3BGRL3;NCKAP1L;TMSB10;GPSM3;CD53;CD52;G6PD;FCER1G;USP20;LAPTM5;RHOG;APOBR;HLA-C;DEF6;TAPBP;PSMB9;HLA-E;VAMP8;TYROBP;ORAI3;DNAJC4;PTPN7;LCP1;MYO1F;MSRB1
TLYMPHOCYTE	42/2316	0.00000111112754780832514943356668923879482235861360095441341400146484375	0.0000169843782307843986522678803030572680654586292803287506103515625	0.000000015072313877239596088666035290752620579013409951585344970226287841796875	0.000000230391083552090964529823389171647729511960278614424169063568115234375	-1.4898744217573825	20.426379826898007	TNFAIP8;SELPLG;IFITM2;BTG1;ARPC1B;GMFG;GPR85;ABRACL;STK4;CORO1A;PPP1R18;ACTB;LIMD2;ARHGDIB;CFL1;CD37;SH3BGRL3;B2M;TMSB10;S100A11;GPSM3;CD53;CD52;ATP6V0E1;PRKCB;LAPTM5;MSN;HLA-C;ARPC5;COMMD6;DEF6;TAPBP;PSMB9;HLA-E;VAMP8;RPS27;ARPC2;PTPN7;TRIM38;LCP1;PFDN5;PRR13
NEUTROPHIL	40/2316	0.000007173561738283342823613818184380619413786916993558406829833984375	0.000076757110599631772109019411942654187441803514957427978515625	0.0000001363658823543827963115462366394670112867970601655542850494384765625	0.00000145911494119189576171486712186098344545825966633856296539306640625	-1.5755316373758859	18.662342829114234	CFD;SELPLG;CSF3R;IFITM2;MS4A3;HVCN1;LST1;LRMP;KIAA1551;CORO1A;SAT1;AIF1;PPP1R18;CTSS;ADGRE5;EFHD2;GPSM3;CD53;ARL11;G6PD;FCER1G;PRKCB;MBOAT7;RNASET2;LAPTM5;PLAUR;APOBR;HLA-C;DEF6;TMEM154;HLA-E;TYROBP;LPCAT2;NINJ1;LCP1;CLC;YPEL3;MYO1F;SKAP2;MSRB1
MACROPHAGE	41/2316	0.00000286754646242695018855156825765551076301562716253101825714111328125	0.0000383534339349604573425091269545106342775397934019565582275390625	0.00000004605113103938695128073497878952446971112522078328765928745269775390625	0.0000006159338776518005006767905555598030531427866662852466106414794921875	-1.3180777007649043	16.821378509919448	CFD;TNFAIP8;SELPLG;LST1;ICAM4;SAT1;AIF1;PPP1R18;CTSS;PLD3;MILR1;LACTB;SCPEP1;LGALS1;FCGRT;CREG1;HYAL3;EFHD2;NCKAP1L;S100A11;GPSM3;CD53;G6PD;GSN;FCER1G;IL10RB;RNASET2;LAPTM5;PLAUR;RHOG;APOBR;CYBA;LYZ;DEF6;TYROBP;TNNT1;NINJ1;VIM;LCP1;MYO1F;FTL
PERIPHERAL BLOOD	40/2316	0.000007173561738283342823613818184380619413786916993558406829833984375	0.000076757110599631772109019411942654187441803514957427978515625	0.0000001363658823543827963115462366394670112867970601655542850494384765625	0.00000145911494119189576171486712186098344545825966633856296539306640625	-1.3851815987555143	16.407626012265577	CFD;SELPLG;CSF3R;MS4A3;HVCN1;LST1;LRMP;KIAA1551;CORO1A;PPP1R18;CTSS;LIMD2;ADGRE5;ARHGDIB;EFHD2;PTK2B;NCKAP1L;GPSM3;CD53;CD52;ARL11;FCER1G;PRKCB;RNASET2;LAPTM5;APOBR;HLA-C;CYBA;LYZ;DEF6;TMEM154;HLA-E;DUSP22;TYROBP;TXNIP;LCP1;CLC;YPEL3;MYO1F;MSRB1
