Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
neutrophil degranulation (GO:0043312)	31/480	0.00000000000000000083149247728712439311604160959817455787577128409844887634017052135959602310322225093841552734375	0.0000000000000005486591778314953025840437229857071272987845372663684440084352900157682597637176513671875	0.00000000000000001735990825220845364807998798948008763861912311988501544934848652701475657522678375244140625	0.000000000000011075382052766740443107681777276795721264598774957743643199137295596301555633544921875	-2.017759863206646	84.00149141712886	CFD;CD63;MS4A3;BRI3;HVCN1;GMFG;LRMP;CTSS;PYCARD;CNN2;ADGRE5;CREG1;COTL1;NCKAP1L;ACAA1;B2M;S100A11;CD53;SERPINB1;GSN;FCER1G;RNASET2;PLAUR;RHOG;CYBA;ARPC5;LYZ;VAMP8;TYROBP;LAMTOR1;FTL
neutrophil mediated immunity (GO:0002446)	31/488	0.000000000000000001336020725239030854320389726966519308556455915924635925728924945588005357421934604644775390625	0.0000000000000005486591778314953025840437229857071272987845372663684440084352900157682597637176513671875	0.0000000000000000269692744791397885993392926822677150871789971092566673416257572171161882579326629638671875	0.000000000000011075382052766740443107681777276795721264598774957743643199137295596301555633544921875	-1.9433908023111874	79.98381670175229	CFD;CD63;MS4A3;BRI3;HVCN1;GMFG;LRMP;CTSS;PYCARD;CNN2;ADGRE5;CREG1;COTL1;NCKAP1L;ACAA1;B2M;S100A11;CD53;SERPINB1;GSN;FCER1G;RNASET2;PLAUR;RHOG;CYBA;ARPC5;LYZ;VAMP8;TYROBP;LAMTOR1;FTL
neutrophil activation involved in immune response (GO:0002283)	31/484	0.0000000000000000010551809610350387383299917210162787357972755204120300642767205090422066859900951385498046875	0.0000000000000005486591778314953025840437229857071272987845372663684440084352900157682597637176513671875	0.000000000000000021659131667797760182316977627267457706822496608174873078400679560218122787773609161376953125	0.000000000000011075382052766740443107681777276795721264598774957743643199137295596301555633544921875	-1.2503658091452805	51.75616611516655	CFD;CD63;MS4A3;BRI3;HVCN1;GMFG;LRMP;CTSS;PYCARD;CNN2;ADGRE5;CREG1;COTL1;NCKAP1L;ACAA1;B2M;S100A11;CD53;SERPINB1;GSN;FCER1G;RNASET2;PLAUR;RHOG;CYBA;ARPC5;LYZ;VAMP8;TYROBP;LAMTOR1;FTL
regulation of viral entry into host cell (GO:0046596)	6/27	0.0000000850968739208158036799886322389119275300117806182242929935455322265625	0.00002620983716761126811577164996691635678871534764766693115234375	0.0000004478677751840606582008400514405277448304332210682332515716552734375	0.0001379432747566906695968480534020272898487746715545654296875	-1.8876404640470024	30.729796755645882	SNX3;GSN;IFITM2;LGALS1;P4HB;TRIM38
antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent (GO:0002480)	3/10	0.00006809325933477674360101705719472420241800136864185333251953125	0.00645314580772653363649471458529660594649612903594970703125	0.00019472116755937386831272484233323893931810744106769561767578125	0.0171354627452248997609984826340223662555217742919921875	-2.3170081835467857	22.230841630384212	HLA-C;B2M;HLA-E
antigen processing and presentation of peptide antigen via MHC class I (GO:0002474)	5/29	0.000004091340915877332570587364413139397356644622050225734710693359375	0.000720076001194410613738539073125366485328413546085357666015625	0.000012767204782427062268964669533577449556105420924723148345947265625	0.0022470280417071632032832706471481287735514342784881591796875	-1.7373446967872141	21.5546063682847	FCER1G;HLA-C;B2M;TAPBP;HLA-E
erythrocyte development (GO:0048821)	2/8	0.00192217323043181328133532925761528531438671052455902099609375	0.0696505123497645206587236543782637454569339752197265625	0.00349767360238197912158941704774406389333307743072509765625	0.1244501997721461916679430714793852530419826507568359375	-3.3980015566758364	21.25211720170475	G6PD;NCKAP1L
negative regulation of viral entry into host cell (GO:0046597)	3/16	0.000306122950486628782849896079909512991434894502162933349609375	0.0209524152777514800771729852613134426064789295196533203125	0.000633996125425865283790904936012111647869460284709930419921875	0.042845393397891451403580731494002975523471832275390625	-2.429339416570327	19.65705755619549	SNX3;GSN;IFITM2
antigen processing and presentation of endogenous peptide antigen (GO:0002483)	2/7	0.00144967377795138913608441466607246184139512479305267333984375	0.059533269814537041753066404226046870462596416473388671875	0.0028148081360523566872566814112133215530775487422943115234375	0.11186592334246785174212135416382807306945323944091796875	-2.9556101260929397	19.319099471368503	B2M;HLA-E
actin filament polymerization (GO:0030041)	3/19	0.000519922097052957603302569822290024603717029094696044921875	0.029115637434965625784943910048241377808153629302978515625	0.00098777301619845138402897788409973145462572574615478515625	0.05531528890711327750562276150958496145904064178466796875	-2.5249715025953843	19.093409224129477	GSN;AIF1;MSRB1
regulation of T cell cytokine production (GO:0002724)	3/14	0.00020146985478209909780668296352956758710206486284732818603515625	0.01551317881822163007032866488543731975369155406951904296875	0.00045084630953130095352976436373637625365518033504486083984375	0.034715165833910176240717504470012499950826168060302734375	-2.227750990427422	18.957873084905113	CLC;B2M;TRPM4
antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590)	8/79	0.00000034492404773334075447134040859342718476909794844686985015869140625	0.000084989285361495157835980129856778830799157731235027313232421875	0.00000117841071241792342625255389509941750247890013270080089569091796875	0.000290360399539776295636805958366721824859268963336944580078125	-1.263364289400724	18.798786840312022	VAMP8;FCER1G;HLA-C;CYBA;B2M;TAPBP;PSMB9;HLA-E
regulation of cytokine production involved in immune response (GO:0002718)	2/7	0.00144967377795138913608441466607246184139512479305267333984375	0.059533269814537041753066404226046870462596416473388671875	0.0028148081360523566872566814112133215530775487422943115234375	0.11186592334246785174212135416382807306945323944091796875	-2.8666029957761876	18.737311775802755	CLC;TRPM4
interleukin-12-mediated signaling pathway (GO:0035722)	5/47	0.000046739568137340342548861904514723164538736455142498016357421875	0.004924223674472596838647131534116851980797946453094482421875	0.000104654720189842622107660730090827883032034151256084442138671875	0.011721328661262374326579305261475383304059505462646484375	-1.8787348089643963	18.73271348299564	CNN2;CFL1;MSN;P4HB;LCP1
positive regulation of viral entry into host cell (GO:0046598)	3/9	0.00004796321760849932302507581116657320308149792253971099853515625	0.004924223674472596838647131534116851980797946453094482421875	0.00015078376749966715571205089219120054622180759906768798828125	0.0154107260667412683530219652539017261005938053131103515625	-1.8467633849294627	18.366202476864217	LGALS1;P4HB;TRIM38
positive regulation of lymphocyte migration (GO:2000403)	3/18	0.000440556276904760339696576210144485230557620525360107421875	0.02584596824507927326219913766180980019271373748779296875	0.000858741334467514878629745833649167252588085830211639404296875	0.050379491622094201008774660976996528916060924530029296875	-2.2479204612072805	17.37074324015773	PYCARD;PTK2B;AIF1
microglial cell activation (GO:0001774)	2/8	0.00192217323043181328133532925761528531438671052455902099609375	0.0696505123497645206587236543782637454569339752197265625	0.00349767360238197912158941704774406389333307743072509765625	0.1244501997721461916679430714793852530419826507568359375	-2.7503066870550334	17.201239928537763	CLU;AIF1
Arp2/3 complex-mediated actin nucleation (GO:0034314)	3/21	0.000704816128337920080014489254693899056292138993740081787109375	0.0367811797580436528054548261934542097151279449462890625	0.0012811556575394243522036941129726983490400016307830810546875	0.06576599042035712050502382908234721980988979339599609375	-2.2401636359675465	16.258152464161572	ARPC2;ARPC1B;ARPC5
actin polymerization or depolymerization (GO:0008154)	4/37	0.0002614053841679115481287654088049521305947564542293548583984375	0.018944201958521589279627050927956588566303253173828125	0.00050337630527770051147573582284167059697210788726806640625	0.0364799769471839396839385472048888914287090301513671875	-1.9359298544795034	15.970333615769595	GSN;CFL1;AIF1;MSRB1
antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)	7/76	0.00000363731437875209553882535802593611862221223418600857257843017578125	0.000720076001194410613738539073125366485328413546085357666015625	0.000010026479342744374541611558637743684130327892489731311798095703125	0.0020587704250435118029372016934530620346777141094207763671875	-1.252427165365444	15.685729657961792	VAMP8;HLA-C;CYBA;B2M;TAPBP;PSMB9;HLA-E
regulation of T cell mediated immunity (GO:0002709)	2/9	0.0024576618053290676287059302040916008991189301013946533203125	0.07967998274119503232526540159597061574459075927734375	0.0042496362234297029025764658172192866913974285125732421875	0.1367676485119624085751155462276074104011058807373046875	-2.564353020014717	15.408030174750333	CLC;TRPM4
regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway (GO:2001267)	2/10	0.0030550539418066069430324205313809216022491455078125	0.090310775690424283101975788667914457619190216064453125	0.0050694067146599373907545071915592416189610958099365234375	0.14524439703397773460125108613283373415470123291015625	-2.642389683495717	15.301967755029732	GSN;PLAUR
actin nucleation (GO:0045010)	3/25	0.00118900623196847355679539592898663613595999777317047119140625	0.052316274206612833896912206910201348364353179931640625	0.0020195721995147964712702393086374286212958395481109619140625	0.0888611767786510464706140055568539537489414215087890625	-2.224869505317749	14.983689424983924	ARPC2;ARPC1B;ARPC5
negative regulation of stem cell differentiation (GO:2000737)	2/11	0.003713277738137755849823218312621975201182067394256591796875	0.097766310511843979025314865793916396796703338623046875	0.0059557131778404832911366639791594934649765491485595703125	0.15611571564041437643055587614071555435657501220703125	-2.669783352667638	14.93968129058072	N4BP2L2;ZFP36L2
myeloid cell activation involved in immune response (GO:0002275)	2/12	0.004431274802145802708952526671737359720282256603240966796875	0.10109871400451163336864368602618924342095851898193359375	0.006907300895300305144941521717782961786724627017974853515625	0.1575887907964810541461275761321303434669971466064453125	-2.74793889467452	14.891267649297498	PYCARD;FCER1G
positive regulation of tumor necrosis factor superfamily cytokine production (GO:1903557)	4/33	0.0001662764328515482022304017295510902840760536491870880126953125	0.0136568376848738258499960096514769247733056545257568359375	0.0003376034951441386484753681695991645028698258101940155029296875	0.0277285004011719217464904119196944520808756351470947265625	-1.7078815546658719	14.861744300587654	PYCARD;CYBA;CLU;HLA-E
cellular response to interleukin-12 (GO:0071349)	5/47	0.000046739568137340342548861904514723164538736455142498016357421875	0.004924223674472596838647131534116851980797946453094482421875	0.000104654720189842622107660730090827883032034151256084442138671875	0.011721328661262374326579305261475383304059505462646484375	-1.4643432082361396	14.600848203679643	CNN2;CFL1;MSN;P4HB;LCP1
