Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
WholeBlood	39/514	0.00000000001092052610665722498506173476174601504919137173743592938990332186222076416015625	0.00000000054602630533286120724782125687886413789584594269399531185626983642578125	0.000000000270845816708225644822631633659650203516111588442072388716042041778564453125	0.0000000135422908354112825513243113903678882525838389483396895229816436767578125	-1.988637135104711	50.19395094361471	SELPLG;CSF3R;IFITM2;LST1;GLRX;HSD17B11;AIF1;CTSS;LIMD2;LACTB;ARHGDIB;EFHD2;COTL1;SH3BGRL3;S100A11;GPSM3;CD53;G6PD;IL10RB;MBOAT7;NCOA4;PLAUR;RHOG;HLA-C;ARPC5;PNRC1;PSMB9;HLA-E;TYROBP;ARPC2;CCPG1;NINJ1;TXNIP;TRIM38;LCP1;YPEL3;MYO1F;SKAP2;PRR13
CD33+_Myeloid	26/679	0.0000652047539887715588320660220489344283123500645160675048828125	0.00163011884971928891659154192694813900743611156940460205078125	0.0003651270729792494636363475724039062697556801140308380126953125	0.0071280345965278012199117796399150392971932888031005859375	-2.291867896280086	22.08897277063681	BRI3;ARPC1B;AIF1;CTSS;GNAI2;AKAP13;SCPEP1;SH3BGRL;OS9;CREG1;COTL1;AP1S2;METTL9;RNF130;TLE4;SERPINB1;IL10RB;RNASET2;PLAUR;LYZ;RUNX1;TYROBP;TPP1;TRIM38;TKT;SKAP2
CD14+_Monocytes	21/383	0.000104918636496353846927764852381415039417333900928497314453125	0.00174864394160589744879608087302358399028889834880828857421875	0.0004276820757916680558474720186268314137123525142669677734375	0.0071280345965278012199117796399150392971932888031005859375	-1.8996592356816246	17.40529606396174	ARL11;SERPINB1;FCER1G;BRI3;ARPC1B;LST1;GLRX;AIF1;CTSS;PYCARD;TYROBP;ORAI3;EFHD2;COTL1;AP1S2;PTK2B;SH3BGRL3;TRIM38;TKT;RNF130;GPSM3
CD19+_BCells(neg._sel.)	11/412	0.136996701214375349309193552471697330474853515625	1	0.215458629474133578352024187552160583436489105224609375	1	-1.6753014049681392	3.3301615062097025	SNX3;CNN2;CD52;PXK;TNFAIP8;BTG1;PRKCB;CD37;TRIM38;RCSD1;LIMD2
Leukemia_chronicMyelogenousK-562	3/124	0.08794503577322017318085300985330832190811634063720703125	0.8794503577322017040529544829041697084903717041015625	0.12381705850168735205674153121435665525496006011962890625	1	-1.2056484612168261	2.930983557287534	ACSM3;HEPH;DSCR8
Bonemarrow	2/52	0.07152989055123371020528111330349929630756378173828125	0.8794503577322017040529544829041697084903717041015625	0.09526524204925253258569028957936097867786884307861328125	1	-0.7577353222723644	1.998632894639213	MS4A3;CLC
BDCA4+_DendriticCells	7/495	0.407387758034682689878280825723777525126934051513671875	1	0.52972783336946360766006591802579350769519805908203125	1	-1.5386291070170872	1.3816732820079398	VAMP8;SELPLG;RNASET2;CYBA;TPP1;NCKAP1L;SKAP2
SmoothMuscle	8/363	0.368032158950492738203053022516542114317417144775390625	1	0.4726421784168637341139174168347381055355072021484375	1	-1.26702574998976	1.2664998787810884	LACTB;LGALS1;ATP6V0E1;TPM4;FNDC3B;PLAUR;WIPI1;TMSB10
Fetallung	1/41	0.294093104697801255298372780089266598224639892578125	1	0.334312382993391998819987520619179122149944305419921875	1	-0.5729827089545757	0.7012499759427273	WSB1
TrigeminalGanglion	3/196	0.494923244758835256806861480072257108986377716064453125	1	0.57115073003730898459906484276871196925640106201171875	1	-0.9402098686329138	0.6612990458045487	HEPH;RUNX1;TAPBP
CD71+_EarlyErythroid	5/553	0.5026277622954922197351379509200341999530792236328125	1	0.62794945516073286118086116402992047369480133056640625	1	-0.9609331727844679	0.661031135934189	SNX3;MARCH2;NCOA4;ICAM4;WIPI1
PrefrontalCortex	5/521	0.64523461208475774153470183591707609593868255615234375	1	0.74946998801074904417163224934483878314495086669921875	1	-0.8516153458513844	0.3731278450716651	PXK;WSB1;LMO4;AAK1;PTK2B
Thyroid	4/388	0.6398863955165190464668967251782305538654327392578125	1	0.73093929688992453908014113039826042950153350830078125	1	-0.8311184525325824	0.371064988564752	GSN;ID1;ITM2B;ZFP36L2
Adrenalgland	1/65	0.42447461645355966108894563149078749120235443115234375	1	0.472729782286370248112206127188983373343944549560546875	1	-0.41574500857581004	0.3562531747507303	ALAS1
Leukemia_promyelocytic-HL-60	1/62	0.409587270588780694158259620962780900299549102783203125	1	0.457127517921173287529512663240893743932247161865234375	1	-0.3967422290169902	0.3541342097699933	LRMP
CD4+_Tcells	8/533	0.66284587926022531245706659319694153964519500732421875	1	0.76513944775922271279711139868595637381076812744140625	1	-0.8597957490962213	0.35355899631187854	AKAP13;USP20;TXNIP;MALAT1;N4BP2L2;DEF6;ZFP36L2;ARHGEF6
FetalThyroid	1/66	0.429353662824480453163999982280074618756771087646484375	1	0.47783100489260832421933855584939010441303253173828125	1	-0.4030487157978052	0.3407673352110898	ATP6V0E1
Thymus	1/68	0.438988741064744558695309706308762542903423309326171875	1	0.487886985132144068710857709447736851871013641357421875	1	-0.3021921049887795	0.24878917341580534	PTPN7
CardiacMyocytes	3/273	0.67405129795750140520027571255923248827457427978515625	1	0.74632134975934893983406936968094669282436370849609375	1	-0.5636070392243608	0.2223142675285003	ATP6V0E1;TPM4;FNDC3B
Spinalcord	2/105	0.5907195098928397225535036341170780360698699951171875	1	0.64280936994768345105200069156126119196414947509765625	1	-0.33182045865862514	0.1746749272213295	MARCKSL1;SLC44A1
AdrenalCortex	2/106	0.59419618254961392711521739329327829182147979736328125	1	0.64627542814389571379507515302975662052631378173828125	1	-0.3094660782723936	0.1610912488724735	ALAS1;RUNX1
CD56+_NKCells	7/752	0.76608089412485746994008195542846806347370147705078125	1	0.860490614621097105185754116973839700222015380859375	1	-0.5710173083478886	0.152157559700145	AKAP13;EFHD2;TXNIP;MSN;NCKAP1L;STK4;HLA-E
Lymphoma_burkitts(Daudi)	1/139	0.693839677647319685860338722704909741878509521484375	1	0.74370661459412712446237492258660495281219482421875	1	-0.31678451798484997	0.11578928946160112	LRMP
Fetalbrain	3/325	0.763424294299976491373627141001634299755096435546875	1	0.826849846531314991437966455123387277126312255859375	1	-0.3570632151585133	0.09638611396759214	ANKRD28;ZEB2;TUBA1A
pineal_day	5/694	0.8422125922894085903180894092656672000885009765625	1	0.90940051452309289548026072225184179842472076416015625	1	-0.3176594959879206	0.05454938181567176	OS9;CCPG1;ROGDI;AAK1;N4BP2L2
Lymphoma_burkitts(Raji)	3/355	0.80473962967170320492726887096068821847438812255859375	1	0.86217176029883935139963568872190080583095550537109375	1	-0.220527597689348	0.0479066424353537	DUSP22;MARCKSL1;TKT
CD8+_Tcells	3/602	0.887244846130851527732374961487948894500732421875	1	0.93492960077416398245730988492141477763652801513671875	1	-0.04476430458346879	0.00535534607753933	USP20;N4BP2L2;DEF6
SuperiorCervicalGanglion	4/602	0.887244846130851527732374961487948894500732421875	1	0.93492960077416398245730988492141477763652801513671875	1	-0.007501179723684313	0.0008973983575517316	HEPH;MBOAT7;AIF1;RUNX1
Hypothalamus	1/97	1.000000000116599618849022590438835322856903076171875	1	1.000000000086515239416939948569051921367645263671875	1	1.4179286067721337	0.0000000001653299350951177	SLC44A1
Pituitary	1/84	1.000000000102083230757443743641488254070281982421875	1	1.000000000092777785454245531582273542881011962890625	1	1.3824736112745166	0.0000000001411273726686097	PLD3
Uterus	1/201	1.00000000008043787858014184166677296161651611328125	1	1.00000000004184119717365319957025349140167236328125	1	1.6477766649276409	0.00000000013254365929530988	AKAP13
Trachea	1/72	1.0000000000582482950761686879559420049190521240234375	1	1.0000000000360256269260617045802064239978790283203125	1	1.5150568972225757	0.00000000008824948120403498	LYZ
TemporalLobe	1/34	0.999999999971662223430257654399611055850982666015625	1	0.999999999979395592930586644797585904598236083984375	1	1.0186290764179522	-0.000000000028865683175383928	MBOAT7
colon	2/258	0.999999999964544361574780850787647068500518798828125	1	0.99999999999661071115042432211339473724365234375	1	1.378950653521455	-0.000000000048891575778343103	HEPH;TRPM4
BronchialEpithelialCells	1/280	0.999999999956597829253723830333910882472991943359375	1	0.9999999999647355419796213027439080178737640380859375	1	1.284658193204855	-0.00000000005575695425328975	SAT1
721_B_lymphoblasts	7/1543	0.9998598590366143401553244984825141727924346923828125	1	0.99997972105027665978838058435940183699131011962890625	1	0.7517599994655282	-0.0001053597533410163	TPM4;PTK2B;DBI;PTPN7;LCP1;ACTB;PSMB9
SkeletalMuscle	2/441	0.889926765210271586425960776978172361850738525390625	1	0.93015154299863966880224097621976397931575775146484375	1	0.09096834782107695	-0.010608374485074514	TNNT1;RUNX1
Wholebrain	1/240	0.87112808926998075431669121826416812837123870849609375	1	0.90487259704089562095674637021147646009922027587890625	1	0.16245208556092042	-0.022412905525575226	LMO4
Placenta	3/405	0.8595511953767018820116163624334149062633514404296875	1	0.9067712223666852811021499292110092937946319580078125	1	0.15328275440582106	-0.023198561879588582	AIM1;FNDC3B;GLRX
Heart	1/415	0.97152617816678621398551740639959461987018585205078125	1	0.98322548907125340011958769537159241735935211181640625	1	0.8969090116368983	-0.025909068376640355	CFD
CD34+	4/645	0.9129773399500937802741873383638449013233184814453125	1	0.95246802451997891747481617130688391625881195068359375	1	0.2978416801977962	-0.027116762869439346	SERPINB1;MS4A3;IRF2BP2;RUNX1
Prostate	2/249	0.88071703673584555982500887694186531007289886474609375	1	0.9129456215418281228579644448473118245601654052734375	1	0.25315460060346895	-0.03215541606792633	ID1;TRPM4
CiliaryGanglion	1/278	0.90704514909243683096207178095937706530094146728515625	1	0.93461055867450670842089266443508677184581756591796875	1	0.3892995622252615	-0.037981253282572396	CLU
AtrioventricularNode	1/269	0.899561207102668181079252462950535118579864501953125	1	0.92853267990012244847974898220854811370372772216796875	1	0.3770636924491061	-0.039911506423707215	C10ORF11
Adipocyte	2/181	0.78624653633203045455246638084645383059978485107421875	1	0.8301191676631145544007495118421502411365509033203125	1	0.16614640626861657	-0.03995569795558649	TPM4;DBI
Liver	4/618	0.8975211415270509807129428736516274511814117431640625	1	0.94205220481146134670069614003296010196208953857421875	1	0.4978418286902925	-0.053825962972294465	FCGRT;P4HB;ACAA1;FTL
pineal_night	5/674	0.92720757302641543251553457594127394258975982666015625	1	0.9617080929240644504574220263748429715633392333984375	1	0.7740080379226595	-0.05849783967336874	OS9;CCPG1;ROGDI;AAK1;DSCR8
TestisGermCell	1/314	0.9318289387216249775036658320459537208080291748046875	1	0.954202296843855268804190927767194807529449462890625	1	0.8346203184401937	-0.058929221639295995	DNAJC4
Colorectaladenocarcinoma	1/292	0.917599666042531847409691181383095681667327880859375	1	0.94306086310207015710460609625442884862422943115234375	1	0.6947478150764	-0.059744197184265956	PLP2
Lung	4/299	0.92242113467574193830245121716870926320552825927734375	1	0.94687016095140419391640307367197237908840179443359375	1	0.8623862500888969	-0.06964061972820806	AKAP13;GSN;BRI3;MYH9
