,x,y,color,cluster
AHR_FEV,109.72302,105.418076,#db5784,4
AHR_KLF1,90.44394,103.1338,#57b9db,0
AHR_NegCtrl0,110.79518,107.40161,#cccccc,-1
ARID1A_NegCtrl0,112.05031,108.03636,#cccccc,-1
ARRDC3_NegCtrl0,109.911285,117.39437,#cccccc,-1
ATL1_NegCtrl0,109.159,113.73348,#b9db57,11
BAK1_NegCtrl0,94.807045,103.26296,#cccccc,-1
BCL2L11_BAK1,93.77637,103.71831,#cccccc,-1
BCL2L11_NegCtrl0,95.61707,105.799286,#cccccc,-1
BCL2L11_TGFBR2,97.066284,106.75261,#cccccc,-1
BCORL1_NegCtrl0,113.05469,110.57606,#cccccc,-1
BPGM_NegCtrl0,112.03338,118.120964,#cccccc,-1
BPGM_SAMD1,112.70338,118.27827,#b9db57,11
BPGM_ZBTB1,113.87769,117.86752,#cccccc,-1
CBARP_NegCtrl0,106.40356,110.451996,#cccccc,-1
CBFA2T3_NegCtrl0,111.2846,102.40195,#cccccc,-1
CBL_CNN1,111.49948,118.91056,#b9db57,11
CBL_NegCtrl0,109.937454,116.70213,#cccccc,-1
CBL_PTPN12,112.13798,120.0691,#b9db57,11
CBL_PTPN9,108.7371,117.56748,#b9db57,11
CBL_TGFBR2,110.86739,117.88512,#cccccc,-1
CBL_UBASH3A,111.44032,118.15464,#cccccc,-1
CBL_UBASH3B,111.02563,116.76113,#b9db57,11
CDKN1A_NegCtrl0,104.98829,117.34592,#57db5f,3
CDKN1B_CDKN1A,105.03283,117.71571,#57db5f,3
CDKN1B_NegCtrl0,104.52086,117.22172,#57db5f,3
CDKN1C_CDKN1A,104.380936,117.481674,#57db5f,3
CDKN1C_CDKN1B,104.27268,118.0967,#57db5f,3
CDKN1C_NegCtrl0,105.44003,117.2753,#57db5f,3
CEBPA_NegCtrl0,116.155014,101.98794,#db9457,6
CEBPB_CEBPA,117.00553,101.658035,#db9457,6
CEBPB_MAPK1,104.63466,101.30467,#db5f57,7
CEBPB_NegCtrl0,114.40115,101.30062,#db9457,6
CEBPB_OSR2,114.01027,100.165375,#cccccc,-1
CEBPB_PTPN12,112.84374,101.60966,#cccccc,-1
CEBPE_CEBPA,116.6838,101.99533,#db9457,6
CEBPE_CEBPB,116.032585,101.335014,#db9457,6
CEBPE_CNN1,112.17564,102.434235,#cccccc,-1
CEBPE_KLF1,89.7214,104.080376,#57b9db,0
CEBPE_NegCtrl0,113.80123,102.46419,#db9457,6
CEBPE_PTPN12,112.377464,103.46781,#cccccc,-1
CEBPE_RUNX1T1,112.776405,102.8574,#db9457,6
CEBPE_SPI1,115.37733,103.235596,#db9457,6
CELF2_NegCtrl0,113.86949,102.02736,#cccccc,-1
CITED1_NegCtrl0,112.64612,108.84144,#cccccc,-1
CKS1B_NegCtrl0,110.22572,118.68892,#cccccc,-1
CLDN6_NegCtrl0,107.43104,113.21197,#cccccc,-1
CNN1_MAPK1,102.94876,102.74926,#cccccc,-1
CNN1_NegCtrl0,110.31098,119.343605,#cccccc,-1
CNN1_UBASH3A,111.56379,118.401505,#b9db57,11
CNNM4_NegCtrl0,110.79789,117.695,#cccccc,-1
COL1A1_NegCtrl0,106.39447,102.846115,#dbc957,2
COL2A1_NegCtrl0,105.79408,102.907616,#dbc957,2
CSRNP1_NegCtrl0,93.2864,105.143974,#cccccc,-1
DLX2_NegCtrl0,112.356346,113.61264,#cccccc,-1
DUSP9_ETS2,108.03457,110.141045,#5784db,8
DUSP9_IGDCC3,107.58287,111.85036,#5784db,8
DUSP9_KLF1,106.907135,109.20765,#5784db,8
DUSP9_MAPK1,107.05148,109.484024,#cccccc,-1
DUSP9_NegCtrl0,107.186485,110.51737,#5784db,8
DUSP9_PRTG,106.85221,111.697395,#5784db,8
DUSP9_SNAI1,113.90309,112.05809,#5f57db,12
EGR1_NegCtrl0,110.14942,108.25346,#cccccc,-1
ELMSAN1_NegCtrl0,93.30829,104.615364,#c957db,1
ETS2_CEBPE,114.43093,102.4338,#db9457,6
ETS2_CNN1,109.831276,119.97378,#cccccc,-1
ETS2_IGDCC3,99.5392,105.7249,#57dbc9,5
ETS2_IKZF3,109.19664,106.93253,#84db57,13
ETS2_MAP7D1,105.28492,102.82717,#cccccc,-1
ETS2_MAPK1,103.95056,101.73628,#db5f57,7
ETS2_NegCtrl0,103.71893,100.92219,#cccccc,-1
ETS2_PRTG,99.88668,106.39787,#57dbc9,5
FEV_CBFA2T3,109.69401,105.66276,#db5784,4
FEV_ISL2,109.173996,105.22043,#db5784,4
FEV_MAP7D1,107.68224,104.08006,#cccccc,-1
FEV_NegCtrl0,108.887794,104.4367,#db5784,4
FOSB_CEBPB,116.33273,102.814255,#db9457,6
FOSB_CEBPE,115.62812,101.859764,#db9457,6
FOSB_IKZF3,108.22503,107.2692,#84db57,13
FOSB_NegCtrl0,113.670235,101.41999,#cccccc,-1
FOSB_OSR2,114.166756,99.6752,#cccccc,-1
FOSB_PTPN12,111.53118,119.45708,#cccccc,-1
FOSB_UBASH3B,113.17223,102.20224,#cccccc,-1
FOXA1_FOXF1,115.96131,108.31002,#5f57db,12
