	AHR	ARID1A	ARRDC3	ATL1	BAK1	BCL2L11	BCORL1	BCR	BPGM	C19orf26	C3orf72	CBFA2T3	CBL	CDKN1A	CDKN1B	CDKN1C	CEBPA	CEBPB	CEBPE	CELF2	CITED1	CKS1B	CLDN6	CNN1	CNNM4	COL1A1	COL2A1	CSRNP1	DLX2	DUSP9	EGR1	ELMSAN1	ETS2	FEV	FOSB	FOXA1	FOXA3	FOXF1	FOXL2	FOXO4	GCH1	GLB1L2	HES7	HK2	HNF4A	HOXA13	HOXB9	HOXC13	IER5L	IGDCC3	IKZF3	IRF1	ISL2	JUN	KIAA1804	KIF18B	KIF2C	KLF1	KMT2A	LHX1	LYL1	MAML2	MAP2K3	MAP2K6	MAP4K3	MAP4K5	MAP7D1	MAPK1	MCOLN3	MEIS1	MIDN	NCL	NIT1	OSR2	PEG10	PIK3CB	PLEKHO2	PLK4	POU3F2	PRDM1	PRTG	PTPN1	PTPN12	PTPN13	PTPN9	RHOXF2	RREB1	RUNX1T1	S1PR2	SAMD1	SET	SGK1	SLC38A2	SLC4A1	SLC6A9	SNAI1	SPI1	STIL	TBX2	TBX3	TGFBR2	TMEM173	TMSB4X	TP73	TSC22D1	UBASH3A	UBASH3B	ZBTB1	ZBTB10	ZBTB25	ZC3HAV1	ZNF318
AHR	2.07624856418	-0.821761578346	0.149728859344	-0.27875095274	-0.442400391644	-0.0720995494719	-0.352299289439	-2.76443397001	0.723488819669	0.16504450978	-0.3783523726	-1.19004772458	-1.05683906213	0.168499680174	1.17235772587	-0.517928941369	-0.962229950557	-0.477001127416	-0.879851262231	-1.92825961602	0.00412837989402	-0.0369354521879	0.669398445871	0.232152604935	-0.268164360318	0.0532751124328	-0.355635165407	3.12096279014	-0.838314495189	-0.961273692011	-0.420299828396	-3.2021641798	-3.5002349734	-1.4555060167	-1.81733320967	-0.0910425318432	-0.618488346374	-1.66214984498	-0.584950243911	-0.0976174318193	1.05347111517	-0.00639351692858	1.61350118268	1.1492589926	1.15192901186	-0.255955485834	-0.493255380142	-0.545835675778	-1.61681947769	-0.896149212812	-0.312555404316	-1.61565081913	1.25446872592	-0.600204202355	-0.623814920711	0.0313221461016	-0.730380704578	5.42830533177	-1.35619211522	-1.45694406231	-0.282964415602	0.422653341134	0.210397173182	-0.598585155163	0.0790471090318	1.23162585579	-0.686768768126	-3.8174524594	-0.350039568972	-1.94407459504	0.434326003451	-2.51690503912	-0.0158093688847	-0.496507054786	1.46318196833	1.06496881964	0.408720232998	-0.856813239307	-2.22777744276	-0.207300865627	-0.134469260666	0.122803202408	0.385618563191	0.899828415535	-0.357230494861	-1.63030072733	0.739754296149	-1.55682632087	-0.198617101806	-0.650277626368	-0.565091981585	1.07976858369	-2.3366152922	0.131973516651	-1.52705544787	1.2418322714	0.343510457885	0.45820663	3.17944765724	3.03241617839	-0.375573879259	-0.0185413030787	0.634090374083	0.206978298618	0.312254030977	-0.0521953406385	-0.763119084406	0.468555131913	0.116996836322	2.41230156963	2.12309294452	-1.80585653729
ARID1A	-0.821761578346	1.56520896499	0.0797843166504	-0.476073586786	-0.904955307575	0.878216851513	-1.0861273509	0.308987022898	-1.20488729068	0.110600215365	-0.155950689598	-1.75085219252	-0.339155772398	-0.339390787275	-0.547793694122	0.260663161339	-0.400217277551	0.415566708718	1.41898163633	1.02097459593	-0.644959270669	-0.696714867604	0.359040200285	0.20823727001	-0.707032451491	0.358530176495	-0.755028280823	1.07420162752	-1.71625477414	0.665391330734	0.0108730882593	-0.52762723057	-2.2150184722	1.19128102775	0.331759623644	-0.720236556664	-0.79014349364	-1.15765535172	-0.627565525336	0.504540670656	1.17727963968	0.965210365739	1.39920026823	0.446117478559	0.548746409854	0.202243685539	-0.793139096749	0.91959056976	0.491585879234	0.5622605514	-0.742925537799	0.977398227788	0.958766543966	-0.312112772349	-0.177261054979	0.846031608345	0.87125206779	1.77083130506	-0.745466775571	-0.566095874795	0.658736087947	1.03624384372	1.43686663385	0.660370025892	-0.791451221119	-0.150943822647	-0.541151665626	-1.13294393379	-0.0563561780104	-0.775053054524	-0.0288260434019	-2.01795918322	0.463520830113	1.59412663072	0.783850003045	1.15307522705	-0.022889625976	1.45782651324	-0.776206001778	-0.100091703248	-1.19781960161	-0.674033726196	-0.77112080217	0.465463137607	-0.731491087879	-0.290826999165	-0.249731380632	-1.38414347536	-1.20618066018	-0.5564659978	-0.136420894443	1.24745691969	0.458680723438	-0.405409771991	-0.279316601199	0.431432867705	0.0642375909491	0.595544406908	-0.830608480169	-1.45784771603	0.95734314941	0.179299695366	-0.128770021276	0.598897136491	-0.299325110082	0.0811023488289	-0.814862898621	0.046169780143	-0.468950791108	0.0147008141041	0.923885030237	-0.598871814457
ARRDC3	0.149728859344	0.0797843166504	0.0249852975816	0.140326966928	1.4253824401	0.170647356045	-1.10488990595	-0.170483910806	-0.924721481529	-0.125720433454	-0.160394913468	-0.24349450257	0.372635577638	-0.255179691509	-0.285643345002	0.252597410858	0.213762454265	0.192979813194	0.301637638179	0.415626580212	-1.34477449658	-0.307671781121	-0.0462752829847	0.611041501575	-1.61584160721	0.246335739089	1.17003333663	-0.0487830885746	-0.745681722049	-0.521336643192	-1.06283115794	0.365601948262	-2.22528727214	1.68689801545	0.203293613631	-0.728965113194	-0.747305246426	-0.696185178938	-1.02030465204	-0.11479141854	-0.81493135326	-0.459869862329	1.08050269089	-0.899265291877	-0.290812488399	-0.399084667111	-0.577612726819	1.25848068957	-0.171495833081	-0.469296177852	-0.853299036017	-1.24517837457	0.128982035672	0.441758194848	0.432683579748	0.754710984036	0.398535244462	0.507626083703	-0.838696796232	-0.969685802449	-0.342866878746	1.668572785	0.447802385094	0.227967668043	-0.387225817806	-1.74558361865	1.0292676769	-1.6685710338	-0.654453153092	-0.366746890042	0.0571466715402	-0.448855033759	-0.822273519322	0.178389441891	1.23502393064	0.928811101091	-0.283835310628	0.86695899198	0.722768490924	-1.94278391787	-2.19315294279	-0.179690842226	0.399835573254	-1.28685967304	-0.369313371246	0.188400873145	-0.605463528598	-1.74261539185	-1.61248828268	-1.23381595327	-0.84216888253	0.39879164045	7.52586458974	-1.17147829978	1.49665156667	1.08772304357	-0.159235668768	-0.385969460268	-1.55960525926	-2.27220306183	0.129639189085	0.985282293214	-1.00565753379	1.69183080523	-0.0847994405085	-0.315842558036	0.77650913075	-0.117979078792	0.217842832026	-0.313488656168	-0.834474521532	0.94992276224
ATL1	-0.27875095274	-0.476073586786	0.140326966928	2.70119000826	0.384509074885	-1.02699604583	0.123083193672	-2.24583174434	-0.342322607189	-1.53909951927	0.358443420985	-0.126157678999	-0.382781270635	-0.590959666059	0.358350355229	0.3659267141	0.0749490864805	0.0858299068969	-0.402232346193	0.157272004167	-0.680387116277	-0.249604632188	-0.697004908226	-1.65814756117	-1.29272803798	0.497905270124	0.142080050463	1.15904832989	0.0620910955014	-0.0470482360382	1.06730272577	2.66646138152	0.488165700081	1.11645579487	-0.374143741106	-0.919455506685	-1.0276724144	-1.1946261573	-0.968154970126	0.891683169178	-0.896627417423	0.495362257558	1.22661713698	-2.52432974728	0.263941926784	-0.471516988794	-0.735335445318	-0.0714339674295	0.377660860498	0.457188376046	-0.442540964485	2.285053941	1.04903701856	-0.0795238529605	-0.416079628247	0.67735330668	-0.727591071185	-3.62513747566	0.625786097954	-0.823095270569	-3.43294006068	1.32606509816	1.0993645943	1.12195157135	-1.38389627542	-1.75611687771	-0.642115734764	1.79479962889	1.21543570407	-0.733480228286	-0.106803892684	-3.23600796267	-0.649081666476	-1.00645445901	1.35014639668	0.886994458837	-0.764698838866	-0.0419328886698	-1.1582697476	0.370931110811	-0.345382413316	-0.150894323383	0.159310928346	-0.512828153563	-0.507531093415	-0.0220687525559	-0.871985895172	-1.81109163539	-1.91072322915	1.18479726439	0.384858157243	-1.78491273352	2.32504206162	-0.323539884548	3.30251714938	0.839301705551	0.355459511962	0.648884256929	-3.56956587171	-3.35286919992	-3.80958249874	-0.409187953104	-2.21152488422	0.248447439565	-2.64564293896	0.628084822293	6.95950621207	-0.648533089585	-0.628977553755	-0.94079950058	0.889445187255	0.782144182507
BAK1	-0.442400391644	-0.904955307575	1.4253824401	0.384509074885	1.21739697295	3.51203192457	0.0100046928176	-0.792771467684	0.83357486341	-0.233788069132	0.518579163447	-0.904656369858	1.17370841566	0.292586232545	-0.321230279554	0.667466684235	0.593420783239	-0.190519308784	-1.28920147256	0.368623523449	-0.236208715489	2.95336538595	0.753459328759	3.38144894709	-0.296549927902	1.230446486	0.60135664195	-4.8085958537	-1.68816026205	-0.464813411547	1.92634408221	3.04999139769	-3.56694529489	1.37795226114	-0.181044876623	1.00375043103	0.836719425376	0.509347029107	0.150655382193	-0.551107062914	0.150036676296	-0.0772085376056	0.744762080839	-4.99931538778	0.163024690633	-0.913615076582	0.57078792466	-0.310424464063	-0.0900450019898	0.414859388479	0.394636188508	0.382011241777	0.778860711399	-1.25260995994	0.527240543009	-0.20731680363	-1.64248789277	4.33721930741	1.70687494129	-0.413219730024	-2.62483607948	-0.736649954896	-1.36419673694	-1.03973316152	-0.910270262751	0.566622198103	-3.56692302492	-0.668015989886	-0.400531085772	2.68544733438	-0.650462554066	-0.453844236743	-0.184887083526	-0.600893939331	-0.703432425	-0.100491621863	-0.595044446404	-0.636896857577	2.26375457262	0.605927568038	0.227758412646	0.186752679795	2.48094154125	0.422282429892	0.72486781651	-0.274687661488	-0.713342421125	-3.71785433794	2.10530189158	2.01241686274	0.595287286114	-0.443720681392	-3.38808589222	0.32778158118	1.19656756271	1.18797735997	1.01772115787	0.764055001374	-2.49032321227	-3.29260637982	-1.07358510549	0.0462541440684	6.86799175049	1.12018153314	1.91555526378	0.724162733588	1.03919893011	1.0140884043	-0.378398559013	6.27625716042	-4.37625820162	-0.711687659057
BCL2L11	-0.0720995494719	0.878216851513	0.170647356045	-1.02699604583	3.51203192457	1.10490873747	-0.339916552311	2.69635901776	-0.646563149779	0.0834521577326	-0.84469991425	-1.67489887837	-2.52592222324	1.4411386985	1.15427495329	0.730584244099	-0.108886763591	-0.613439117819	-2.01763516052	-0.828033518995	0.120044049466	2.34813476356	-0.0025057996173	-1.90610552525	1.40291167282	2.52858520625	-2.55247495541	-2.03993489634	-0.757402836887	0.594196795757	1.34678978993	2.92660259004	-2.28124131343	1.52964254535	-0.65109604593	2.0376577898	1.88452066386	1.24147943151	1.28938352654	0.696764384971	0.749365742342	-0.73938497663	0.644716017489	-3.53307662875	-0.519480641312	-0.437174392944	1.16962253999	-0.814135698272	-0.22152204208	-1.48573534621	0.307769457608	-4.12760361703	0.660330856242	-1.05162795858	-0.500783908446	-1.63237456969	0.275037187831	4.48364591519	-0.0406742088476	1.26601143863	0.973335932121	1.32929986545	-1.79025430587	0.320709329392	1.15452146835	0.390550798749	0.447243019085	-0.889644023487	0.652966230476	1.99996854122	0.549116002416	0.385368399785	-0.502883653482	0.0775273958231	0.422026339317	0.778777131035	-0.0441281794399	0.465969469836	2.11509642985	0.377666150066	-0.165438073798	-1.47613896141	-0.879233829241	0.790730145694	-1.94864849694	0.243928834834	0.411480985424	-1.73602117506	1.88896690197	0.370764322167	1.16864533018	0.667147255473	-0.107346645265	0.558890482287	0.600321091169	0.308092339574	0.791717124651	1.20864750864	-0.651726701413	-3.7704111073	-6.80079331823	-0.590703221367	2.88460437716	0.0494347123674	0.805412523058	-0.627547367207	-2.23310973651	0.0521445078418	1.2467801968	0.375919912055	0.186222600202	1.58085283629
BCORL1	-0.352299289439	-1.0861273509	-1.10488990595	0.123083193672	0.0100046928176	-0.339916552311	0.643406046168	1.14177696569	0.00806297102085	1.50740406905	-0.0212571087617	-0.845016480663	-0.914125506345	2.23003621829	0.994202991459	0.170987372228	0.677593755603	3.83386997102	4.27763517859	1.52462447158	-0.0273949614247	0.55909691275	1.67685972424	2.26401385437	0.529905751728	0.461389251761	0.426476448793	0.667779920195	2.25568763905	-0.324798471359	-0.791602182829	1.88878608031	-1.37070231967	-2.34009747686	2.24755538669	2.41948393312	1.98944742346	1.33028943468	1.01561193879	-2.01066585096	0.00866505117958	0.843836204968	-0.262150452443	-0.328732615881	0.063906887783	2.64156297879	0.694395555194	-0.522626363725	1.07267404925	-1.71684921519	-4.05024611963	-1.4213099819	0.0790694664738	-0.868246659724	1.80432062001	0.429892031141	0.983364365588	1.38551135707	0.0108863222187	-0.772038728404	1.77091245643	1.54622046616	3.65415182716	3.02831648469	0.710418813929	1.6758522486	0.217783238669	-1.01470318016	0.693061807919	-0.783613129719	0.0592641003976	-0.374464599453	1.53712895929	3.35529736218	-0.0403888192796	1.51995050648	0.843294671876	1.39289370241	-0.801717109884	-3.71346414832	-2.5289375266	-4.58744521089	-1.74531947881	1.47206598648	-1.2865764937	0.828172753032	2.20069748869	1.2294405927	2.30286159902	0.628527666301	-0.381731356492	1.92789104159	0.0709387489702	-0.625208249181	-0.297436643905	1.25652140821	0.688525144641	0.409780281666	1.50566716611	1.86216290083	-1.6175057022	0.658596564976	0.443005721734	-0.891926573582	0.00441488092473	-0.343845617689	-1.73535845454	0.542242682611	2.08285496534	0.777355983002	1.63334391839	-0.953536437552
BCR	-2.76443397001	0.308987022898	-0.170483910806	-2.24583174434	-0.792771467684	2.69635901776	1.14177696569	-1.89474643818	2.03788779636	1.13761301366	-1.16949013645	-1.3962386685	1.82995732066	0.207054596966	-0.608280633457	-0.283169873515	-0.441027165155	0.36060590765	2.08305695971	0.279727909109	-0.1046305567	2.24726340031	1.8130582613	1.349817486	0.481688297205	0.462250539927	-1.03905075574	1.35637434136	-1.29238303478	1.66366210001	1.16005023226	0.409215856629	-0.518433165579	-0.313409691222	-1.02360670339	-1.07102894288	0.144693517844	-0.820705656052	-0.541554434097	1.08923543536	0.911144986913	0.133961496724	0.0278842771001	2.29831050646	-0.300469513951	0.349038723803	-1.72631260989	0.748779681578	0.260227250854	1.79470847765	2.65046502727	-0.605046266782	-1.55229155773	0.158398398018	1.16890349066	-0.96501484852	-1.01622474427	-0.0436776852383	0.713423640365	-0.167433644367	2.80584480091	1.24826161194	0.501820347411	0.70327162738	0.712028208187	0.224802876851	-2.81568380814	-0.0542015361249	-0.461786537439	0.113060663815	-0.770039474289	1.95705172663	-0.518804981759	-0.538974614418	-0.581305450783	0.0217514919189	1.65578883135	-0.67701942929	0.139097003052	0.401514818696	0.559547309182	2.9992415679	2.73333871634	0.841429863899	2.80762536228	0.913813583544	-0.341959484071	1.23422390502	0.626877192325	1.6071228176	-0.430708645744	2.96323364589	0.743976641237	-0.902383194462	0.587004464474	0.0627318624045	0.63915766769	-1.60928101475	1.37271930783	1.76013908979	0.592566712995	0.251970163837	0.368170218208	0.464927398706	0.764726356375	1.19911274259	2.59905526967	1.37180279595	0.196302750682	5.77554249717	0.517189091086	0.292005297563
BPGM	0.723488819669	-1.20488729068	-0.924721481529	-0.342322607189	0.83357486341	-0.646563149779	0.00806297102085	2.03788779636	0.448892501928	0.659606854153	0.220537400946	-0.479873085644	-2.73976268891	1.19875486985	0.875727951281	-0.227902533174	0.812083594996	1.75491644963	1.73841097154	1.2691785246	0.631781751663	-0.497718288871	-0.424383372517	-1.50394367832	0.976307131887	-0.285531029312	0.722460283308	0.21276459374	1.30943369324	-0.861999251113	1.70670287802	0.745196786418	1.44521451123	0.259555898952	1.88003946628	0.544809137235	0.533147578861	1.55272632308	1.83944552866	0.0799655761722	-0.265814252767	0.401877215871	1.52514750811	-3.08442172181	1.0421810801	1.58382788931	0.634747869474	0.404500358733	0.0861391500564	-2.8977553285	-2.78158006046	-1.76979322137	0.739026040405	-0.292569348743	0.284188385188	1.49291819263	0.831728398147	0.544899430334	-1.43517262515	-0.402408663068	-1.01967223348	1.56744875718	1.4703404988	1.76729225587	0.4662314241	0.549155578376	1.96037136808	1.17880352246	-0.0438044514876	0.442781329567	-0.565434050827	0.765238742496	0.790557347144	2.20644517807	0.693262684142	0.721795718403	0.420986806299	1.89102619179	1.27818851461	-1.48759592233	-0.812477071798	-1.96315816854	-2.2260340579	0.864099658641	-1.23751996266	0.605414561868	1.97819960864	0.918460189672	0.956431797676	-0.114532044261	-1.60820637361	0.404032855127	1.74889166372	-0.562610409706	1.35371756679	1.63216878451	0.611483042828	2.16661385487	0.0441039291877	-1.39768687909	-2.92644379738	0.554549198217	0.709496090708	-0.943316754987	0.479934283612	-1.31353056637	-3.28434085103	-0.336079633363	0.183600952863	-2.81885592013	1.33004442144	0.470388227532
C19orf26	0.16504450978	0.110600215365	-0.125720433454	-1.53909951927	-0.233788069132	0.0834521577326	1.50740406905	1.13761301366	0.659606854153	0.0682247636454	-0.882887160324	-0.138517748709	-2.76983910962	0.221920052307	0.986609026057	0.623447209969	0.0766056537845	0.643986889804	-0.783565754965	-0.0712328509084	0.642986278282	-0.766566238428	-0.33897690507	-1.42364630681	-0.232898624045	1.02116177746	-1.1780275271	0.890733063032	0.0384950383056	-2.11420952217	0.604317071818	1.54333499249	2.67945256914	1.16301638836	-0.227174419236	-2.08621840817	-1.24485533844	-0.337293935746	-0.602829641505	0.208262597915	-0.414847878025	-0.135869271762	1.23481951045	-0.47455028013	0.938515971131	1.055179333	0.0194921077815	-1.23998369645	-0.0879799632918	-2.56170068402	-1.30598739404	0.437595928312	0.506132102467	-1.16711346849	-0.933103016648	1.3848890301	0.946896387198	-3.83942651786	-0.683560867653	0.922261412133	-0.408725145203	0.487057262638	1.489613232	1.31860871812	-0.518357392868	-0.432081463679	1.31895936157	2.07216133917	-0.823043624009	-0.739862430233	-1.42523945444	-0.919607383865	1.32481366165	1.10504168699	1.51109126627	0.308208398904	-0.800411733869	0.87109837266	-2.44489980259	-1.73133847333	-1.78533593953	0.089399034024	0.094838847297	0.0191304204051	0.880213052928	-1.00301687164	-0.192884364858	1.29062534522	-0.611106823044	-0.265697200452	-0.616490868944	-1.22888136331	0.76579426153	-0.89761725537	2.3618534519	0.114032262633	0.733263915554	1.52763480195	-0.821339733256	-2.61653229562	-4.4805984414	-0.638403793701	0.472299759232	0.965050240867	-0.551732487672	-0.107359826612	-0.938809821857	0.273975512283	-1.93195261654	-1.53505554521	2.3089486012	-1.35663121242
