	AHR_-_17338164.23-P1P2	ARID1A_+_27022167.23-P1P2	ARRDC3_-_90679309.23-P1P2	ATL1_+_50999374.23-P1P2	BAK1_-_33548176.23-P1P2	BCL2L11_+_111878321.23-P1	BCORL1_+_129116290.23-P1P2	BPGM_+_134331476.23-P1P2	C19orf26_+_1238161.23-P1P2	C3orf72_-_138665944.23-P1P2	CBFA2T3_+_89043662.23-P2	CBL_-_119076622.23-P1P2	CDKN1A_+_36646320.23-P1P2	CDKN1B_+_12869867.23-P1P2	CDKN1C_-_2907198.23-P1P2	CEBPA_+_33793774.23-P1P2	CEBPB_+_48807216.23-P1P2	CEBPE_+_23588994.23-P1P2	CELF2_+_11059740.23-P1P2	CITED1_+_71526082.23-P1	CKS1B_-_61808483.23-ENST00000600888.1	CLDN6_-_3068282.23-P1P2	CNN1_-_11649410.23-P1	CNNM4_-_97426363.23-P1P2	COL1A1_+_48279052.23-P1P2	COL2A1_+_48398427.23-P1P2	CSRNP1_+_39196217.23-P1P2	DLX2_-_172967845.23-P1P2	DUSP9_+_152912501.23-P1	EGR1_+_137800818.23-P1	ELMSAN1_-_74227099.23-P1	ETS2_+_40177604.23-P1P2	FEV_+_219850574.23-P1P2	FOSB_+_45971009.23-P1	FOXA1_-_38064583.23-P1P2	FOXA3_+_46367435.23-P1P2	FOXF1_+_86544016.23-P1P2	FOXL2_+_138666046.23-P1P2	FOXO4_-_70315963.23-P1P2	GLB1L2_+_134201679.23-P1P2	HES7_-_8027539.23-P1P2	HK2_+_75060993.23-P1P2	HNF4A_+_43029788.23-P1P2	HOXA13_+_27239889.23-P1P2	HOXB9_+_46704211.23-P1P2	HOXC13_+_54332230.23-P1P2	IER5L_+_131940785.23-P1P2	IGDCC3_+_65670566.23-P1P2	IKZF3_-_38020571.23-P1P2	IRF1_+_131826642.23-P1P2	ISL2_-_76628853.23-P1P2	JUN_+_59249990.23-P1P2	KIAA1804_-_233463315.23-P1P2	KIF18B_-_43025293.23-P1P2	KIF2C_-_45205402.23-P1P2	KLF1_+_12998353.23-P1P2	KMT2A_+_118306901.23-P1P2	LHX1_+_35293972.23-P1P2	LYL1_-_13213808.23-P1P2	MAML2_-_96076530.23-P1P2	MAP2K3_-_21187855.23-P1P2	MAP2K6_+_67410755.23-P1P2	MAP4K3_+_39664622.23-P1P2	MAP4K5_-_50999552.23-P1P2	MAP7D1_+_36621468.23-P1P2	MAPK1_+_22222272.23-P1P2	MEIS1_+_66662147.23-P1P2	MIDN_-_1248372.23-P2	NCL_-_232329555.23-P1	NIT1_+_161087799.23-P1P2	OSR2_-_99956605.23-P1P2	PLK4_+_128801906.23-P1P2	POU3F2_-_99282213.23-P1P2	PRDM1_-_106534101.23-P1P2	PRTG_+_56035430.23-P1P2	PTPN1_-_49126654.23-P1P2	PTPN12_-_77166524.23-P1P2	PTPN13_-_87515370.23-P1P2	PTPN9_-_75871826.23-P1P2	RHOXF2_+_119292286.23-ENST00000371388.3	RREB1_+_7107890.23-P1P2	RUNX1T1_+_93115606.23-P2	S1PR2_+_10342062.23-P1P2	SAMD1_+_14201736.23-P1P2	SET_+_131451355.23-P1P2	SGK1_-_134496214.23-P1	SLC4A1_+_42345604.23-P1P2	SLC6A9_+_44497266.23-P1P2	SNAI1_+_48599338.23-P1P2	SPI1_+_47400397.23-P1P2	STIL_-_47780136.23-P1P2	TBX2_+_59477100.23-P1P2	TBX3_-_115122232.23-P1P2	TGFBR2_-_30647920.23-P1P2	TMSB4X_+_12993106.23-P1	TP73_-_3568729.23-P1P2	TSC22D1_-_45011354.23-P1P2	UBASH3A_+_43823772.23-P1P2	UBASH3B_-_122526266.23-P1P2	ZBTB1_+_64970303.23-P1P2	ZBTB10_+_81398318.23-P1P2	ZBTB25_-_64971449.23-P1P2	ZC3HAV1_+_138794578.23-P1P2	ZNF318_+_43337335.23-P1P2
AHR_-_17338164.23-P1P2	0.466018702827	1.04340307143	1.36338451458	-0.606902573374	-1.31251473886	-0.321820197337	-0.206990448017	1.94721525714	0.659082661602	-0.339401275576	-0.711257441573	-3.07015639614	-0.420505837626	1.51539509875	-0.897161146287	-1.28646625301	0.341753236116	-0.82393531667	-1.1944445146	0.840791822753	-0.19145223678	1.02254561237	0.286316951314	0.63033383278	-0.242226346156	-0.857598139333	3.50218698914	-0.927950016875	-1.19044171854	1.68037143239	-1.28127559612	-2.66453580495	0.0405009699621	-2.25805561032	0.276028667197	0.188449224573	-0.987140299821	0.129565674269	1.30793806063	0.375851381465	0.608529412937	2.37660616461	-0.0615110705242	-0.948477089226	-0.01967199087	-0.0642008098377	-1.05618863381	-2.14685053737	-0.054250683085	-0.0210218969234	-0.214339586746	0.343827853998	-2.03278189492	-0.621999519915	-0.765713896786	5.6766749774	-2.18576278964	-2.19891779406	-2.25102197172	1.36186526253	0.776028180261	0.0673823051714	1.48955640647	1.12145664687	0.329239018778	-5.45436195828	-2.42357400067	0.930384802723	-2.69851896843	-0.0433701501068	-0.631212375002	0.54186935677	-2.10358451129	0.933806695748	0.268687033665	0.305364448819	2.9025892092	0.534636865757	-0.555802179831	-3.18108564119	0.681546272175	-3.25212679597	0.276903172119	0.164775972632	0.121555784342	0.364727630263	-0.359502155304	0.173284784823	-0.0580533850719	1.99444534725	0.370748132233	2.28385806843	1.22999636785	-0.714325593391	0.243932245635	1.33218106574	-1.04845067765	-0.664021776441	-2.19316664296	-0.345201776741	0.931442460583	3.2031510449	3.10911760207	-1.18968235083
ARID1A_+_27022167.23-P1P2	1.04340307143	1.25573584743	0.0612945933018	0.388504449546	-0.702610255622	-0.098253372745	1.10089418126	-0.967009682724	0.560266638799	-0.228081440216	-1.45916278692	0.394913067389	0.89242652102	0.256801766679	0.559295799751	-0.479518482956	0.759322256918	1.87180799868	0.729749521109	0.531143363922	0.023010776426	-0.231893013418	-0.580241823688	1.64136217	0.662722649067	-0.501225308581	0.813288905007	1.18397445141	1.60955388884	2.23209505783	0.551555663684	-1.37221589725	2.90946195323	0.0965279903627	0.658467925795	1.46879587654	0.90040511586	-0.111909775975	0.593205137642	0.46946205101	0.176575788668	-0.542851110404	0.649190392369	-0.226258143786	-0.473966879241	1.10311427541	0.853821367341	0.17056177922	-0.0781408227296	-0.599933165209	-1.06355300421	-1.18128094775	-1.1058080644	0.935741314052	0.926893442431	4.16322064765	-2.20937923184	1.4446705402	-0.00184896690565	1.10078869062	2.37270014687	4.22501371647	0.214010881548	0.299777627774	0.049838091752	-1.63377311099	-0.789298589714	0.714474173719	0.734717899954	0.190452181931	1.70256202339	1.32430961333	-0.104217270051	-0.0877248860851	-2.41816609979	-0.117516253301	-0.66742438783	1.79994067836	0.285656791332	1.21710264437	0.974406750958	0.787338817607	-0.0591908273313	0.44367223457	-0.204772067188	1.2156745243	1.11907960226	-1.03021763003	-0.63217045205	0.309547980781	0.912480477661	0.323755910437	1.14634151663	1.93092784605	0.579535353507	1.51920425147	-0.200126959113	1.18605769431	0.267170018019	0.315403118183	-0.52253354498	1.56524767807	2.97442636893	0.101693687671
ARRDC3_-_90679309.23-P1P2	1.36338451458	0.0612945933018	3.15622795635	0.941248247523	2.24127271313	0.320085172366	-0.396150088479	-2.24770992977	-1.7501289829	-1.14208278295	-1.27282014869	0.338072982382	-1.84829373911	1.55389336451	0.485390028564	-1.54669570165	-0.863380066922	1.00212920995	-1.04323756298	-2.75807344163	-0.839785286733	-1.7836800113	1.317395451	-2.62574079375	1.18508924643	0.412614451069	0.40266314201	0.793593627793	-0.643693152995	-3.29924620958	-0.439979195777	-3.06410983425	4.07629764748	0.426019215775	-1.17031670418	-0.453013112897	-3.07312801212	-1.40059773611	-0.569733243087	-2.22197149757	-0.702363349501	-0.709044414378	-1.16483375559	-0.119656197602	-1.31537697735	1.03916811606	-0.457706369555	-1.08847510927	-0.336850988906	-0.51908501864	-0.941002355703	1.27131268915	1.4554237765	0.358195444288	0.044311343361	-1.1194960341	-0.645541069657	-2.00891261905	-0.360760404362	1.96340637482	-0.0313667600047	-0.376790007262	-1.50040174948	-0.336687881918	1.21938876283	-2.61334610038	-0.515128175541	0.900489214011	0.817750229854	-0.737652078085	0.119819219089	1.17506608474	0.969053903417	0.231581569545	-3.33313178316	0.425887643128	0.840210429115	-2.09683869264	-0.0267843940908	-0.484793724694	-1.55498717162	-1.16318567547	-1.29584556355	-0.933331404784	-1.0307575662	0.619308541656	-1.4738107637	1.53929954703	-1.91765708064	1.67310664717	0.0652018509076	-3.98746367653	-3.2964512034	-0.223160101594	-0.557594569777	1.95536616251	0.319325370183	0.71905123657	3.34825382594	-0.604387338458	-0.624721476291	-0.474002289919	-1.73250705597	1.05584417451
ATL1_+_50999374.23-P1P2	-0.606902573374	0.388504449546	0.941248247523	1.67901025781	-0.0217370517209	-0.476474446356	1.89678277985	0.916082261732	-0.472706925727	-0.941764726834	1.41258701333	-2.57821525621	0.527651657864	0.537273070102	-0.0862118274595	-0.393920343308	-0.649215069058	-0.347018139454	0.579349252499	-0.0257387270222	-0.604528495116	0.919358981548	0.177978948219	-1.38444211744	1.23567084854	0.00737276598308	2.0785279895	-0.396426738436	0.667601623906	-1.86379208952	5.03477550906	0.507894859452	1.779843577	-0.367794343116	0.0852493998391	-0.161232961901	-0.206416708882	-0.981154322736	0.961541665982	0.0826819562032	-0.239393102217	-3.39510700798	-0.225261032575	0.436879916944	-0.153463665716	-0.444794619682	0.111964217719	1.22497766556	-0.0600009598521	-0.0824760894889	-0.642891806736	-0.420036693833	0.485908454284	-1.06848468315	-0.514607375669	-0.946680260543	2.22966266486	-0.573051951212	-0.333841203239	4.84263004212	4.32821432858	2.74896264356	-2.02442446252	-1.0153239108	2.28964974863	2.48916038622	0.219786505271	0.812074898369	-1.26822183365	-0.48404068375	-1.26615672423	0.202068721681	-0.54108514958	1.4463208322	0.543407556493	1.18089370805	1.33939532823	-0.119405793452	-0.0980381637465	1.19983808265	0.31470092215	-0.825201673951	-0.409697586317	0.703266447148	0.150611938189	-0.364058446965	0.614670642195	2.39536512017	0.657727806327	-0.127298511265	-0.30295190003	-0.612425064044	-1.50252137839	-2.99139411405	-1.07769193377	0.130435520247	-2.97228515579	0.150586806379	6.22317516096	-0.237673618347	-0.666511956084	-2.75219829238	3.46633292183	1.31079652759
BAK1_-_33548176.23-P1P2	-1.31251473886	-0.702610255622	2.24127271313	-0.0217370517209	1.16118976337	5.70299122954	1.46263509029	0.499088872818	-0.853258365452	0.369231405838	-0.406729547217	1.90303575569	0.588069897966	-0.134740927404	0.778675668876	1.78317393403	0.473930663911	-1.19317550824	-0.685502009353	-0.102446702942	3.44460024018	1.36971674788	0.386780088035	-1.82916282841	2.14068986473	-0.0654006214378	-3.95710229187	-1.12203992491	0.397042193293	4.33302731013	3.90288183103	-3.56666384396	3.83790877317	-0.337088878067	0.556070213642	-0.616513287543	0.194447373287	-0.314126046919	-1.77770511348	-1.18044974708	-1.95282450948	-7.63806923007	1.84056064552	-1.72769795207	0.70851919874	0.00800573414291	-0.045229904807	0.173927322087	-0.176080726832	3.04485027397	-0.618405483879	-1.30011709731	0.204345603207	1.77666344867	-1.72758592481	5.06332401428	3.50077101091	-1.69483591487	0.0625244681008	-1.53224970348	-0.400386499689	-2.22223998775	-1.631065091	1.34829716005	-3.98601105718	-2.1385692334	2.70716267811	-0.778681368069	0.158644189041	-1.75952041058	-2.18688297603	-1.24124959322	1.49249321499	-0.0115017996028	1.18468563501	-0.407176844453	5.42753394377	1.39281867361	1.31618699123	0.452303170626	-0.674363670524	-2.14103743188	1.84702147261	0.786865742697	1.1831431827	-1.63811334032	-0.369748178977	1.5545053959	0.0225843722572	1.53054355952	-1.03221474565	-1.93897321255	-2.06659643966	-0.649535769246	6.30165267101	1.75919035444	0.645563042112	0.139189023708	-1.15823976079	0.364900215857	-1.00840780073	7.70434889362	-6.31153704282	1.06908808979
BCL2L11_+_111878321.23-P1	-0.321820197337	-0.098253372745	0.320085172366	-0.476474446356	5.70299122954	2.09458677729	0.114006879792	-1.30149056494	-0.0148389856397	-0.749519197443	-2.08058686883	-1.88593758028	1.85943920864	2.0123485691	-0.47982466502	1.13840112516	1.34719019929	-0.819104483957	-0.883307713523	-0.711132131118	2.35830300412	0.493060370271	-2.68451387759	1.92754161842	3.78850459783	-1.24660209992	-2.3539974027	-2.56683294721	0.151243683355	3.04247962911	3.33593347862	-3.67070763021	1.87262008267	-2.69476056004	1.56551798842	1.26838517203	0.215042307239	1.72881165461	1.88432655186	-0.275184411393	-0.0143829080324	-5.62733542517	1.43155696735	-1.54847408638	1.25789578741	-2.68948131974	0.324448751816	-0.30494638543	-0.236257538921	-3.6891219158	-0.413014881905	-0.112500309801	-2.53654367591	-2.22174796297	1.15856833692	5.10716724262	0.252359453532	0.567278388735	-0.0486163730319	-0.847180488142	-2.94900557895	0.40890160583	2.56716900824	-0.00849121306397	0.243321814025	-4.50498518474	3.22370267179	0.704382343518	1.10866574755	-1.1024432034	0.23218276149	-0.882120391161	2.87545062634	-0.120961006481	2.01014744399	-1.55639884077	-1.97247316084	0.872732325713	-4.50591295307	-2.10827579234	0.311811924176	-1.44109502209	1.84955703038	-0.898546419103	0.512713550293	-0.687835333588	-0.613839402782	0.133563421835	-0.316012937494	1.61979081592	0.366363986886	-0.91278179942	-3.34010425435	-8.57695972697	3.03533426201	-0.72060323256	0.0423294510455	-2.01213611777	-5.97369984974	1.73801674471	0.477614248535	-0.709965626275	-0.292547312507	4.68342710742
BCORL1_+_129116290.23-P1P2	-0.206990448017	1.10089418126	-0.396150088479	1.89678277985	1.46263509029	0.114006879792	1.40346251173	2.53489669159	0.631005469838	-0.7640740547	-0.872298608762	-1.77193829986	1.39200511165	1.78909197144	0.953021967169	-0.852956898279	1.23507775533	2.03103573188	1.79792733835	-0.825687606033	0.550303284283	0.0742701098099	2.41656686155	1.50976856091	-0.573283634581	1.32895066311	0.302508633169	0.799402864279	0.430016160129	-0.356227715429	0.0189678379767	-2.65983432803	-3.25904941315	1.589953226	1.38390553329	-0.86534734846	-0.22333640497	-1.58569805879	-0.645527288295	0.652506346961	-1.36542201131	1.61102679674	1.6349172308	0.443201291219	-0.668514947622	-1.06289831039	1.25401689766	-1.46987488542	-1.92581447658	1.45031128149	0.154085816326	0.0777506205631	-0.633267889046	0.038789974197	-0.342196655357	0.805518277461	-0.328186525994	0.290579649916	1.16121172107	0.659995657132	1.62147367296	2.20529210905	2.64188896677	0.603083479913	-1.85966696251	-2.52943997687	-0.953285545215	0.123849549265	-1.21998409356	-0.0328421752414	0.785103211238	0.127412692229	-1.82202437517	-1.31546093282	-3.05314159547	-3.31060561991	-0.987822419056	0.307990463659	-1.13724747055	-0.781507722821	1.55150485459	0.0516276319981	2.80843968554	1.69467871926	2.68093759819	1.1394673503	1.29690984554	-0.278572260226	-0.579052748742	0.797166411515	-1.60766606944	-0.176862860287	1.76025740403	-2.62590653211	1.37496007968	-2.23397971871	-0.126512291007	-0.733886461394	-2.6269947177	0.614956726603	1.55338579953	2.34645398205	2.06999527859	-1.5171417726
BPGM_+_134331476.23-P1P2	1.94721525714	-0.967009682724	-2.24770992977	0.916082261732	0.499088872818	-1.30149056494	2.53489669159	-0.961803344328	1.33705026091	-0.839486082077	-0.806834603548	-2.95968098558	2.85334514394	0.112310504404	-1.19831335637	-1.84214678815	0.363178484583	2.05882366094	2.1480037898	0.570962218264	0.753210135543	-1.41208126457	-1.68290896117	2.32443648224	0.401517327629	1.13226044988	0.409588859474	1.47708699842	-0.426332925463	2.30588515672	-1.3868094592	2.05834391732	1.17160028015	2.01646311724	1.40998239601	1.39603049487	2.16426965879	0.74983321878	1.09806560957	0.948842748922	0.139883390767	-3.62250142433	0.749984588778	1.05542681812	0.990169164999	-0.143257182822	-0.0258737267805	-0.999795202616	-2.10312570991	-0.833721440716	-1.32325668286	-1.40669076176	-0.480522742134	1.29786279378	0.489558704328	1.06984062725	-3.10546134089	-1.47842290524	-0.545009262198	2.49076494719	1.22279993764	2.9611183146	0.722910230541	0.941004825913	1.68184793453	0.959633678434	0.492986115175	0.0248823497855	1.68239721778	0.330314569359	3.59294614514	1.99421303508	1.31737939267	-1.16355003861	-2.5079142683	-1.43880173	-4.74773173214	1.59785529704	-0.331754702752	0.112576106847	2.08470302147	0.322041952784	1.69930677949	0.473697591689	-1.90875672962	0.497147345825	-0.473882905465	0.83329422774	0.629024080652	2.17362281789	3.1311497057	0.997301125329	-0.13874347742	-4.02096937999	2.42985230623	-2.61890097911	-0.054951833532	-3.79413272611	-4.77964464098	0.718325621779	-0.800583217862	-4.55901856254	1.99665436509	0.698432492897
C19orf26_+_1238161.23-P1P2	0.659082661602	0.560266638799	-1.7501289829	-0.472706925727	-0.853258365452	-0.0148389856397	0.631005469838	1.33705026091	4.49901453037	-0.87178426854	0.00577961646053	-1.63526469961	0.194862557656	-0.219209802749	1.43832077518	0.680814719589	-1.10911373937	0.403286560108	2.85155575179	0.840006766635	-0.57352547738	-1.14120117424	0.1281234638	-0.260137817626	1.28254002423	-0.799589382607	0.563746446568	-2.04550060772	-3.28461459992	0.588137339243	0.204272643491	3.3685003675	0.673363006702	1.55282038929	-1.83661003242	-1.52909495015	-2.43535186182	-0.892020876965	0.870060750684	0.924246533418	0.113361128671	-1.17033063246	0.297812919755	0.936049245322	-0.394707482748	-1.21024555535	0.663618529305	-2.193751783	-0.869930296421	1.69554489742	-1.58987017031	-1.86532669913	-1.56239316457	0.908183339762	0.862459125797	-5.88935017714	-1.85237782408	1.13328192509	-0.172806527139	0.931387132292	0.448395200378	0.568400208462	-2.16807945921	-1.22226000903	1.30767036778	5.28743274894	-2.31063134917	0.285345475312	-0.0815146812877	0.36637619796	0.68957516181	1.42433068289	-4.37712404898	-2.14147779831	-3.57703111955	-0.322085544878	-0.399200954914	-0.545596323976	1.60669180527	-1.70861441435	0.167009555084	0.790067983617	-2.17432099571	0.553521389856	1.75818862954	-4.0469714691	-2.78175892587	3.74015661843	-3.97619175563	0.749891023408	1.48230622199	-2.7251103783	-3.57078456667	-6.59448990231	0.635646658873	-0.461658202076	-0.502618282034	-0.689414773787	0.543967623626	0.969949201632	-2.03566386487	-3.99572519911	2.24445403541	-2.18518379487
C3orf72_-_138665944.23-P1P2	-0.339401275576	-0.228081440216	-1.14208278295	-0.941764726834	0.369231405838	-0.749519197443	-0.7640740547	-0.839486082077	-0.87178426854	1.36854962029	-1.23784627429	-0.088934349594	-0.178073129749	0.403067217252	0.233614871249	-1.06712152414	-0.368274281443	-0.800649105433	-0.952003246908	-0.741003519852	-2.34671584533	-1.30864414691	1.30501719371	-3.83174141453	0.48516229995	0.153110207998	0.430603139918	-1.48126457573	0.510759447982	-2.19137928455	-1.34748181853	-3.5405127644	3.26650847011	0.688913875348	-0.34629766184	-0.725173994498	0.0328837751713	2.23573469485	-1.01337330485	-1.64402080541	0.439640478024	2.66399218309	-0.568862014085	0.786264924453	-1.26350553364	0.323564455253	-0.0112793649955	0.358343573914	-0.612441577079	1.91485488065	-2.07162888779	0.511514955769	-0.276160341961	-1.41278916191	-0.746993275296	-4.31942194159	-1.38149375486	0.205053189023	-0.787707655187	-1.31543812679	0.292500711815	-1.0868242796	-5.14281658321	-1.79237481195	-0.057175313935	-0.695246503838	-0.0566031172445	-1.07970263095	-2.30230066145	-0.473369620782	-0.92960880921	-0.853689303269	0.393258576554	-0.494183910862	0.512639738246	1.90045664973	1.56529901224	-1.69425114161	-1.54379533823	0.770142518494	-1.11519058912	-3.09712246355	-0.737964817789	-0.188501395199	2.6444183748	-1.01365457719	-0.77206623685	-0.361892407356	-1.03795099578	-0.450082820383	-1.03987090527	-1.25736077231	-1.2782802252	2.07267950949	-1.90090221271	-0.48949240157	-0.883174182663	-1.4412323823	-1.18254843699	-0.357308180859	-0.0163800136279	-1.76421690295	-2.81672880556	-1.54509599202
