	AHR	ARID1A	ARRDC3	ATL1	BAK1	BCL2L11	BCORL1	BCR	BPGM	C19orf26	C3orf72	CBFA2T3	CBL	CDKN1A	CDKN1B	CDKN1C	CEBPA	CEBPB	CEBPE	CELF2	CITED1	CKS1B	CLDN6	CNN1	CNNM4	COL1A1	COL2A1	CSRNP1	DLX2	DUSP9	EGR1	ELMSAN1	ETS2	FEV	FOSB	FOXA1	FOXA3	FOXF1	FOXL2	FOXO4	GCH1	GLB1L2	HES7	HK2	HNF4A	HOXA13	HOXB9	HOXC13	IER5L	IGDCC3	IKZF3	IRF1	ISL2	JUN	KIAA1804	KIF18B	KIF2C	KLF1	KMT2A	LHX1	LYL1	MAML2	MAP2K3	MAP2K6	MAP4K3	MAP4K5	MAP7D1	MAPK1	MCOLN3	MEIS1	MIDN	NCL	NIT1	OSR2	PEG10	PIK3CB	PLEKHO2	PLK4	POU3F2	PRDM1	PRTG	PTPN1	PTPN12	PTPN13	PTPN9	RHOXF2	RREB1	RUNX1T1	S1PR2	SAMD1	SET	SGK1	SLC38A2	SLC4A1	SLC6A9	SNAI1	SPI1	STIL	TBX2	TBX3	TGFBR2	TMEM173	TMSB4X	TP73	TSC22D1	UBASH3A	UBASH3B	ZBTB1	ZBTB10	ZBTB25	ZC3HAV1	ZNF318	negative
AHR	-0.411680406066	-0.543015375478	-0.407496758483	-0.567304717067	-0.560800235953	-0.388597837822	-0.359139130375	-0.38777260356	-0.36299007795	-0.411977219693	-0.612119670193	-0.504291637134	-0.465253272859	-0.427275901612	-0.396257478325	-0.506081358289	-0.683478921638	-0.506843510394	-0.589932315453	-0.418725171407	-0.44033787164	-0.406024130424	-0.449299265147	-0.392797948928	-0.413645144654	-0.535534382425	-0.532545657267	-0.140804903456	-0.476788368828	-0.580001255051	-0.395979157324	-0.345163235858	-0.491145298051	-0.450829850893	-0.483737835105	-0.498087208531	-0.510377705909	-0.546216663845	-0.504777072291	-0.550648180005	-0.305305217512	-0.38679463317	-0.339517053781	-0.356309480493	-0.455287390174	-0.604409858378	-0.48106167701	-0.602944689226	-0.597995513378	-0.550277928174	-0.583690033538	-0.471605736186	-0.306321624351	-0.524291635713	-0.535204752046	-0.440530128823	-0.41213101373	-0.0348965634867	-0.416784330509	-0.538107840064	-0.367846617408	-0.237635202367	-0.237010667037	-0.249556626554	-0.251167948848	-0.348071775747	-0.409225962184	-0.496322856533	-0.367515647959	-0.500477350011	-0.472834767232	-0.480131189264	-0.54270788277	-0.439281038726	-0.276653253292	-0.337253423412	-0.476119125521	-0.422600759789	-0.58025022119	-0.578423293256	-0.510118807237	-0.475960537407	-0.352462146412	-0.389147860659	-0.387827442378	-0.624378356997	-0.427391985019	-0.380250310474	-0.410721298793	-0.483512986778	-0.467582398457	-0.381637514668	-0.345886519061	-0.540962596579	-0.362333031539	-0.346116099505	-0.538460848817	-0.439551681763	-0.246641135139	-0.291746749372	-0.40879244864	-0.34687641061	-0.30245125845	-0.573563232005	-0.385071305323	-0.397272381309	-0.427001545825	-0.402652703058	-0.54830433714	-0.302969560488	-0.0974736523282	-0.439122118075	-0.325256968889
ARID1A	-0.543015375478	-0.429755631412	-0.395094764103	-0.558589309229	-0.572660369816	-0.34462773024	-0.346965005262	-0.302494620804	-0.408914814954	-0.397705575848	-0.584942634183	-0.499911374085	-0.421480248437	-0.428083230929	-0.461428726702	-0.453517429759	-0.64078555836	-0.453737766543	-0.459063628101	-0.326859016967	-0.453457468906	-0.414740783269	-0.450835261991	-0.379782972566	-0.412133889825	-0.510614125744	-0.537275898143	-0.182574082951	-0.484820266998	-0.479184218273	-0.374220468867	-0.277796858967	-0.436830744437	-0.337825466295	-0.38487473494	-0.503671731409	-0.49319339182	-0.500357610088	-0.491256274108	-0.516409392028	-0.288752090417	-0.350826432064	-0.353498263591	-0.354514251074	-0.478178123336	-0.569793433681	-0.470785430176	-0.516081131477	-0.48203504822	-0.462025024849	-0.588537461625	-0.392298216396	-0.309380965171	-0.500261171741	-0.492455773516	-0.403632776655	-0.351205493544	-0.13736213205	-0.387482377969	-0.470435240912	-0.327355474185	-0.217472916001	-0.188012014873	-0.202236816779	-0.269784895687	-0.376913335682	-0.389209979798	-0.415216419605	-0.346796078354	-0.442716718644	-0.477917791463	-0.445432117623	-0.507201199529	-0.355160084119	-0.283092639367	-0.330251560119	-0.486448604211	-0.343171668554	-0.495128524153	-0.560632096163	-0.542806060818	-0.486658654691	-0.359695465341	-0.390503017868	-0.380770183302	-0.530145928325	-0.448360772716	-0.353698567166	-0.441158300574	-0.463073351884	-0.439987459698	-0.356295229253	-0.292008577776	-0.548896232243	-0.325284762066	-0.375408863001	-0.545912349517	-0.421756527386	-0.344813663589	-0.390769401665	-0.357517704021	-0.330064699378	-0.307075388707	-0.549287526732	-0.382528111993	-0.375360361789	-0.411321867455	-0.40653295039	-0.567263167543	-0.332686903577	-0.132990564046	-0.394403009877	-0.310981635368
ARRDC3	-0.407496758483	-0.395094764103	-0.240089841394	-0.463649692828	-0.40909928348	-0.217201464647	-0.182448073604	-0.131097168102	-0.250010443478	-0.249436041332	-0.547240367565	-0.293889997853	-0.239205578728	-0.32653338893	-0.359982510424	-0.383380326642	-0.615547967807	-0.381214302477	-0.449178789841	-0.1905426099	-0.342597903615	-0.277581501718	-0.358730397476	-0.202642201666	-0.283160612214	-0.479086086448	-0.381342422703	-0.016022225428	-0.318667264648	-0.437388591791	-0.255284165432	-0.0726450873028	-0.279995456718	-0.221222003845	-0.248447347624	-0.370700799898	-0.36361232557	-0.35138644871	-0.38591586523	-0.488290564337	-0.115332071112	-0.215278072963	-0.337045665246	-0.21700824206	-0.441734351089	-0.562593439654	-0.309097863825	-0.470430700903	-0.426111298934	-0.394083771836	-0.525243975442	-0.288298669802	-0.224628996756	-0.350092015435	-0.358379525909	-0.296802500711	-0.208339002317	0.0346286238412	-0.220851189122	-0.343602732224	-0.192347046374	-0.0213229980225	-0.0354610234511	-0.0297847661162	-0.182914652805	-0.246528605708	-0.202339757364	-0.261699157332	-0.164607976813	-0.266471894349	-0.363732446954	-0.230960363333	-0.507117635329	-0.248456504303	-0.185162030885	-0.229769258658	-0.395718816779	-0.213410058021	-0.301574296337	-0.568398646263	-0.469064176503	-0.363019026663	-0.178743490763	-0.308969591292	-0.213767088545	-0.430677595298	-0.339379314205	-0.196061566254	-0.312920479493	-0.371630687514	-0.318898544848	-0.223663516057	-0.0067368833748	-0.508138484323	-0.131020532055	-0.295920237105	-0.503348007994	-0.343885531038	-0.204200161731	-0.2601290335	-0.179927874114	-0.129493754549	-0.159035104876	-0.515782729596	-0.202467121325	-0.216458330376	-0.216668625055	-0.265865752202	-0.470911535808	-0.179167174331	-0.0165260893291	-0.171062059051	-0.123516007539
ATL1	-0.567304717067	-0.558589309229	-0.463649692828	-0.394230486023	-0.522131044668	-0.484029196115	-0.407342507064	-0.427797777232	-0.463609666501	-0.545478369403	-0.562886947794	-0.51313162796	-0.503714770233	-0.498894125028	-0.465686449479	-0.484990066424	-0.607880677989	-0.517165013772	-0.590672943836	-0.424912774309	-0.526411460505	-0.463720012994	-0.561408455703	-0.544412121193	-0.513976820209	-0.514656136271	-0.537487828	-0.281538318	-0.498235841415	-0.563560567721	-0.429191517644	-0.322190265212	-0.442478156848	-0.3889163208	-0.489178603164	-0.588531900959	-0.57605029718	-0.58427240581	-0.560711995339	-0.512697079076	-0.420961140609	-0.457618454361	-0.369394114246	-0.507823493437	-0.528070030483	-0.623720342239	-0.55229871785	-0.588210286105	-0.528526487663	-0.511498332215	-0.602657027976	-0.447771967764	-0.347771377816	-0.549234984941	-0.556143835938	-0.469222841666	-0.481309370843	-0.430471103441	-0.450452790952	-0.563429789082	-0.488691358053	-0.309648605426	-0.312499578962	-0.307108211712	-0.329271854849	-0.520742524187	-0.480478884886	-0.394767073459	-0.423653598825	-0.530149242228	-0.536947046706	-0.579180955759	-0.607644002291	-0.535687734364	-0.316034684704	-0.387875738356	-0.57727903122	-0.481131423832	-0.589160817348	-0.551544561776	-0.54661842626	-0.518376894708	-0.430895482784	-0.511791615679	-0.463431694129	-0.559292326046	-0.553671357824	-0.452196491938	-0.545673380011	-0.463227195817	-0.487646480032	-0.513192883136	-0.377987645672	-0.582866867112	-0.329180251171	-0.384933977581	-0.545935807792	-0.47761730121	-0.499681964887	-0.534219583009	-0.57382696191	-0.435125987362	-0.439815091089	-0.562050818793	-0.528934773604	-0.448700791964	-0.301211967996	-0.508139055683	-0.608417468648	-0.439212096255	-0.23291371101	-0.46886236218	-0.413196533533
BAK1	-0.560800235953	-0.572660369816	-0.40909928348	-0.522131044668	-0.452220354224	-0.295426852084	-0.399155831496	-0.419209261764	-0.414832635879	-0.484399374208	-0.540503874709	-0.536844283399	-0.438444807817	-0.455180722139	-0.487481862502	-0.449368649835	-0.56112948664	-0.515815138391	-0.62778507479	-0.42791888592	-0.502901421077	-0.325155169842	-0.475975608303	-0.297783491054	-0.469166577942	-0.448573071978	-0.495709265872	-0.398232206762	-0.5459202058	-0.570126125456	-0.383475936486	-0.302690677933	-0.55571232527	-0.362399498446	-0.47395267405	-0.478663896412	-0.488448245837	-0.496619296578	-0.508671872545	-0.580592275541	-0.399748635201	-0.458775479004	-0.380460843641	-0.553004002132	-0.5105225	-0.647065746258	-0.480916004631	-0.58946104091	-0.537572429501	-0.497551001602	-0.542047602898	-0.438663233714	-0.34635480059	-0.591581184389	-0.501294973657	-0.502989850561	-0.501155705129	-0.168400800299	-0.419512791311	-0.532899933232	-0.45480923589	-0.353708718111	-0.380987751792	-0.359299319678	-0.307291596926	-0.430258550822	-0.542925677146	-0.468154987453	-0.446078396095	-0.404658375096	-0.553356131146	-0.486373832334	-0.562067135221	-0.503876010927	-0.351574846875	-0.40317767689	-0.555332380775	-0.48131741941	-0.430571010797	-0.523808989214	-0.498538010082	-0.494401102655	-0.379030008492	-0.440447407893	-0.423372403153	-0.557554921279	-0.530658000524	-0.46763815564	-0.352707418274	-0.414340972606	-0.463346979573	-0.46677341983	-0.449496979135	-0.534312147552	-0.367750426414	-0.353197850411	-0.489612698437	-0.458070509172	-0.467926789202	-0.51915838114	-0.49353165412	-0.422375092801	-0.256940681528	-0.494854515808	-0.411061354176	-0.43565272408	-0.437712011496	-0.438669592979	-0.582044145874	-0.290106300545	-0.409362687919	-0.486695648234	-0.403584353027
BCL2L11	-0.388597837822	-0.34462773024	-0.217201464647	-0.484029196115	-0.295426852084	-0.171565511144	-0.15057235398	-0.0514139351415	-0.225235519394	-0.220123223065	-0.554227140266	-0.311969338479	-0.294423990264	-0.257183809596	-0.283586551914	-0.348839992128	-0.619873896761	-0.379190277444	-0.511209065395	-0.193787217002	-0.276415339798	-0.18079626872	-0.33096381976	-0.262384598102	-0.189169239024	-0.36447887159	-0.481164182845	-0.0431429519386	-0.306983951937	-0.373049313507	-0.176208025695	-0.0144831847663	-0.26404967661	-0.208360609946	-0.260708099624	-0.253831667778	-0.263746601886	-0.27104887992	-0.283068709818	-0.433506674577	-0.0827331223448	-0.194550305526	-0.326804053315	-0.248543288951	-0.42341874718	-0.553449850751	-0.231984955048	-0.527068709883	-0.405385525839	-0.392689601945	-0.464039080804	-0.335043038346	-0.202817658785	-0.371115725942	-0.371688680394	-0.33000560696	-0.191573578918	0.138933416693	-0.189063286046	-0.254382839683	-0.156279152597	-0.018643266158	-0.0819824384789	-0.0163269278957	-0.140303083784	-0.179135243905	-0.194745039577	-0.238713413643	-0.123230909156	-0.186042991015	-0.326799035456	-0.193594247948	-0.476767218247	-0.222556881494	-0.18490656467	-0.211859916061	-0.369986346113	-0.210590638752	-0.235983720823	-0.464024419419	-0.365946677393	-0.381534164417	-0.182219082683	-0.226620225636	-0.230084082931	-0.405963805658	-0.280795712432	-0.184295884007	-0.186513400041	-0.310336979735	-0.239432537597	-0.205040696446	-0.0868127782645	-0.427154578538	-0.133435673607	-0.290919187245	-0.440735151277	-0.268667571822	-0.158196319519	-0.275032124779	-0.299727011197	-0.136800835317	-0.0829196234013	-0.563021923584	-0.170342166473	-0.204497499322	-0.260022821883	-0.2272287168	-0.410430945572	-0.154590766821	0.014562520079	-0.135686002068	-0.108802499442
BCORL1	-0.359139130375	-0.346965005262	-0.182448073604	-0.407342507064	-0.399155831496	-0.15057235398	-0.0859295687933	-0.0425859105503	-0.148252827132	-0.137274777091	-0.521519034965	-0.215561368126	-0.183702300776	-0.210088754685	-0.25282871213	-0.325582584466	-0.637412041386	-0.250791838023	-0.325582932216	-0.0874912557449	-0.233568897058	-0.1839052395	-0.247507107335	-0.0875249595104	-0.165431270339	-0.435706723978	-0.340840174354	0.0427502025635	-0.185019139595	-0.347710581675	-0.17338564141	0.00608631952051	-0.187400474634	-0.262458536879	-0.140973467007	-0.216635894635	-0.236966093894	-0.228474874672	-0.27138864674	-0.475809615556	-0.0364365026333	-0.10779115974	-0.326997208032	-0.134986117189	-0.367139224076	-0.47569453121	-0.20335972102	-0.49367015989	-0.332443572987	-0.33814489567	-0.531872604106	-0.185241012024	-0.168836334774	-0.311083273155	-0.270707861756	-0.23297126536	-0.131007654632	0.095698172094	-0.134218682282	-0.243585966446	-0.0966763870905	0.0260785235419	0.0723281371861	0.0670597560826	-0.122766918034	-0.102020597493	-0.148876934568	-0.170254995213	-0.0690453704261	-0.192174989066	-0.295518784442	-0.151481605994	-0.401416264637	-0.116089415632	-0.155646149546	-0.167542974595	-0.303680509673	-0.143082957665	-0.260199891188	-0.535040633386	-0.377517655269	-0.376325991812	-0.136528749332	-0.180965227461	-0.153536356103	-0.367534741595	-0.193416921067	-0.0951537683918	-0.141153372506	-0.253365871815	-0.209424828674	-0.13356316017	-0.0336932418145	-0.423884674918	-0.0999848980767	-0.239915371514	-0.434818877057	-0.265563769369	-0.0736806022426	-0.0986027303428	-0.125141173823	-0.0637554930063	-0.0773916797265	-0.59479079938	-0.130013321751	-0.133565479414	-0.185884177172	-0.174297218902	-0.36783978192	-0.0961444665991	0.0775093967776	-0.120200928319	-0.0546145327562
BCR	-0.38777260356	-0.302494620804	-0.131097168102	-0.427797777232	-0.419209261764	-0.0514139351415	-0.0425859105503	-0.0495424614599	-0.0795377928747	-0.0945609428423	-0.524680610973	-0.20033331261	-0.0936917517713	-0.208750088574	-0.264006040075	-0.313391614826	-0.66389750404	-0.274917534617	-0.309668845404	-0.0743992576844	-0.193209712809	-0.118721732543	-0.208058827982	-0.0807154983641	-0.128402324317	-0.432665310963	-0.338340285273	0.0998020113719	-0.217591873919	-0.275305449516	-0.0949869955505	0.0384247399389	-0.124205194484	-0.1876678734	-0.145703433964	-0.239831240573	-0.227894654431	-0.220936379274	-0.256013577329	-0.38410300104	0.0251958549773	-0.0756827969289	-0.305749848877	-0.0550420502315	-0.363625197497	-0.50684295519	-0.199479154933	-0.409202663813	-0.323422126941	-0.22692527024	-0.410490049548	-0.155238274818	-0.166576383999	-0.25418217496	-0.241952530268	-0.227320206153	-0.119147120176	0.135711948377	-0.0832306237783	-0.200614573793	-0.0481322435417	0.074003325748	0.0798485109042	0.0897268898235	-0.0980905122568	-0.0714174992012	-0.151654784986	-0.112783237064	-0.0350157884213	-0.12738956104	-0.283853606287	-0.0543701455099	-0.443285004383	-0.12407099019	-0.13132577434	-0.157028524646	-0.245301369294	-0.143584377405	-0.192456171372	-0.45240901892	-0.271181523916	-0.21038695439	-0.0401818818925	-0.144496252438	-0.0569797341141	-0.323634204367	-0.202466203629	-0.0512314583073	-0.134647668196	-0.21480524755	-0.178333038539	-0.0769871924146	0.0267513688613	-0.409844147721	-0.0473838604118	-0.225840405117	-0.436304147922	-0.263078013285	-0.0262766311984	-0.0568999390866	-0.0474229441797	-0.0160029322328	-0.0373817961304	-0.573704422453	-0.0707735657572	-0.0726512015997	-0.0788946673644	-0.126268283372	-0.377960557511	0.00494219125785	0.111483296995	-0.0452904317031	-0.00532408894191
BPGM	-0.36299007795	-0.408914814954	-0.250010443478	-0.463609666501	-0.414832635879	-0.225235519394	-0.148252827132	-0.0795377928747	-0.204902053998	-0.208154634957	-0.518622957959	-0.273257585995	-0.293278509108	-0.26828900536	-0.298567596146	-0.379555010254	-0.617152824894	-0.314317249336	-0.38729878161	-0.142363636608	-0.26233320629	-0.259794131094	-0.338822619666	-0.244420341183	-0.206028686718	-0.483358572558	-0.373555830588	-0.0186851094714	-0.249135743899	-0.417381545642	-0.179176764719	-0.0646042157067	-0.183442386568	-0.249649328937	-0.189305460352	-0.30372090251	-0.303900804555	-0.264509949481	-0.278452540736	-0.462150297817	-0.104605350143	-0.175705246854	-0.308789523397	-0.241211971528	-0.378797508639	-0.48918158714	-0.251135777748	-0.48130962966	-0.391019222394	-0.430124303156	-0.55918135476	-0.272496237216	-0.207587633193	-0.352187016573	-0.342745246181	-0.254211278333	-0.185875388152	0.022653000989	-0.217673538301	-0.302207713572	-0.19190303872	-0.0250197660688	-0.0160794507657	-0.00286210688514	-0.16032001968	-0.181311829091	-0.172281136907	-0.184932806179	-0.145400957642	-0.228421148701	-0.358703453685	-0.190816741285	-0.43371341632	-0.171156937737	-0.185792933904	-0.224759095763	-0.350650381748	-0.177139576887	-0.266768783059	-0.529766208	-0.393316499295	-0.387591242063	-0.206718449788	-0.240070920257	-0.217667429727	-0.390540407608	-0.239268852473	-0.152937951451	-0.218709042027	-0.318397552938	-0.311208313915	-0.211175907942	-0.0745809675907	-0.463918399966	-0.127689879266	-0.261175730005	-0.458604851193	-0.248137149344	-0.150130405357	-0.21955147363	-0.226812423668	-0.128506689055	-0.125682302319	-0.614714498631	-0.182259229121	-0.221995066879	-0.278675147758	-0.245411259086	-0.451468106475	-0.207983793616	0.0246171849596	-0.168683414569	-0.118120618938
C19orf26	-0.411977219693	-0.397705575848	-0.249436041332	-0.545478369403	-0.484399374208	-0.220123223065	-0.137274777091	-0.0945609428423	-0.208154634957	-0.233455528951	-0.597787849722	-0.285701520821	-0.316227031167	-0.309339929963	-0.312265516624	-0.375067090713	-0.673699041912	-0.371758598851	-0.500273843432	-0.175765665953	-0.279399938423	-0.285478156526	-0.362427335964	-0.258259277635	-0.247161702636	-0.468253270941	-0.465180543613	-0.00401446760459	-0.302224603458	-0.498142747573	-0.212195274785	-0.0533709964411	-0.163272630095	-0.244048451004	-0.25344361648	-0.411138965295	-0.380252161446	-0.338906783255	-0.375727470525	-0.488559721382	-0.11115299031	-0.194770045714	-0.335714274304	-0.210226626451	-0.405952097235	-0.536824298654	-0.287694345959	-0.574115456595	-0.426551930635	-0.460328042788	-0.556618167188	-0.23924856958	-0.223930645792	-0.40396680206	-0.405712174826	-0.268099654542	-0.194900116196	-0.072888004195	-0.216965553677	-0.284390414338	-0.191636278473	-0.0422143506059	-0.0110300281441	-0.00820193492017	-0.183229059331	-0.216530192499	-0.192809932694	-0.165391967721	-0.166995643711	-0.27333742695	-0.413687916439	-0.238766217132	-0.439468303866	-0.221837560891	-0.178516237662	-0.240165174176	-0.423260995744	-0.20936134969	-0.39726262757	-0.583180825397	-0.458843981466	-0.356977463742	-0.181427496032	-0.277587647131	-0.188921602801	-0.479698305792	-0.321245873457	-0.15372277389	-0.286101871464	-0.342596474888	-0.300466430622	-0.267501562395	-0.0902172544714	-0.516005287598	-0.113491475792	-0.322781761862	-0.484798426572	-0.283093063873	-0.184125658011	-0.264976766965	-0.273939463158	-0.152022274825	-0.134475943137	-0.582105476217	-0.211557170795	-0.206565124018	-0.248912720992	-0.24882976865	-0.55841077084	-0.19981417738	0.0591484999807	-0.210397607084	-0.123580950342
