	b.mean	b.std	a.mean	a.std
AHR_-_17338164.23-P1P2	-0.307283677339	0.070366843197	-0.340809249383	0.0582231594443
AHR_-_17338168.23-P1P2	-0.294019778439	0.0610613838759	-0.322346325851	0.0484355118818
ARID1A_+_27022167.23-P1P2	-0.375555053376	0.0662179485637	-0.455450506732	0.0746871680689
ARID1A_-_27022243.23-P1P2	-0.207129146002	0.0259626606117	-0.2036298939	0.0248496140819
ARRDC3_+_90679525.23-P1P2	-0.0949492466764	0.0381451491876	-0.0946584205525	0.0209974741112
ARRDC3_-_90679309.23-P1P2	-0.134864113444	0.0276334899717	-0.12806783985	0.0356533924176
ATL1_+_50999374.23-P1P2	-0.427533503842	0.0909149393839	-0.520770683343	0.0562457485493
ATL1_-_50999367.23-P1P2	-0.378719271527	0.0770718302731	-0.366658805159	0.0513475951303
BAK1_+_33548177.23-P1P2	-0.401722693595	0.0908572447809	-0.445390675228	0.0649871396095
BAK1_-_33548176.23-P1P2	-0.423736774247	0.0884870650145	-0.434829052396	0.0715006101236
BCL2L11_+_111878321.23-P1	-0.142007862049	0.0396890267197	-0.167784283789	0.0373612240918
BCL2L11_-_111878313.23-P1	-0.068386920339	0.0431584475258	-0.0764671051643	0.0313753984541
BCORL1_+_129116278.23-P1P2	-0.0051532841155	0.0501010784641	0.00209584508185	0.0178819377699
BCORL1_+_129116290.23-P1P2	-0.0821716501216	0.0427286691288	-0.0994176438276	0.0326148726139
BCR_-_23522065.23-P1P2	-0.0273249051732	0.0470171726727	-0.0773322784804	0.0387909465804
BCR_-_23522198.23-P1P2	0.0185497155628	0.0538579834466	0.0392911416175	0.0202422472926
BPGM_+_134331304.23-P1P2	-0.0903705928379	0.0276849836596	-0.103396491782	0.0241931835207
BPGM_+_134331476.23-P1P2	-0.130669515396	0.0362235343227	-0.141756305724	0.0406075939396
C19orf26_+_1238161.23-P1P2	-0.160243367673	0.0217696778005	-0.179972353307	0.0236552283747
C19orf26_+_1238358.23-P1P2	-0.0812842309317	0.039592421323	-0.0853680186605	0.0233121952052
C3orf72_-_138665928.23-P1P2	-0.470242600632	0.0908360752208	-0.525309913968	0.0677842568467
C3orf72_-_138665944.23-P1P2	-0.53808898048	0.130282277454	-0.582432311748	0.0760309317715
CBFA2T3_+_89043662.23-P2	-0.165126519047	0.041966982526	-0.19994193819	0.0415105958139
CBFA2T3_+_89043673.23-P2	-0.134769648671	0.035930640258	-0.118625793963	0.0216074529729
CBL_+_119076546.23-P1P2	-0.109645014601	0.0267421655761	-0.114710484361	0.0242586215349
CBL_-_119076622.23-P1P2	-0.117929096139	0.029233442888	-0.116676241092	0.0371803735457
CDKN1A_+_36646320.23-P1P2	-0.284279683091	0.0531960492886	-0.285844539883	0.03144678939
CDKN1A_-_36646141.23-P1P2	-0.155331408869	0.0215994055029	-0.173154329208	0.0292513926759
CDKN1B_+_12869867.23-P1P2	-0.260397895291	0.0588502240772	-0.267972755687	0.0767537258465
CDKN1B_-_12869956.23-P1P2	-0.226141537468	0.0506767649233	-0.258414115784	0.0361675495698
CDKN1C_-_2907198.23-P1P2	-0.412892801244	0.0940714443848	-0.415667341376	0.0673266660415
CDKN1C_-_2907316.23-P1P2	-0.233321255431	0.0617920221447	-0.261802521987	0.0489503636641
CEBPA_+_33793624.23-P1P2	-0.574967132806	0.126518130246	-0.612383028967	0.0682692767706
CEBPA_+_33793774.23-P1P2	-0.731844780001	0.161875660607	-0.784020271764	0.0990586333679
CEBPB_+_48807216.23-P1P2	-0.45867923061	0.0984427867722	-0.518058613093	0.0300337760872
CEBPB_-_48807249.23-P1P2	-0.150112986656	0.0504607522007	-0.184488651213	0.0408923900008
CEBPE_+_23588994.23-P1P2	-0.504553497309	0.096527513697	-0.511376003519	0.0753790240998
CEBPE_-_23589034.23-P1P2	-0.298175822073	0.0476376719305	-0.341788529377	0.0338444755121
CELF2_+_11059740.23-P1P2	-0.174710655087	0.0601671705327	-0.109559539913	0.0605943223668
