	b.mean	b.std	a.mean	a.std
AHR_-_17338164.23-P1P2	-0.324046463361	0.0582927188379	-0.324046463361	0.0582927188379
AHR_-_17338168.23-P1P2	-0.308183052145	0.0448191836363	-0.308183052145	0.0448191836363
ARID1A_+_27022167.23-P1P2	-0.415502780054	0.0515281753971	-0.415502780054	0.0515281753971
ARID1A_-_27022243.23-P1P2	-0.205379519951	0.0220590099579	-0.205379519951	0.0220590099579
ARRDC3_+_90679525.23-P1P2	-0.0948038336144	0.0249853200328	-0.0948038336144	0.0249853200328
ARRDC3_-_90679309.23-P1P2	-0.131465976647	0.0245981667557	-0.131465976647	0.0245981667557
ATL1_+_50999374.23-P1P2	-0.474152093593	0.0552472602423	-0.474152093593	0.0552472602423
ATL1_-_50999367.23-P1P2	-0.372689038343	0.0495272818441	-0.372689038343	0.0495272818441
BAK1_+_33548177.23-P1P2	-0.423556684411	0.0674096914071	-0.423556684411	0.0674096914071
BAK1_-_33548176.23-P1P2	-0.429282913322	0.069514623988	-0.429282913322	0.069514623988
BCL2L11_+_111878321.23-P1	-0.154896072919	0.0356087806052	-0.154896072919	0.0356087806052
BCL2L11_-_111878313.23-P1	-0.0724270127517	0.0298275826574	-0.0724270127517	0.0298275826574
BCORL1_+_129116278.23-P1P2	-0.00152871951683	0.0290617157613	-0.00152871951683	0.0290617157613
BCORL1_+_129116290.23-P1P2	-0.0907946469746	0.0354227182764	-0.0907946469746	0.0354227182764
BCR_-_23522065.23-P1P2	-0.0523285918268	0.040439690642	-0.0523285918268	0.040439690642
BCR_-_23522198.23-P1P2	0.0289204285901	0.0230802459422	0.0289204285901	0.0230802459422
BPGM_+_134331304.23-P1P2	-0.09688354231	0.0203033825825	-0.09688354231	0.0203033825825
BPGM_+_134331476.23-P1P2	-0.13621291056	0.02226189039	-0.13621291056	0.02226189039
C19orf26_+_1238161.23-P1P2	-0.17010786049	0.0178099852433	-0.17010786049	0.0178099852433
C19orf26_+_1238358.23-P1P2	-0.0833261247961	0.0286010319143	-0.0833261247961	0.0286010319143
C3orf72_-_138665928.23-P1P2	-0.4977762573	0.0726391653213	-0.4977762573	0.0726391653213
C3orf72_-_138665944.23-P1P2	-0.560260646114	0.0930806368643	-0.560260646114	0.0930806368643
CBFA2T3_+_89043662.23-P2	-0.182534228618	0.0357446443905	-0.182534228618	0.0357446443905
CBFA2T3_+_89043673.23-P2	-0.126697721317	0.0216322092094	-0.126697721317	0.0216322092094
CBL_+_119076546.23-P1P2	-0.112177749481	0.0200143017929	-0.112177749481	0.0200143017929
CBL_-_119076622.23-P1P2	-0.117302668615	0.025126968856	-0.117302668615	0.025126968856
