	b.mean	b.std	a.mean	a.std
AHR_-_17338164.23-P1P2	-0.312146679503	0.0620666749465	-0.351028282717	0.0425059781945
AHR_-_17338168.23-P1P2	-0.292226040063	0.0545544904059	-0.345626873273	0.0423202521347
ARID1A_+_27022167.23-P1P2	-0.379347655699	0.0725730011511	-0.444071801789	0.0558029053111
ARID1A_-_27022243.23-P1P2	-0.211234541484	0.0263598739895	-0.2092725425	0.0252125042106
ARRDC3_+_90679525.23-P1P2	-0.0989750028411	0.0290002623315	-0.0969181736291	0.0163185282758
ARRDC3_-_90679309.23-P1P2	-0.148154071193	0.0198411484062	-0.150016782491	0.0307048237049
ATL1_+_50999374.23-P1P2	-0.428000522969	0.0870274585536	-0.490137188606	0.0417934166308
ATL1_-_50999367.23-P1P2	-0.36823176034	0.070860877042	-0.366416662216	0.039369434842
BAK1_+_33548177.23-P1P2	-0.373424813679	0.0826367533392	-0.413540721922	0.0539992958943
BAK1_-_33548176.23-P1P2	-0.401420822573	0.0826583488899	-0.425951053934	0.0520970321993
BCL2L11_+_111878321.23-P1	-0.1360765756	0.0369236260821	-0.157493371975	0.0298301124616
BCL2L11_-_111878313.23-P1	-0.0656770881083	0.0360163779706	-0.0759629620852	0.0234631800637
BCORL1_+_129116278.23-P1P2	-0.0167718824646	0.0398736008087	-0.0124801270583	0.0143487914669
BCORL1_+_129116290.23-P1P2	-0.083977180355	0.0339189291947	-0.105228941147	0.0243875303873
BCR_-_23522065.23-P1P2	-0.0217977448822	0.0439269910829	-0.0663888859089	0.0392419127134
BCR_-_23522198.23-P1P2	0.0210689695807	0.0485188346005	0.0458213054428	0.015956862405
BPGM_+_134331304.23-P1P2	-0.094617444545	0.0187883598853	-0.099272025305	0.0220093350944
BPGM_+_134331476.23-P1P2	-0.131787262528	0.026787582149	-0.146805743373	0.025653498278
C19orf26_+_1238161.23-P1P2	-0.152657306887	0.0158602715682	-0.174098730117	0.0202069848912
C19orf26_+_1238358.23-P1P2	-0.0827128857346	0.0357040718364	-0.0848548786293	0.0207326417221
C3orf72_-_138665928.23-P1P2	-0.445200292918	0.0873284060367	-0.495308766925	0.0606827648267
