	AHR_-_17338164.23-P1P2	ARID1A_+_27022167.23-P1P2	ARRDC3_-_90679309.23-P1P2	ATL1_+_50999374.23-P1P2	BAK1_-_33548176.23-P1P2	BCL2L11_+_111878321.23-P1	BCORL1_+_129116290.23-P1P2	BPGM_+_134331476.23-P1P2	C19orf26_+_1238161.23-P1P2	C3orf72_-_138665944.23-P1P2	CBFA2T3_+_89043662.23-P2	CBL_-_119076622.23-P1P2	CDKN1A_+_36646320.23-P1P2	CDKN1B_+_12869867.23-P1P2	CDKN1C_-_2907198.23-P1P2	CEBPB_+_48807216.23-P1P2	CEBPE_+_23588994.23-P1P2	CELF2_+_11059740.23-P1P2	CITED1_+_71526082.23-P1	CKS1B_-_61808483.23-ENST00000600888.1	CLDN6_-_3068282.23-P1P2	CNN1_-_11649410.23-P1	CNNM4_-_97426363.23-P1P2	COL2A1_+_48398427.23-P1P2	CSRNP1_+_39196217.23-P1P2	DLX2_-_172967845.23-P1P2	DUSP9_+_152912501.23-P1	EGR1_+_137800818.23-P1	ELMSAN1_-_74227099.23-P1	ETS2_+_40177604.23-P1P2	FOSB_+_45971009.23-P1	FOXA1_-_38064583.23-P1P2	FOXA3_+_46367435.23-P1P2	FOXF1_+_86544016.23-P1P2	FOXL2_+_138666046.23-P1P2	FOXO4_-_70315963.23-P1P2	GLB1L2_+_134201679.23-P1P2	HES7_-_8027539.23-P1P2	HK2_+_75060993.23-P1P2	HNF4A_+_43029788.23-P1P2	HOXA13_+_27239889.23-P1P2	HOXB9_+_46704211.23-P1P2	HOXC13_+_54332230.23-P1P2	IER5L_+_131940785.23-P1P2	IGDCC3_+_65670566.23-P1P2	IKZF3_-_38020571.23-P1P2	IRF1_+_131826642.23-P1P2	ISL2_-_76628853.23-P1P2	JUN_+_59249990.23-P1P2	KIAA1804_-_233463315.23-P1P2	KIF18B_-_43025293.23-P1P2	KIF2C_-_45205402.23-P1P2	KLF1_+_12998353.23-P1P2	KMT2A_+_118306901.23-P1P2	LHX1_+_35293972.23-P1P2	LYL1_-_13213808.23-P1P2	MAML2_-_96076530.23-P1P2	MAP2K3_-_21187855.23-P1P2	MAP2K6_+_67410755.23-P1P2	MAP4K3_+_39664622.23-P1P2	MAP4K5_-_50999552.23-P1P2	MAP7D1_+_36621468.23-P1P2	MAPK1_+_22222272.23-P1P2	MEIS1_+_66662147.23-P1P2	MIDN_-_1248372.23-P2	NCL_-_232329555.23-P1	NIT1_+_161087799.23-P1P2	OSR2_-_99956605.23-P1P2	PLK4_+_128801906.23-P1P2	POU3F2_-_99282213.23-P1P2	PRDM1_-_106534101.23-P1P2	PRTG_+_56035430.23-P1P2	PTPN1_-_49126654.23-P1P2	PTPN12_-_77166524.23-P1P2	PTPN13_-_87515370.23-P1P2	PTPN9_-_75871826.23-P1P2	RHOXF2_+_119292286.23-ENST00000371388.3	RREB1_+_7107890.23-P1P2	RUNX1T1_+_93115606.23-P2	S1PR2_+_10342062.23-P1P2	SAMD1_+_14201736.23-P1P2	SET_+_131451355.23-P1P2	SGK1_-_134496214.23-P1	SLC4A1_+_42345604.23-P1P2	SLC6A9_+_44497266.23-P1P2	SNAI1_+_48599338.23-P1P2	SPI1_+_47400397.23-P1P2	STIL_-_47780136.23-P1P2	TBX2_+_59477100.23-P1P2	TBX3_-_115122232.23-P1P2	TGFBR2_-_30647920.23-P1P2	TMSB4X_+_12993106.23-P1	TSC22D1_-_45011354.23-P1P2	UBASH3A_+_43823772.23-P1P2	UBASH3B_-_122526266.23-P1P2	ZBTB1_+_64970303.23-P1P2	ZBTB10_+_81398318.23-P1P2	ZBTB25_-_64971449.23-P1P2	ZC3HAV1_+_138794578.23-P1P2	ZNF318_+_43337335.23-P1P2
AHR_-_17338164.23-P1P2	0.983856692888	1.70445243984	3.12745923725	-0.794806820168	-1.78584127346	-0.00978316224871	0.0264218789364	2.6452928636	2.07554947673	-0.537302065951	-0.630373710617	-4.25261703132	-0.175570283866	2.43474598661	-1.29696447143	0.6272522805	-1.37065937051	-1.09770364231	1.43156401955	0.215041356834	1.57370765768	0.695479333946	1.18437381352	-1.11513854716	7.49090340584	-0.886521045183	-1.6570205503	2.52880303524	-1.75302567111	-2.72660164042	-2.34417430033	0.664251062031	0.546098300583	-1.10100643761	0.475061713235	2.41850646484	0.774611039907	1.06717631983	3.26263889049	0.046636195245	-1.69100599521	0.26557615988	0.00227012768536	-1.17760408552	-3.17343664159	0.0933817256286	0.313337935616	0.16875263493	0.879713416858	-2.61990816587	-0.407189864713	-0.583121722291	10.1112102576	-2.30510923756	-2.61226145425	-2.36046996061	2.27486963783	1.14819257899	-0.930631827251	1.94507079762	1.72294627714	0.935777205711	-6.22954327394	-2.41412147853	1.55855669162	-2.74177142266	-0.123684111967	-0.475602500617	1.00047195926	-2.48597874673	1.57944633757	1.13345961377	0.765806004456	4.87363582707	0.99705285705	-0.479912456876	-4.45171269302	1.25530477873	-3.83137139443	0.706702753716	0.58831623057	0.519849611948	0.799886720656	-0.451802317032	0.51118990196	0.223637790117	3.06311362383	0.903598103842	2.90826085421	1.8335942756	-0.475765985173	0.626276043863	-1.42811548863	-0.557068054818	-2.43597431785	-0.11658606113	1.87552340767	3.97949217537	6.82993715646	-1.07311411988
ARID1A_+_27022167.23-P1P2	1.70445243984	1.84732259429	0.608367017686	0.680027623502	-0.719284368481	0.203663282246	1.33040547333	-0.943985530746	2.04774040157	-0.315108175098	-1.71289537813	0.827018172794	1.45789741992	0.610127033675	0.971172208375	1.11186750203	3.40905728675	1.10859436455	0.879420892693	0.263312591561	-0.0860716076071	-0.545492824064	2.10917122408	-0.608551554017	0.315794938579	1.81114080523	3.2589905634	2.97440541922	0.837497108616	-1.35832723331	0.388678836025	1.04876503805	2.2337778073	1.78465620558	0.0780186438597	1.19138337518	0.748223345831	0.394694945537	-0.480375284425	1.21884191099	-0.576565760737	-0.431062200151	2.2587399399	1.34654890423	0.625378499316	0.127375558686	-0.523881887091	-1.0823851455	-1.45243145311	-1.18334272922	2.05787045546	1.42738144907	6.83572632303	-2.62177969616	2.10038113324	0.105276921889	1.6308617503	4.03556534513	9.9699618054	0.550191640953	0.63044061652	0.500500224193	-1.83522367731	-0.672500777186	1.09628205212	1.0753038119	0.340331310693	2.24306749035	1.74789321668	0.222521619993	0.00675572285771	-4.13056198567	0.0346801350663	-1.27404240539	2.5385835995	0.588170966041	1.91079593634	1.50006659549	1.19029214332	0.182375208794	0.832705530478	-0.0458696163287	1.70998297045	1.86027482909	-0.934065569004	-0.590418444142	0.518259859172	1.67945864195	0.50535327157	1.51911920552	2.9456165764	0.835324354988	0.372918755566	2.04189093916	0.539127047368	0.599690366057	-0.670796808707	2.0152278412	4.81933985109	0.317564127656
ARRDC3_-_90679309.23-P1P2	3.12745923725	0.608367017686	7.50370557604	2.1811792199	4.79433032017	1.01667677785	-0.131451261081	-2.5601963943	-3.36960186555	-2.31346070186	-1.82331222648	1.15208064934	-2.40040417054	3.60940669806	1.53400952195	-1.31309624312	2.3267293722	-1.18303020615	-4.42155702763	-0.560769860635	-2.30522865539	2.60659457968	-3.0107963471	1.48149424004	0.397088399958	1.95091260258	-0.771116185362	-4.15969637427	-1.00017871839	-3.86833413578	1.2612717525	-1.58386019924	-0.365651505171	-5.32249987066	-2.27412858733	-0.744872580059	-3.11087718865	-1.0467587274	-0.267474535451	-1.92495836652	-0.766513482961	-1.807323149	2.52311812721	-0.0817370590509	-1.56419893253	-0.378196280926	-0.318372475211	-1.36908388652	2.91423171458	3.15145916615	1.3078773465	0.542978048235	-3.2803066186	-0.377181092618	-3.04220624062	-0.153150111302	3.46372869725	-0.882515354181	-2.16119476799	-1.70886166515	-0.164810780022	2.39948704313	-3.230336579	-0.507709238717	2.22544137006	1.3491905161	-1.6263746517	0.796882447366	2.51394942721	2.0782687807	0.650797212612	-7.07374021575	1.33144165349	2.23801128432	-3.29048489356	0.697876514285	-0.474872923663	-2.14737449252	-1.23070122819	-1.55448978873	-0.992538957057	-1.05776669566	1.56085743603	-2.71116031085	2.66704662588	-2.79730697799	3.47029387929	0.675539795903	-5.45889345621	-4.74138568898	-0.175556630173	-0.05826924445	1.24184020094	1.74394485659	5.69537676307	-0.395632789899	-1.08597655383	-0.134618049362	-6.50230838696	1.30899139224
ATL1_+_50999374.23-P1P2	-0.794806820168	0.680027623502	2.1811792199	2.67990030992	0.277016898616	-0.196502476094	2.30913225534	1.21955415518	-0.21258026967	-1.8204878234	2.22370658218	-3.91529595024	1.00161969238	1.10711657274	-0.0811382965863	-0.88675284331	-0.509287258988	1.05047945472	0.114425238935	-0.450955978159	1.30251633237	0.449080962642	-1.55218752863	0.0340534943382	3.54600566964	-0.388980622393	1.58327758869	-2.05427036848	7.4476815048	0.805605562716	-0.129564306144	0.27553511015	-0.189787478921	-0.211842033016	-1.46749246633	1.76276124897	0.266633912248	-0.358906702192	-4.02318537861	-0.326015358592	0.226974731474	-0.1607701926	-0.888911509847	0.22466974088	2.29454800709	-0.167124263907	0.127705716215	-0.583120501295	-0.594541318439	1.02339759342	-0.921064550359	-0.348903079346	-2.37885277675	2.82501566297	-0.679598740383	-0.35154047647	8.7238098687	8.43045308207	6.54592842947	-1.79165573683	-1.02833612239	3.60671263589	3.17642325998	0.385965345317	1.24233800498	-1.21344775024	-1.0103402726	-1.48510279625	0.502430037679	-0.496326307197	2.34837535049	1.45298845642	1.77408746874	1.71109654697	-0.0553049574505	-0.0845380629017	1.90681022918	0.651948271496	-1.00913304395	-0.237627472369	1.22234714284	0.384715568728	-0.330010794662	0.991119552668	3.09396433845	0.957814456164	-0.245430972911	-0.272642000548	-0.561098997121	-1.80774857388	-3.97472902949	-1.00100903517	-5.49371371882	0.279125457409	8.39523177389	-0.167226232322	-1.3422879953	-2.75385024706	6.76412146559	1.66192251689
BAK1_-_33548176.23-P1P2	-1.78584127346	-0.719284368481	4.79433032017	0.277016898616	2.32472862755	7.47373100341	1.8180075949	0.76141004719	-1.10184096558	0.970091238748	-0.439563009456	3.15179324583	1.14525832856	0.192193219806	1.56018650476	1.03651822964	-1.71823399974	-0.616762199015	0.101034473513	4.33389539731	1.91586283096	0.725510165211	-2.0355127407	0.0873802180364	-10.5721386956	-1.37400559045	1.16854814771	5.79382773562	5.92218169075	-4.06298642472	-0.162469727736	0.940104944638	-0.742406717701	0.605560147243	-0.235581493096	-2.93379630165	-1.36044955884	-2.75929666659	-9.02864071893	3.50192216677	-2.35339245745	0.98766946628	0.433022877865	0.148814016588	0.567588667743	0.0154755512491	4.46310531402	-0.587691927254	-1.79953099896	0.628815993361	3.41327753146	-1.95272782543	9.62618054277	4.64636227342	-2.24502212652	0.163654003976	-2.65033931783	-0.773559942762	-7.32635984663	-1.3990577318	1.96009488409	-5.10709604301	-2.57511097943	3.2971944561	-0.928845482271	0.418112668498	-2.57826452194	-2.71629898967	-1.32950380781	2.37867967064	0.34220329536	3.11550794255	-0.386256967701	8.63003050253	2.17698840606	2.3107161481	0.952896287764	-0.738343009476	-2.61736387028	2.63861006514	1.38408700227	1.69613205042	-2.01301186377	-0.293189938647	2.10753873548	0.209673880995	2.65921506886	-1.31153506647	-2.09555844154	-2.50403434557	-0.570725844401	7.78948484995	2.05257632706	0.396737439389	-1.37115780774	0.658934851312	-1.59591509137	9.0111686844	-22.0180087319	1.37225930519
BCL2L11_+_111878321.23-P1	-0.00978316224871	0.203663282246	1.01667677785	-0.196502476094	7.47373100341	2.3212080148	0.188529534912	-1.19361263374	0.450929983913	-0.39306882013	-2.16814013085	-2.20191973323	2.48774646043	2.5015641073	-0.304116554206	1.82737366017	-0.688441520545	-0.841560685619	-0.541682340827	2.57298421149	0.704168741108	-3.02604410559	2.25603215271	-1.27323643596	-5.98823738003	-2.7240598705	0.776958233406	3.52694951062	3.75882905205	-3.78740629488	-2.71068103274	1.98967926953	1.91393973318	0.892981119012	2.60587709247	3.17549652485	-0.164793883626	0.363502057018	-6.24591176148	2.32991007401	-1.48930013034	1.61427293926	-3.36583029108	0.752670283384	0.132339073682	0.366223612866	-3.95055488381	-0.2403039045	0.365887502388	-2.74553969734	-2.88977003608	1.37656923554	7.58243895935	0.524350700781	0.932283940792	0.0447897869341	-2.08559171222	-5.98021169669	-0.617873630192	2.4652519686	0.0867324255289	0.42067879546	-4.60889230342	3.48599171791	1.12185525851	1.16844043772	-0.912684158892	0.385392936434	-0.789272333143	3.76693365309	0.326616579301	4.41556067689	-1.46212479298	-2.77712686664	1.25617295092	-6.32621287389	-2.17963572851	0.605203820085	-1.58806630875	2.0862097575	-0.760258040583	0.745172101598	-0.548546600835	-0.307941644425	0.121618251774	-0.10919628364	2.36550985186	0.857929271677	-0.807058681661	-3.41862786749	-10.7167510529	3.24084813099	0.45727254075	-2.38224008655	-6.95321601964	2.19489420587	1.44339758038	-0.709416494366	-2.83744768724	4.63443189718
BCORL1_+_129116290.23-P1P2	0.0264218789364	1.33040547333	-0.131451261081	2.30913225534	1.8180075949	0.188529534912	1.44144044212	2.70961185086	1.4512974596	-0.915756495464	-0.717264665318	-1.99371465415	1.77329276255	2.12838476718	1.30110417548	1.32735453008	2.58045401914	1.86631424646	-0.733751628246	0.646288083197	0.149516146032	2.8790799634	1.71623627029	1.84713995994	-0.790734508175	1.08777737734	0.946100901858	-0.288375512254	-0.709505240171	-2.71885803296	1.66339277184	1.67052740231	-0.739980778816	0.0960070972961	-1.55927680294	-0.745173999287	0.78652456645	-1.63102857033	1.74802095629	2.13220525106	0.124729905354	-0.553328616001	-1.45380591451	1.66302273939	-1.44430183498	-2.39299052343	1.7839482655	0.446685702507	0.382084770097	-0.478663912368	0.0969591414117	-0.30364193817	-0.0662886201345	-0.31227184241	0.552277390687	1.23765926534	0.0590840621733	1.40634032012	2.90947723781	2.41193762818	0.695550815385	-2.22483060824	-2.46876944201	-0.994610720269	0.346029819435	-1.32623609491	-0.176331598808	0.926562135008	0.18536708255	-1.86596666857	-1.52907793841	-3.99507553405	-3.51474351121	-1.39366988332	0.498036244987	-1.50085633586	-0.726319388829	1.9053585109	0.0980630506091	3.00831814779	2.0466337997	2.9020395656	1.36686817738	1.65665848273	-0.3718834102	-0.522758188392	0.964871764345	-1.75416119017	-0.13543760769	1.98482900246	-3.22753917268	1.33443042965	0.068388015859	-0.691909842335	-2.94854730942	0.87843745309	2.24426133495	2.3188142472	2.36229476821	-1.71151833326
BPGM_+_134331476.23-P1P2	2.6452928636	-0.943985530746	-2.5601963943	1.21955415518	0.76141004719	-1.19361263374	2.70961185086	-0.777234239982	3.01577982985	-0.978758619371	-0.473608900811	-3.29378799596	3.59373943274	0.398899759278	-1.23935949126	0.376530298244	2.70751961442	2.32419314791	0.858866649691	0.969135823786	-1.31327731177	-1.68069884972	2.71265431179	1.76249399949	-1.01085746711	2.00891988144	0.0859982942895	2.73147087023	-2.48801036009	2.317702672	2.20210793366	1.81323259546	1.96631361803	3.42709558908	1.29903195828	1.74450290912	1.22031718822	0.232547598496	-3.90215173776	1.13997384897	0.669309810349	1.36009333768	0.0336452338406	0.310692768558	-0.599461235555	-2.4122282374	-0.598883870364	-1.19570294776	-1.19905064677	-0.105984039877	1.94582846616	0.708477453207	-0.0768331295455	-3.32427082632	-1.26795943139	-0.431661355947	2.75315324212	0.443144103557	3.89091123816	0.62704767838	1.18067639987	2.26149724491	1.32349620936	0.653363962096	0.325392985131	1.78262749423	0.241648757409	3.91741625361	2.1721545049	1.95958948158	-1.28296738758	-2.66947616131	-1.26794223037	-6.55247120794	1.99916558356	-0.193853660344	0.415785019096	2.60000149171	0.574241673451	1.9714179145	0.813885412764	-1.74520778507	0.808229372943	-0.406731510933	0.856545971	0.846649256722	2.60617569129	4.17530858867	1.14310508814	0.105152123306	-4.71567443935	2.54801640512	0.562651438835	-4.44455439155	-5.28194212528	1.11409261684	-0.767830127124	-4.65180674409	1.09857400112	0.609014090991
C19orf26_+_1238161.23-P1P2	2.07554947673	2.04774040157	-3.36960186555	-0.21258026967	-1.10184096558	0.450929983913	1.4512974596	3.01577982985	11.4532589296	-1.37652835993	0.383096809057	-2.72980654964	1.43997973121	0.75316375419	4.08680166873	-1.45483400258	1.58300941543	5.88051800195	2.57036470126	-0.205637655825	-1.29177974749	0.521291460503	0.633883536779	-0.762562530252	0.900001357439	-3.24633389786	-6.78289647212	2.04211609903	0.118245118339	6.10868500259	3.40839992718	-3.04795238475	-2.50358224001	-4.40120397352	-1.21117650997	2.75392636533	2.03505304935	1.04383237661	-1.00133593769	1.49956673315	2.39715312784	-0.398440531281	-2.2343510186	2.34631392238	-4.12627301699	-1.34846642062	3.98037439511	-2.93651881728	-3.15009440063	-2.73544228871	2.51073514395	1.92979899726	-13.7724053114	-2.42618533556	2.57481488845	0.0138948620995	1.62609577785	0.286560207972	0.571022521829	-2.90224955876	-1.83336244855	2.59661234308	10.2467220557	-3.52673086576	1.36238064342	-0.0886352020319	1.37367547044	1.96316174172	3.22345209765	-7.98278249989	-4.01425549468	-8.13086071651	0.110387767527	0.0632181635584	-0.39035496375	3.76304905619	-2.84032590736	1.15065509134	1.78348044002	-3.43433191534	1.91004950279	3.9585315929	-6.98743085004	-5.44359923341	6.3188523352	-6.76420359851	2.329328601	3.8539781951	-4.01649996273	-5.81281459196	-10.9560322496	1.78022492825	-0.728976638866	-1.00948838074	1.31556581739	2.55604031236	-4.2293527403	-5.27219161591	5.53398373989	-3.57141964061
C3orf72_-_138665944.23-P1P2	-0.537302065951	-0.315108175098	-2.31346070186	-1.8204878234	0.970091238748	-0.39306882013	-0.915756495464	-0.978758619371	-1.37652835993	1.88309825621	-1.81551168907	-0.25521626085	-0.0673682464918	1.01130308922	0.359753657083	-0.571840028138	-1.68547512175	-0.816776597411	-0.996442194328	-2.56468719544	-1.51313479348	2.07675265298	-4.72203527588	0.0290261284279	-0.280369691025	-2.04995126251	1.09961214838	-2.49651663039	-1.26332465204	-4.1113354015	1.3448089875	-0.344222458791	-1.27693388558	-0.215413917109	3.75547253904	-2.22818206336	-1.99378677328	0.583076793562	3.27397974251	-1.20645208136	0.5426593384	-1.73544570252	0.151738762469	-0.158872263933	0.535304397822	-1.79999448878	3.07675143729	-3.00590921868	0.608364726099	-0.272769218975	-1.31479729018	-0.562013578776	-8.77681024191	-2.15151129513	0.349136072023	-0.970555535546	-2.23040533011	0.869842535378	-3.83041660545	-5.03911931043	-2.00651703194	0.401876894575	-1.01879544476	0.0659902918724	-1.65565628488	-2.32736750965	-1.42084356987	-1.06345099175	-0.77349877769	0.837999091942	-1.12516492207	0.73012340086	2.77004405928	1.59527434511	-2.46356991952	-2.65546396714	1.13014325138	-1.47209808305	-4.2713677196	-0.61747210757	-0.0465805431919	3.69218775305	-1.24291707158	-1.70056833567	-0.05633739352	-1.28286335865	-0.986824937333	-1.68906335072	-1.36937145955	-1.61777617782	2.91385679704	-1.92939279231	-1.40042507526	-2.63593398483	-1.7399377414	-0.387880636727	-0.58790612588	-1.55675512136	-12.1952130986	-1.38558562095
