	b.mean	b.std	a.mean	a.std
AHR_-_17338164.23-P1P2	-0.341105345846	0.0388910673199	-0.341105345846	0.0388910673199
AHR_-_17338168.23-P1P2	-0.326610479997	0.039763928562	-0.326610479997	0.039763928562
ARID1A_+_27022167.23-P1P2	-0.421941529504	0.0407806827466	-0.421941529504	0.0407806827466
ARID1A_-_27022243.23-P1P2	-0.216281994266	0.0190413378011	-0.216281994266	0.0190413378011
ARRDC3_+_90679525.23-P1P2	-0.0987880937372	0.0201515520299	-0.0987880937372	0.0201515520299
ARRDC3_-_90679309.23-P1P2	-0.153685044311	0.0204821260345	-0.153685044311	0.0204821260345
ATL1_+_50999374.23-P1P2	-0.471778921927	0.0358914489467	-0.471778921927	0.0358914489467
ATL1_-_50999367.23-P1P2	-0.380075771343	0.0294147611923	-0.380075771343	0.0294147611923
BAK1_+_33548177.23-P1P2	-0.405053757039	0.0527515959184	-0.405053757039	0.0527515959184
BAK1_-_33548176.23-P1P2	-0.426757678401	0.0403760755813	-0.426757678401	0.0403760755813
BCL2L11_+_111878321.23-P1	-0.14810644681	0.0328883523475	-0.14810644681	0.0328883523475
BCL2L11_-_111878313.23-P1	-0.0698629948442	0.02519895261	-0.0698629948442	0.02519895261
BCORL1_+_129116278.23-P1P2	-0.0120881768358	0.0143635650385	-0.0120881768358	0.0143635650385
BCORL1_+_129116290.23-P1P2	-0.0941165148677	0.0259705581946	-0.0941165148677	0.0259705581946
BCR_-_23522065.23-P1P2	-0.0392285809296	0.0292958294541	-0.0392285809296	0.0292958294541
BCR_-_23522198.23-P1P2	0.0360747855027	0.0154825607556	0.0360747855027	0.0154825607556
BPGM_+_134331304.23-P1P2	-0.0989743361728	0.012665864425	-0.0989743361728	0.012665864425
BPGM_+_134331476.23-P1P2	-0.13989500571	0.021714244989	-0.13989500571	0.021714244989
C19orf26_+_1238161.23-P1P2	-0.167518640795	0.0141011668787	-0.167518640795	0.0141011668787
C19orf26_+_1238358.23-P1P2	-0.0835255258247	0.0246643962963	-0.0835255258247	0.0246643962963
C3orf72_-_138665928.23-P1P2	-0.486991614889	0.0388848397583	-0.486991614889	0.0388848397583
C3orf72_-_138665944.23-P1P2	-0.555234286598	0.0453345906288	-0.555234286598	0.0453345906288
CBFA2T3_+_89043662.23-P2	-0.188949933132	0.0337415767153	-0.188949933132	0.0337415767153
CBFA2T3_+_89043673.23-P2	-0.139265268673	0.0172837606303	-0.139265268673	0.0172837606303
CBL_+_119076546.23-P1P2	-0.121137454109	0.0154242227579	-0.121137454109	0.0154242227579
CBL_-_119076622.23-P1P2	-0.124324994791	0.0228054837229	-0.124324994791	0.0228054837229
CDKN1A_+_36646320.23-P1P2	-0.294536278226	0.0254066875322	-0.294536278226	0.0254066875322
CDKN1A_-_36646141.23-P1P2	-0.171500263625	0.015825330876	-0.171500263625	0.015825330876
CDKN1B_+_12869867.23-P1P2	-0.276541733882	0.0345403716885	-0.276541733882	0.0345403716885
CDKN1B_-_12869956.23-P1P2	-0.252422642947	0.0385900491313	-0.252422642947	0.0385900491313
CDKN1C_-_2907198.23-P1P2	-0.412538552877	0.0357961638284	-0.412538552877	0.0357961638284
CDKN1C_-_2907316.23-P1P2	-0.245360623623	0.0333388549247	-0.245360623623	0.0333388549247
CEBPA_+_33793624.23-P1P2	-0.596125102396	0.0494671915327	-0.596125102396	0.0494671915327
