,AHR,ARID1A,ARRDC3,ATL1,BAK1,BCL2L11,BCORL1,BCR,BPGM,CBARP,FOXL2NB,CBFA2T3,CBL,CDKN1A,CDKN1B,CDKN1C,CEBPA,CEBPB,CEBPE,CELF2,CITED1,CKS1B,CLDN6,CNN1,CNNM4,COL1A1,COL2A1,CSRNP1,DLX2,DUSP9,EGR1,ELMSAN1,ETS2,FEV,FOSB,FOXA1,FOXA3,FOXF1,FOXL2,FOXO4,GCH1,GLB1L2,HES7,HK2,HNF4A,HOXA13,HOXB9,HOXC13,IER5L,IGDCC3,IKZF3,IRF1,ISL2,JUN,RP5-862P8.2,KIF18B,KIF2C,KLF1,KMT2A,LHX1,LYL1,MAML2,MAP2K3,MAP2K6,MAP4K3,MAP4K5,MAP7D1,MAPK1,MCOLN3,MEIS1,MIDN,NCL,NIT1,OSR2,PEG10,PIK3CB,PLEKHO2,PLK4,POU3F2,PRDM1,PRTG,PTPN1,PTPN12,PTPN13,PTPN9,RHOXF2B,RREB1,RUNX1T1,S1PR2,SAMD1,SET,SGK1,SLC38A2,SLC4A1,SLC6A9,SNAI1,SPI1,STIL,TBX2,TBX3,TGFBR2,TMEM173,TMSB4X,TP73,TSC22D1,UBASH3A,UBASH3B,ZBTB1,ZBTB10,ZBTB25,ZC3HAV1,ZNF318
AHR,3.25144681371,-1.7649367446400002,0.7506703081980001,-0.23776596519999998,-0.470196301394,0.266426791153,-0.14902966842499998,-2.8948263293000003,1.0704243862,0.7552524038639999,-0.526182966136,-1.4697811141400001,-1.1657256134899998,0.658735575308,1.92244375634,-0.47830452162500003,-1.7661578492900003,-0.281501748931,-1.20601441696,-1.84214850354,0.282428100502,0.388842211843,1.16046120943,0.529937558586,0.0270739968963,0.461491659565,-0.275082215016,5.15418856021,-0.695934042475,-1.4359644312600002,-0.0679612529592,-4.71126199744,-3.67567666676,-5.02774293854,-1.89626056277,0.210441757575,-0.5191115091749999,-1.95881815311,-0.506655058631,0.138163037758,1.11719600203,0.23227971730500002,0.975733693312,1.72987602943,1.81154323449,-0.424960444631,-0.32840883846999996,-0.6695045372940001,-2.39121864702,-1.04013590695,-0.27549834318599997,-1.5954279197,0.167329117668,-0.39362715985299995,-0.592537753646,0.42507002218400003,-0.5297306807,8.108849223160002,-1.27328506698,-1.57234005324,0.0251652684492,0.613337747435,0.190863116556,-1.4979312757299998,1.5109709715600002,1.82183874167,-0.41392420039399996,-4.08473959014,-0.21475008134,-2.15915773592,0.9612425077429999,-2.67746418228,0.1224908183,-0.27087266651700004,0.960095977775,0.470886789266,0.8506138553829999,-0.6477870260809999,-2.74356272638,-0.23156579604699998,0.08203458630189998,0.615079387759,0.9214831730959999,1.3610658365000001,-0.211969354856,-1.99921127955,1.33880225711,-1.62782127903,-0.160310751488,-0.932364112667,-0.434959686732,1.4879299430700001,-2.5364974032700003,0.451130680264,-1.33383276002,0.314206000457,0.679205550318,0.9738035666920001,3.6879808904300004,3.55842179378,-0.167571570584,0.143065951007,0.999352639191,-0.0646462273786,0.742918030537,0.18992414954300002,-0.70749160344,0.902518404631,0.560174264007,2.8959178174,4.09605760757,-2.2425694648
ARID1A,-1.7649367446400002,5.85814086245,0.5668313679110001,-1.05331744503,-1.20347888091,2.40143533152,-1.0906844983700001,0.5866648239850001,-1.3987863327799999,1.02133897513,-0.474317387629,-3.5391858026099996,0.124589994331,0.290321313204,-0.42856253899700003,1.1720376863600002,0.0701113525357,0.8290789586920001,3.1759417655599997,1.79341380042,-1.08087397433,-0.400063209676,1.39749622238,1.21352875168,-0.6440692019309999,1.6210244119600001,-0.9056642005259999,0.963667498125,-2.99618423956,1.9802048935900003,0.42018186565,-1.3666559440600001,-2.8134230712299995,0.393242670488,1.39241495613,-1.309492864,-2.17727168815,-2.73248025022,-1.61505106245,1.6325345978999999,1.19456427453,1.5335494986200002,-0.0461086848825,1.7294794185599998,1.8984952067200003,0.21408328287,-1.8221205599799999,2.2283231147099998,1.45071486265,2.2426899549400003,-1.5894446067299999,2.38347784132,-1.41689377859,-0.23952386867400002,0.38648259914800004,2.89022195639,1.48712853579,2.11836699784,-0.7543129443790001,-0.7004928544239999,1.90867049222,1.58613307697,1.78712877971,0.672289950581,-1.4878499328299999,-0.100084366427,-0.674341521017,-1.77441244938,-0.199624515892,-0.9858089085100001,-0.261452460803,-3.39280782389,1.13320903019,2.3850487370400004,-2.71646198412,1.30880670213,0.523743061164,2.9128670290599996,-1.45666542774,0.102586212392,-2.16357595485,-0.9344659338310001,-0.568829239108,0.6737497697329999,-1.15341675612,-0.258936203887,-0.184477565324,-1.4084711999000001,-1.9676475174799999,-0.474293239384,0.414759747544,2.02510124815,0.276881520507,-0.7360759018780001,0.593106914872,-3.70866138936,0.629086724481,1.8178429585,-1.14507034817,-1.7336304852400002,1.69730979861,0.321472270461,0.248135346283,1.48528755153,-0.34013471355999997,0.159331325157,-0.962795132463,0.503796491708,-1.02533203537,0.7811879225589999,0.525223488849,-1.01585038749
ARRDC3,0.7506703081980001,0.5668313679110001,0.7021313350239999,0.8781475225450001,2.8138674781,0.5666389432310001,-1.07275746224,-0.45157677642800004,-0.8740863109460001,-0.19819006211100001,-0.230417721358,0.027706499523,0.9973764986079999,0.0294423097677,0.0842532169456,0.995864646225,3.7968373389199996,0.489197907867,0.913129885687,0.459236595674,-1.94055773843,0.00016773348165799999,0.166353500936,1.2031392451799998,-1.9255086171400002,0.0709418100925,2.54025056,-0.45491852138300004,-0.592767487891,-0.575820381072,-1.19891146466,0.07422413093560001,-2.5904674558000003,2.71803721083,0.729955664418,-0.812060102297,-0.828123848908,-1.0200213309700001,-1.31507830013,0.16249915899599998,-1.4000075623100001,-0.733513361354,-0.46024050066399996,-0.9241618453650001,-0.152653134318,-0.838303774412,-0.698306743344,2.34179825803,0.19716329350900003,-0.319093261436,-1.23072382655,-1.63027220769,-0.41341701382,1.19861584215,1.2071134272600001,1.65682108679,0.759483880809,-0.489500754855,-0.833628952234,-1.15296488744,-0.0879976019087,2.23256035098,0.148970206041,-0.558979233913,-0.998685804349,-2.2089568704599998,1.74621998156,-2.1582340345,-1.03798855432,-0.39367208411399995,0.698117496942,-0.50141203988,-1.19038261905,0.479601306997,1.56307535075,0.8259011711740001,0.0177770348374,1.51620212162,1.5510334521200002,-3.2214494654799997,-3.5200574651,0.29056977139,0.951429040769,-1.74796651997,-0.152903528963,0.580157081947,-0.621852267191,-1.6756384287200001,-2.2973961423900002,-1.78461577162,-0.7302176221860001,0.875188819772,8.87183038076,-1.6488561511700002,2.30640569736,-0.398285827267,-0.045376047572400005,-0.167534033203,-2.07037060834,-2.81084101157,0.37762758150700004,0.913364937948,-0.827863532867,2.95157243017,0.364544282004,-0.103082230704,1.6075415759600002,0.163387328548,0.661026676791,-0.0460378346263,-3.5793172408099996,1.48491101881
ATL1,-0.23776596519999998,-1.05331744503,0.8781475225450001,5.204497902280001,1.06723570099,-0.7707332402399999,0.366154044539,-1.99169337602,-0.38809253583400005,-2.26548075179,0.6864215425460001,-0.07369279285619999,-0.230833552443,-0.38917424891,0.963286150891,0.819255765064,0.548554514394,0.427007116828,-0.488533350931,0.741507768028,-0.6985536382009999,0.20110250532499999,-0.678293756828,-2.08093058093,-1.3192754129200002,0.554233116845,0.542178230593,1.50171162247,0.49821522417099995,0.24668275271499998,1.71732156761,4.10116038216,0.978474640654,1.04114744567,-0.110446966846,-1.17840959547,-1.32562604878,-1.74790460509,-1.17398130369,1.82433212441,-0.698761728961,0.743053989438,-0.501099547906,-3.1112456986000003,0.5621738008780001,-1.0208245274799999,-0.868985227557,-0.144220852237,0.9898621810510001,1.1350985833299998,-0.813521289023,2.99453042528,-0.831537798242,0.154132246309,-0.239799967296,1.66134549704,-0.459115170634,-6.824226372130001,1.07983780787,-0.996552540317,-3.41926198931,2.9076250515599997,2.57319287135,1.8684591944,-2.2512138407199997,-2.0134725268900002,-0.32904112566599997,2.6306765220700004,1.6175557686500002,-0.693202371754,0.08872802115810001,-3.97784820699,-1.08963666271,-1.03648157494,0.35663172809199994,0.147935304668,-0.918358953733,0.163962518361,-1.4715717642800001,0.666941671914,-0.067876145556,-0.0381024686641,0.5889711387659999,-0.5079446515280001,-0.471593379612,0.11773417041300001,-1.0150894145,-1.7653977825999998,-2.91805324875,2.8675161422500004,0.96871379104,-1.7823743753099999,2.80041589072,-0.549451073349,4.344798566880001,-1.17411590389,0.716203981591,1.20056296305,-3.93425568268,-3.6730474750199997,-5.504549249430001,-0.1021252577,-2.1682343675299998,0.514256772567,-3.6998771723300004,1.0716922235,11.2240594205,-0.602975500362,-1.03669703836,-0.595523560625,0.654820684755,1.684241268
BAK1,-0.470196301394,-1.20347888091,2.8138674781,1.06723570099,2.1253010870599995,4.40954193222,0.134112675467,-0.6883107955760001,1.30756403974,0.0261647712927,1.2102620956,-1.2535149875799998,2.05268206322,0.711160588191,-0.230426799965,1.1458749060100002,-0.567031642313,0.04873323146919999,-1.7394698096099999,0.6645251784589999,-0.152336759265,3.58626085232,1.0637217537399999,4.07732260513,-0.0956918878231,1.33237896479,1.24020624769,-8.34029390372,-1.86557450317,-0.44008986524800003,2.59740717569,4.649770150759999,-3.96197200611,0.775942764707,0.0360487730933,1.6041990031400002,1.28540447901,0.9897177960200001,0.415597309974,-0.6936558118549999,0.488929647879,0.0610385268365,-1.2209162528,-6.50576057162,0.7618437210860001,-1.10826459619,0.819811785256,-0.105437126674,0.071295172246,0.9939660482960001,1.08009421847,0.819420884476,-1.03691796123,-1.55606986138,0.9474383715260001,0.24076953604499998,-1.63765632968,6.838106422919999,2.29690579272,-0.40077638041999997,-2.4185422110599997,-1.33364722026,-1.8702335587,-2.79856335163,-0.7153096294769999,0.9428662703280001,-4.018007255280001,-0.599659761423,-0.170096729706,4.21685760936,-0.6700530820239999,-0.305995321648,-0.118525093847,-0.550527426499,-5.88800124406,-1.11815902784,-0.682506085281,-0.585651897231,3.5837636365900005,1.6307429044100001,1.16568695683,0.53568359009,3.95564521579,0.848437458556,1.23835156214,-0.0937190447967,-0.7737612797579999,-3.7482104815300006,3.39677043051,4.22421988798,1.0414077429700002,-0.257900289163,-3.58727632305,0.837365153713,1.59060369916,0.239128429062,1.8337071150400002,1.01880954923,-2.60639993844,-3.4018618350200005,-1.1713930986399999,0.261206162754,7.685756769389999,2.5055412980900003,3.4715559946699996,1.16145892974,2.0398373350599996,1.3939153486700002,-0.27531850221299997,6.972402839480001,-13.745453686,-1.0393130589
BCL2L11,0.266426791153,2.40143533152,0.5666389432310001,-0.7707332402399999,4.40954193222,1.14386333328,-0.4122841682,2.47640581945,-0.853533250719,0.173178537184,-0.566508414928,-1.7922003087799998,-3.06274729898,1.9089149768200002,1.48635776905,0.990004960619,-0.973421739879,-0.454389497155,-2.2209319187,-0.9924777993889999,0.18679346775800001,2.46130183278,0.103549667466,-2.02431540267,1.64867045329,2.59178900754,-2.97920269755,-3.6906004556400003,-0.775803051695,1.59844512371,1.4705226481799998,3.28093198972,-2.3355753685,2.41230055334,-0.555572172672,2.61181432773,2.38380875662,1.62810764343,1.86426883884,1.4890010087299999,0.245964471112,-0.860354615904,-0.204347337025,-4.38163589762,-0.134516266828,-0.23006079468600002,1.3878687738100002,-0.732960566751,0.033640594268499996,-1.42824441167,1.0608479129100001,-4.41388095051,-0.127600030954,-0.9170253714059999,-0.469524217534,-1.9691155235099997,0.24892648033300002,5.322700101640001,-0.0625627900454,1.6531853062900002,0.90839250279,0.930656169411,-3.08562791588,-0.253746206383,2.5459482020900004,0.43174385321900005,0.46047047847499994,-1.05485021182,0.415818953237,2.5658915698800002,0.995535295813,0.379946230049,-0.329661075622,0.100258499821,-1.141854984,-0.7716956746100001,0.083240144715,0.46088496909800003,2.8167195616600003,1.26951789338,0.558822257404,-1.5716440115900001,-1.1959678409399999,0.863965366655,-2.46193151545,0.47617659736400003,0.611134513609,-1.8908953114400002,2.44701646661,1.02448171485,1.61619418657,0.664645715647,-0.547036124228,1.1626617712799998,0.5345074177570001,-1.09905706075,1.38710048315,1.41570408243,-0.77773473042,-3.7593023133699996,-8.55924553747,-0.871093289973,2.87009843247,1.23861637422,1.16087928826,-0.700278563418,-2.4908808112200003,0.157824564592,2.2787961045299996,0.288250602974,-1.2355514076799998,1.36740601833
BCORL1,-0.14902966842499998,-1.0906844983700001,-1.07275746224,0.366154044539,0.134112675467,-0.4122841682,0.439546142202,0.7036136785089999,0.0616578157955,2.03624346699,-0.148618214753,-0.488470818206,-0.9072137368500001,2.7376877501599997,1.2996954828799998,0.34994738355599997,3.82597282321,3.97295295373,5.19893737591,1.31955452504,-0.08658773544430001,0.579101603205,1.80027877504,2.3956238251900004,0.601525532954,2.23605940545,0.8679305363150001,-0.346551182492,2.55702357632,0.383233550373,-0.866933014489,1.44700836141,-1.4126830991100001,-5.20496206301,2.43524495128,2.8403271802099996,2.30371268299,1.63439268825,1.3541808324200002,-2.2963628070400004,-0.7630897581910001,0.6259762089850001,-1.57763535268,-0.48097438862899994,0.264963802132,2.46546794778,0.79280400097,-0.698424147997,1.5913361997600002,-1.65485183063,-4.841349613809999,-1.53886189763,-0.142952319247,-0.788592161831,2.0794464269,0.646257807973,0.931158377834,0.298694855401,-0.183339706495,-0.653285866061,1.59777113856,0.8288198805399999,3.4001338369,3.1397253810900003,1.7056370772799998,1.76246116282,0.10146280545299999,-1.24743852259,0.272749589622,-0.941558145965,0.254387672186,-0.49595062782300003,1.5283896338,3.41335591241,-1.06403606065,0.243661100604,0.90010529516,1.31242412622,-0.694461705607,-4.29981266964,-2.9924843432999997,-5.00920483351,-2.33024647492,1.41446577824,-1.69323068766,1.0127888227500002,2.63842394453,1.04106888603,2.73796583528,1.01076771096,-0.262334171291,1.85219275977,-0.693221124227,-0.549597381381,-0.48235528520099996,1.63561686869,0.853935672041,0.515499446811,1.2360753412,1.8044206908900002,-2.08150450978,0.144095624513,0.257955808673,1.0060501157200001,0.0341357202729,-0.421261423028,-2.0762511088499997,0.632655624253,2.9327625881299997,0.507403541089,0.885491329118,-1.65446461783
BCR,-2.8948263293000003,0.5866648239850001,-0.45157677642800004,-1.99169337602,-0.6883107955760001,2.47640581945,0.7036136785089999,-2.52744892498,2.1915668147,1.3521928830599999,-0.981048941757,-1.7773809285,1.8878367761700001,0.342258924494,-0.571096749432,-0.17348951775,-0.715679833592,0.44115599852,3.1639539397600003,-0.132680190951,-0.263988605755,1.9606035445299999,1.72146627133,1.09544159687,0.275509823906,-0.549574113527,-0.7399961377169999,0.341164332428,-1.4580218736300001,2.7378335875300004,0.9994013364669999,-0.3545372692,-0.7229772637690001,-3.0937261950700004,-1.1240944737899998,-1.16861571153,0.13325860602700002,-0.9406235885690001,-0.408526187337,1.6805004374899999,-0.07271617258589999,-0.360880909609,0.527112057676,2.46838877217,-0.215060793914,0.527355765007,-1.9841675465900002,1.3191944077200002,0.48359550422799996,2.35399211944,2.95894439619,-1.0768584722399999,-3.1029445192400003,0.131903084487,1.1929165629,-1.04366444622,-1.35146609632,-0.9234817846660001,0.18381654817899998,-0.340385428306,2.2928205357199998,0.601416595879,-0.265572685888,0.254515624719,1.5751348845200002,0.0506359521715,-3.4978318290699995,-0.48798800544,-1.10861214206,-0.238803982872,-0.854277960111,1.7525007007299997,-0.425929017611,-0.700380321184,-1.5043850199899997,-0.459328197479,1.87958191825,-1.0302058584,0.0792629205412,0.594264976621,1.0253637126100001,3.2662627786000002,2.73745782642,0.6503447101659999,2.8163851033999996,1.0771062924400001,-0.357775196109,0.829572303716,0.8543091254809999,2.06747580538,-0.588341746743,2.64038786136,-0.143023732248,-0.729453956732,0.220589790673,0.188243743225,0.8682690672040001,-1.7314813812599998,0.904824751288,1.4140557835699998,0.0709235181839,-0.462468509212,-0.0286240947542,1.79686013082,0.717884980322,0.9262155871709999,2.6371858726700004,1.18983533676,0.7907045140279999,5.19436816208,0.0489094942856,-0.49057499611
BPGM,1.0704243862,-1.3987863327799999,-0.8740863109460001,-0.38809253583400005,1.30756403974,-0.853533250719,0.0616578157955,2.1915668147,1.4211966789500001,1.2943711961700002,0.45706278724,-0.219286370525,-3.55560746684,1.8515059935099998,1.69273514605,-0.14072856972300002,4.114669169669999,2.23312045067,2.8144767861799997,1.65154608949,0.9855014289899999,-0.631541448006,-0.328503978396,-1.7037533912399998,1.45481545019,0.509376385302,1.53416003528,-0.597467099384,1.8336233562400002,-0.8275514872840001,2.20913390118,0.6071399134440001,1.9588921044,0.835324515295,2.58171675311,0.944324841276,0.9306061017730001,2.36632306093,2.9401082151599995,0.365900457836,-0.6859783624169999,0.448223251655,1.8469426985,-4.07324923496,1.47564165326,1.90975109017,0.995872178097,0.522887759156,0.5461287162080001,-4.022752035480001,-4.16010763167,-1.9718724930400002,-0.42720635572800003,-0.150190005439,0.5688940891709999,2.3582094362599997,1.16929170162,-0.266441684771,-1.63297326253,0.00910494319846,-1.17524837761,1.67724799711,1.24565720031,1.98844649725,1.13288661676,0.743643903505,2.59696678463,1.36311526716,-0.187055309298,0.957119693905,-0.456590950326,0.8320191508399999,1.15034301316,2.86907461249,0.8189519931929999,0.551976882285,0.561277585737,2.36555803585,2.11416329881,-2.22480982815,-1.01571062749,-2.40783992347,-2.9950594864099997,0.928550017485,-1.3408919208499999,0.932948354078,2.8933517516000005,1.1862031281799998,1.55682991863,0.133637871434,-1.74284595028,0.580861601031,1.61061149955,-0.53981755125,1.7242750019,1.31914179094,0.928384001439,2.8791380169300003,-0.0105446474864,-1.68502163597,-3.9103783540699997,0.432498962985,0.90205610039,-0.38683083449699995,1.06839734132,-1.4706721266299998,-4.2864744534699994,-0.165732221495,0.731073853367,-3.10297797444,0.686112880732,0.646589878477
CBARP,0.7552524038639999,1.02133897513,-0.19819006211100001,-2.26548075179,0.0261647712927,0.173178537184,2.03624346699,1.3521928830599999,1.2943711961700002,1.3646601988,-0.986378956768,0.0877494665922,-4.21062439136,0.7811443944959999,2.17519089063,1.7264031491599998,0.783626342468,1.09265546724,-0.757233225671,0.296592760503,1.1558844189700002,-0.560553345943,-0.25465963826099997,-1.53911400501,-0.0326661214294,2.82435565379,-1.8265123175599998,1.11980373516,-0.0739057095422,-4.23767803764,1.4709664893399998,1.6971406295700002,4.18589306266,4.353319502380001,-0.107564203792,-3.3326394990099995,-1.7740865560199999,-0.590620081276,-0.768320309528,0.63918048589,-0.8912716109029999,0.0021394654674700003,0.7307859158050001,-0.642521949523,2.25688756543,1.9316037858200001,0.0869899284095,-2.11427645884,0.232984924573,-4.191120355430001,-1.9605184366,0.965885826971,-1.8276834033000002,-1.7313631408400003,-1.15088422269,2.7365222942900003,1.3938604588799999,-7.308187916839999,-0.804941468757,1.8430283378599999,-0.338146625602,0.428303936992,1.8135126507,1.69799102759,-1.41482780034,-0.624128734332,1.9493097871400002,3.3526930502999996,-1.3497877205000002,-1.4028713438799998,-2.0913747678599997,-1.13649966333,2.8346078442500002,1.61671648859,1.7723847298299997,-1.05157197003,-1.08656214469,1.4063895944299998,-4.38436974672,-2.60440929098,-2.9039861844800003,0.746222649721,0.378446244411,0.0691415430523,1.7402191615,-1.5185568298199998,-0.0882034233878,1.9336900167099997,-1.13187660557,0.0029426478729,-0.5126814271769999,-1.9621316424000002,0.6460171408259999,-1.41293118321,3.66801353708,-3.5043946202,1.9510555161400003,2.74805244019,-1.42593163292,-3.8155261495699997,-7.115548769330001,-0.8831433499670001,1.02478868116,2.5280961145,-0.679721543998,0.12609593625999999,-0.89995634895,0.739791375037,-3.3666616315,-1.94512449695,4.22050039492,-2.1922344871400004
