gene,AHR,ARID1A,ARRDC3,ATL1,BAK1,BCL2L11,BCORL1,BCR,BPGM,CBARP,FOXL2NB,CBFA2T3,CBL,CDKN1A,CDKN1B,CDKN1C,CEBPA,CEBPB,CEBPE,CELF2,CITED1,CKS1B,CLDN6,CNN1,CNNM4,COL1A1,COL2A1,CSRNP1,DLX2,DUSP9,EGR1,ELMSAN1,ETS2,FEV,FOSB,FOXA1,FOXA3,FOXF1,FOXL2,FOXO4,GCH1,GLB1L2,HES7,HK2,HNF4A,HOXA13,HOXB9,HOXC13,IER5L,IGDCC3,IKZF3,IRF1,ISL2,JUN,RP5-862P8.2,KIF18B,KIF2C,KLF1,KMT2A,LHX1,LYL1,MAML2,MAP2K3,MAP2K6,MAP4K3,MAP4K5,MAP7D1,MAPK1,MCOLN3,MEIS1,MIDN,NCL,NIT1,OSR2,PEG10,PIK3CB,PLEKHO2,PLK4,POU3F2,PRDM1,PRTG,PTPN1,PTPN12,PTPN13,PTPN9,RHOXF2B,RREB1,RUNX1T1,S1PR2,SAMD1,SET,SGK1,SLC38A2,SLC4A1,SLC6A9,SNAI1,SPI1,STIL,TBX2,TBX3,TGFBR2,TMEM173,TMSB4X,TP73,TSC22D1,UBASH3A,UBASH3B,ZBTB1,ZBTB10,ZBTB25,ZC3HAV1,ZNF318,negative
AHR,-0.41397648464000003,-0.5453114540517501,-0.4097928370575,-0.56960079564125,-0.56309631452675,-0.39089391639625004,-0.36143520894875003,-0.3900686821345,-0.36528615652374996,-0.41427329826674997,-0.61441574876675,-0.5065877157080001,-0.46754935143325,-0.42957198018575,-0.3985535568995,-0.50837743686275,-0.6683224487285,-0.5091395889682501,-0.59222839402775,-0.42102124998150003,-0.44263395021350005,-0.408320208998,-0.45159534372125,-0.395094027502,-0.41594122322774996,-0.5111760991855001,-0.5348417358405,-0.143100982029525,-0.4790844474025,-0.582297333625,-0.3982752358985,-0.34745931443225,-0.49344137662474996,-0.5770883293645,-0.4860339136795,-0.500383287105,-0.51267378448275,-0.54851274241975,-0.50707315086525,-0.5529442585792499,-0.30760129608625,-0.3890907117445,-0.528230611853,-0.3586055590675,-0.45758346874775,-0.6067059369525001,-0.48335775558399996,-0.60524076779975,-0.60029159195225,-0.5525740067475,-0.58598611211175,-0.47390181476025,-0.461839752992,-0.5265877142872499,-0.53750083062,-0.4428262073975,-0.4144270923035,-0.0371926420608,-0.419080409083,-0.5404039186385,-0.3701426959825,-0.23993128094075,-0.239306745611,-0.25185270512799995,-0.3515324019865,-0.35036785432075,-0.4115220407585,-0.49861893510724997,-0.36981172653325,-0.5027734285854999,-0.47513084580525,-0.482427267838,-0.5450039613440001,-0.44157711730025,-0.40250301087449997,-0.3482464912495,-0.47841520409524996,-0.42489683836325004,-0.582546299764,-0.58071937183,-0.51241488581125,-0.4782566159815,-0.35475822498625,-0.3914439392325,-0.39012352095225,-0.6266744355714999,-0.429688063593,-0.38254638904800004,-0.4130173773665,-0.48580906535175,-0.46987847703075,-0.3839335932415,-0.34818259763524995,-0.54325867515325,-0.36462911011375,-0.5355723977044999,-0.54075692739075,-0.44184776033675,-0.24893721371324998,-0.29404282794575,-0.41108852721425004,-0.349172489184,-0.30474733702375,-0.5865566874029999,-0.387367383897,-0.399568459883,-0.42929762439874997,-0.40494878163174997,-0.5506004157145,-0.305265639062,-0.09976973090235,-0.44141819664875,-0.33385791292129996
ARID1A,-0.54531145405175,-0.43205170998625,-0.3973908426775,-0.56088538780275,-0.57495644838975,-0.34692380881425,-0.34926108383575,-0.30479069937774994,-0.4112108935275,-0.4000016544215,-0.58723871275725,-0.50220745265875,-0.42377632701124995,-0.43037930950275,-0.46372480527575,-0.45581350833275,-0.554820834568,-0.4560338451175,-0.46135970667549997,-0.329155095541,-0.45575354747999997,-0.41703686184300004,-0.45313134056524995,-0.38207905113975,-0.4144299683985,-0.4827405441975,-0.5395719767164999,-0.18487016152495,-0.48711634557175,-0.4814802968465,-0.37651654744125,-0.2800929375415,-0.43912682301075,-0.443584756475,-0.38717081351375005,-0.5059678099835001,-0.4954894703935,-0.5026536886624999,-0.493552352682,-0.51870547060175,-0.29104816899075003,-0.35312251063850003,-0.5561930314715,-0.35681032964775006,-0.48047420191025,-0.5720895122555,-0.47308150875050003,-0.518377210051,-0.484331126794,-0.46432110342324995,-0.5908335401989999,-0.39459429497,-0.4679584346325,-0.5025572503144999,-0.49475185209000005,-0.40592885522875,-0.35350157211774996,-0.139658210624435,-0.38977845654275,-0.47273131948550007,-0.32965155275875,-0.219768994575,-0.19030809344677502,-0.20453289535325,-0.388766295665,-0.37920941425625,-0.39150605837224994,-0.41751249817925,-0.34909215692825,-0.44501279721724996,-0.48021387003724997,-0.4477281961975,-0.50949727810325,-0.35745616269325,-0.415381783025,-0.3092722006045,-0.48874468278475003,-0.3454677471275,-0.4974246027275,-0.562928174737,-0.54510213939175,-0.48895473326500005,-0.36199154391525,-0.39279909644199995,-0.38306626187575,-0.53244200689875,-0.45065685129,-0.35599464573975,-0.443454379148,-0.46536943045799994,-0.442283538272,-0.35859130782725,-0.29430465635025005,-0.55119231081675,-0.32758084064025,-0.6000142302925,-0.54820842809125,-0.42405260596,-0.3471097421635,-0.3930654802395,-0.35981378259475,-0.33236077795175,-0.3093714672815,-0.551558578622,-0.38482419056725,-0.37765644036324997,-0.41361794602900004,-0.40882902896375,-0.5695592461175,-0.33498298215175004,-0.13528664262020001,-0.396699088451,-0.3191117618852334
ARRDC3,-0.4097928370575,-0.3973908426775,-0.2423859199685,-0.46594577140250004,-0.41139536205375,-0.21949754322099999,-0.18474415217825,-0.13339324667650002,-0.25230652205175,-0.25173211990625,-0.549536446139,-0.296186076427,-0.24150165730175,-0.32882946750425,-0.3622785889985,-0.38567640521625,-0.4855855610345,-0.38351038105074997,-0.451474868415,-0.19283868847425,-0.344893982189,-0.279877580292,-0.36102647605,-0.20493828024,-0.28545669078825,-0.45545489067449996,-0.38363850127724997,-0.018318304002,-0.32096334322200004,-0.43968467036500003,-0.25758024400650004,-0.074941165876775,-0.28229153529275,-0.2628263178,-0.25074342619825,-0.37299687847175,-0.3659084041445,-0.35368252728425,-0.388211943804,-0.49058664291075,-0.1176281496856,-0.21757415153775,-0.5232878347825001,-0.21930432063400002,-0.4440304296635,-0.5648895182285,-0.31139394239875,-0.47272677947700004,-0.42840737750775004,-0.39637985041,-0.52754005401625,-0.29059474837599997,-0.2803476370925,-0.3523880940095,-0.36067560448325003,-0.2990985792855,-0.21063508089150002,0.032332545267125,-0.22314726769575,-0.34589881079824997,-0.19464312494799998,-0.02361907659649,-0.0377571020252,-0.032080844690175,-0.2150258099,-0.24882468428175,-0.20463583593775,-0.263995235906275,-0.16690405538699998,-0.26876797292325,-0.36602852552799997,-0.233256441907,-0.5094137139035,-0.25075258287725,-0.2097655851655,-0.1437461841575,-0.3980148953525,-0.21570613659525,-0.30387037491075003,-0.570694724837,-0.47136025507675,-0.36531510523724997,-0.18103956933725002,-0.31126566986625,-0.21606316711900003,-0.432973673872,-0.3416753927795,-0.198357644828,-0.3152165580675,-0.37392676608775,-0.32119462342225,-0.22595959463124998,-0.009032961948840004,-0.51043456289775,-0.13331661062900002,-0.43696732840599994,-0.5056440865685,-0.34618160961225,-0.20649624030477498,-0.262425112074,-0.182223952688,-0.131789833123375,-0.16133118344975,-0.517882820977,-0.20476319989875003,-0.2187544089505,-0.21896470362925002,-0.2681618307765,-0.4732076143815,-0.18146325290525,-0.0188221679031175,-0.17335813762449997,-0.12623656902418667
ATL1,-0.56960079564125,-0.56088538780275,-0.4659457714025,-0.39652656459650004,-0.5244271232422499,-0.48632527468900005,-0.4096385856385,-0.43009385580524995,-0.46590574507524996,-0.54777444797675,-0.56518302636825,-0.5154277065342501,-0.50601084880775,-0.501190203602,-0.46798252805325,-0.4872861449985,-0.5697687997525,-0.5194610923462499,-0.5929690224102501,-0.42720885288375,-0.5287075390785,-0.46601609156799995,-0.5637045342775,-0.546708199767,-0.5162728987827501,-0.526914976751,-0.53978390657425,-0.28383439657425,-0.50053191998875,-0.5658566462955,-0.431487596218,-0.32448634378625,-0.44477423542175,-0.5010158253979999,-0.491474681738,-0.5908279795332501,-0.5783463757545,-0.58656848438375,-0.5630080739132499,-0.51499315765025,-0.42325721918325,-0.45991453293525003,-0.587984732782,-0.51011957201075,-0.5303661090575,-0.6260164208132499,-0.5545947964244999,-0.5905063646785,-0.53082256623725,-0.51379441078875,-0.60495310655,-0.45006804633775,-0.5447392599230001,-0.5515310635152499,-0.55843991451175,-0.47151892024,-0.483605449417,-0.43276718201475,-0.4527488695265,-0.56572586765575,-0.4909874366265,-0.31194468399975,-0.31479565753649996,-0.30940429028625,-0.5077402139880001,-0.52303860276125,-0.48277496345974996,-0.397063152033,-0.42594967739875,-0.532445320802,-0.53924312527975,-0.5814770343325,-0.60994008086525,-0.537983812938,-0.481265873698,-0.4363178378845,-0.57957510979375,-0.483427502406,-0.59145689592175,-0.55384064034975,-0.5489145048335,-0.52067297328225,-0.433191561358,-0.5140876942525,-0.46572777270275,-0.5615884046199999,-0.55596743639825,-0.454492570512,-0.547969458585,-0.46552327439075,-0.48994255860625,-0.51548896171,-0.38028372424574997,-0.5851629456865,-0.33147632974450003,-0.6133791286504999,-0.5482318863655,-0.479913379784,-0.5019780434610001,-0.536515661583,-0.5761230404845,-0.43742206593599997,-0.44211116966325004,-0.559400126548,-0.5312308521775,-0.45099687053799997,-0.30350804656999997,-0.51043513425675,-0.6107135472225,-0.4415081748295,-0.23520978958375,-0.47115844075424995,-0.4259273466351666
BAK1,-0.56309631452675,-0.57495644838975,-0.41139536205375,-0.5244271232422499,-0.45451643279724996,-0.2977229306585,-0.40145191007025,-0.42150534033775,-0.41712871445349997,-0.48669545278250004,-0.5427999532829999,-0.53914036197275,-0.44074088639075,-0.45747680071325,-0.48977794107625,-0.4516647284095,-0.6355704483769999,-0.5181112169655,-0.630081153364,-0.43021496449375,-0.505197499651,-0.32745124841600004,-0.47827168687724997,-0.30007956962750004,-0.471462656516,-0.47902852430349996,-0.49800534444550004,-0.40052828533650003,-0.54821628437375,-0.57242220403,-0.38577201506025,-0.30498675650725,-0.5580084038445,-0.494868358477,-0.476248752624,-0.48095997498599996,-0.49074432441075,-0.49891537515249995,-0.510967951119,-0.5828883541152501,-0.4020447137755,-0.461071557578,-0.6101181915735,-0.55530008070625,-0.5128185785742501,-0.6493618248322499,-0.48321208320474995,-0.5917571194844999,-0.5398685080747501,-0.49984708017625,-0.544343681472,-0.4409593122885,-0.541906105471,-0.5938772629625,-0.5035910522310001,-0.50528592913475,-0.5034517837032499,-0.170696878873,-0.421808869885,-0.5351960118057499,-0.45710531446375,-0.35600479668475005,-0.38328383036575,-0.36159539825200004,-0.46377969814349995,-0.43255462939575,-0.5452217557202499,-0.47045106602725,-0.44837447466874997,-0.4069544536695,-0.5556522097202501,-0.4886699109075,-0.5643632137955,-0.50617208950125,-0.5523461980405,-0.45713711128150003,-0.5576284593495,-0.48361349798375,-0.43286708937075,-0.5261050677877499,-0.50083408865575,-0.496697181229,-0.38132608706625,-0.44274348646675,-0.42566848172675,-0.5598509998527501,-0.5329540790975,-0.46993423421424996,-0.35500349684849997,-0.41663705118025,-0.46564305814725004,-0.46906949840425,-0.45179305770925,-0.5366082261259999,-0.3700465049875,-0.5534647601255,-0.49190877701025,-0.46036658774600003,-0.47022286777625,-0.5214544597135,-0.49582773269424996,-0.42467117137525,-0.25923676010175,-0.495328580055,-0.41335743275049996,-0.43794880265424996,-0.44000809006975,-0.4409656715525,-0.584340224448,-0.29240237911875,-0.41165876649250005,-0.48899172680800007,-0.4159057177198333
BCL2L11,-0.39089391639625004,-0.34692380881425,-0.219497543221,-0.486325274689,-0.2977229306585,-0.17386158971775,-0.152868432553675,-0.053710013715400004,-0.22753159796825,-0.22241930163925,-0.5565232188405,-0.31426541705275,-0.2967200688385,-0.25947988816975,-0.2858826304885,-0.35113607070225,-0.6117402757275,-0.38148635601775,-0.51350514396875,-0.1960832955761,-0.278711418372,-0.1830923472945,-0.33325989833424996,-0.26468067667625,-0.19146531759825,-0.3485718055685,-0.48346026141875004,-0.045439030512705,-0.30928003051124997,-0.37534539208100004,-0.17850410426875002,-0.016779263340310498,-0.2663457551835,-0.234649673073,-0.26300417819774996,-0.25612774635225,-0.2660426804605,-0.27334495849425,-0.28536478839199997,-0.43580275315075,-0.0850292009187,-0.1968463841,-0.5028046109205,-0.2508393675245,-0.425714825754,-0.55574592932525,-0.23428103362175,-0.5293647884574999,-0.40768160441325,-0.39498568051899996,-0.46633515937775,-0.33733911691975,-0.2548318218595,-0.37341180451625,-0.37398475896774996,-0.33230168553399997,-0.193869657492425,0.13663733811849998,-0.19135936462,-0.25667891825725,-0.158575231170675,-0.020939344732025002,-0.08427851705292501,-0.0186230064696325,-0.12980267185835,-0.18143132247875,-0.19704111815125,-0.241009492216625,-0.125526987730125,-0.18833906958925,-0.3290951140305,-0.195890326522,-0.47906329682125004,-0.224852960068,-0.2190096336315,-0.1529735890715,-0.372282424687,-0.21288671732615,-0.238279799397,-0.46632049799300007,-0.36824275596675,-0.38383024299125,-0.18451516125700002,-0.228916304210225,-0.2323801615045,-0.40825988423174997,-0.28309179100575,-0.18659196258125,-0.18880947861525,-0.31263305830925,-0.24172861617125,-0.2073367750203,-0.08910885683849999,-0.42945065711225006,-0.135731752181175,-0.4310348787795,-0.44303122985125,-0.27096365039675,-0.160492398093025,-0.27732820335325,-0.302023089771,-0.13909691389125,-0.08521570197525,-0.5390575591219999,-0.17263824504699998,-0.20679357789549999,-0.262318900457,-0.2295247953735,-0.412727024146,-0.156886845395325,0.01226644150496,-0.13798208064224998,-0.10898472082706666
BCORL1,-0.36143520894875003,-0.34926108383575,-0.18474415217825,-0.4096385856385,-0.40145191007025,-0.152868432553675,-0.08822564736725,-0.04488198912443975,-0.1505489057065,-0.13957085566492503,-0.523815113539,-0.21785744669950002,-0.18599837934975,-0.2123848332595,-0.255124790704,-0.32787866303925,-0.49340940872850003,-0.253087916597325,-0.32787901078975,-0.08978733431882499,-0.23586497563255,-0.1862013180745,-0.24980318590900003,-0.089821038084475,-0.167727348913525,-0.3391492682825,-0.34313625292825,0.04045412398942249,-0.1873152181688,-0.3500066602485,-0.17568171998347498,0.0037902409464499985,-0.18969655320825002,-0.304687681201,-0.143269545580775,-0.21893197320899999,-0.239262172468,-0.23077095324574998,-0.2736847253144,-0.47810569413,-0.038732581207303,-0.11008723831407499,-0.503190920354,-0.13728219576275,-0.36943530264975,-0.477990609784,-0.2056557995948,-0.49596623846425003,-0.334739651561,-0.3404409742435,-0.5341686826805,-0.18753709059875,-0.186869173839,-0.31337935172875,-0.27300394032975,-0.23526734393425003,-0.13330373320592498,0.09340209352,-0.13651476085602499,-0.24588204502,-0.0989724656643,0.0237824449679125,0.07003205861204,0.0647636775084825,-0.09473034035790001,-0.1043166760666,-0.151173013141925,-0.17255107378685,-0.071341449000225,-0.19447106764025,-0.2978148630155,-0.15377768456765,-0.40371234321125,-0.118385494206,-0.1604888033833,-0.07731525362154999,-0.3059765882475,-0.145379036238575,-0.2624959697625,-0.5373367119597501,-0.379813733843,-0.37862207038575,-0.1388248279056,-0.183261306035125,-0.155832434677275,-0.36983082016900004,-0.1957129996408,-0.0974498469658,-0.14344945107992502,-0.25566195038925,-0.21172090724825,-0.13585923874380001,-0.035989320388474993,-0.42618075349225004,-0.10228097665065,-0.329027247318,-0.43711495563124997,-0.267859847943575,-0.075976680816775,-0.1008988089168,-0.12743725239707498,-0.06605157158026499,-0.07968775830045,-0.5370106660575,-0.13230940032549998,-0.13586155798740002,-0.188180255746,-0.17659329747590002,-0.370135860494,-0.098440545173125,0.0752133182036,-0.12249700689297499,-0.053102345851708
BCR,-0.39006868213449997,-0.30479069937775,-0.13339324667650002,-0.43009385580524995,-0.42150534033775,-0.053710013715400004,-0.044881989124439754,-0.05183854003403,-0.081833871448775,-0.096857021416275,-0.52697668954675,-0.20262939118425,-0.09598783034527499,-0.211046167148,-0.26630211864849995,-0.31568769340025005,-0.5852916404385,-0.27721361319115,-0.31196492397775,-0.07669533625844999,-0.1955057913828,-0.12101781111675,-0.21035490655599998,-0.08301157693797499,-0.1306984028911,-0.39055273238800003,-0.340636363847,0.09750593279775,-0.21988795249275,-0.27760152809024996,-0.097283074124625,0.036128661364910004,-0.12650127305775,-0.236190912546,-0.14799951253775,-0.24212731914725,-0.2301907330051,-0.2232324578485,-0.25830965590325,-0.38639907961425,0.0228997764032875,-0.07797887550299998,-0.460696202043,-0.05733812880555,-0.36592127607125,-0.50913903376425,-0.201775233507,-0.41149874238649997,-0.32571820551450004,-0.22922134881375,-0.41278612812225,-0.15753435339232502,-0.1823492722885,-0.256478253534,-0.24424860884175,-0.22961628472675,-0.12144319875017498,0.133415869802675,-0.08552670235234999,-0.20291065236724998,-0.0504283221158275,0.071707247174,0.07755243233022499,0.08743081124937499,-0.045377528804000006,-0.07371357777525,-0.15395086356,-0.11507931563825,-0.0373118669953975,-0.129685639614225,-0.28614968486049996,-0.05666622408395,-0.4455810829575,-0.12636706876355,-0.11184805297020001,-0.03282069362067999,-0.24759744786825,-0.1458804559786825,-0.19475224994575,-0.454705097494,-0.27347760248975,-0.2126830329635,-0.04247796046652749,-0.146792331011875,-0.059275812688125006,-0.325930282941,-0.2047622822025,-0.053527536881375,-0.13694374676999999,-0.2171013261245,-0.18062911711325003,-0.07928327098855151,0.024455290287250003,-0.412140226295,-0.04967993898575,-0.300877314525,-0.43860022649624997,-0.26537409185899996,-0.028572709772499996,-0.059196017660735,-0.0497190227537125,-0.0182990108067975,-0.039677874704425,-0.5440043085635,-0.07306964433124999,-0.07494728017371,-0.0811907459382875,-0.12856436194524498,-0.3802566360845,0.0026461126838075028,0.10918721842095,-0.047586510277115,-0.0015768977134316652
BPGM,-0.36528615652374996,-0.41121089352749995,-0.25230652205174997,-0.46590574507524996,-0.4171287144535,-0.22753159796825,-0.1505489057065,-0.08183387144877499,-0.207198132571475,-0.21045071353075,-0.5209190365325,-0.27555366456925,-0.2955745876815,-0.27058508393375,-0.30086367472000003,-0.38185108882775,-0.4689111461405,-0.31661332790975,-0.3895948601835,-0.14465971518175003,-0.26462928486425,-0.2620902096685,-0.34111869823999996,-0.246716419757,-0.20832476529225,-0.420216404799,-0.37585190916175,-0.020981188045478497,-0.25143182247275,-0.41967762421599997,-0.18147284329250002,-0.066900294280725,-0.185738465142,-0.271244246438,-0.19160153892624998,-0.30601698108375003,-0.3061968831285,-0.2668060280555,-0.28074861930975,-0.46444637639125,-0.106901428716825,-0.17800132542799998,-0.460919245488,-0.243508050102,-0.38109358721275,-0.49147766571425,-0.25343185632224996,-0.483605708234,-0.39331530096774997,-0.43242038172999997,-0.5614774333345001,-0.27479231579025,-0.26437177067600004,-0.35448309514725,-0.34504132475525,-0.25650735690725,-0.18817146672575,0.020356922414975002,-0.21996961687525002,-0.30450379214625,-0.1941991172935,-0.02731584464277325,-0.018375529339687502,-0.005158185459149999,-0.1698365436495,-0.183607907665,-0.17457721548125002,-0.1872288847525,-0.14769703621574998,-0.23071722727549998,-0.36099953225900006,-0.19311281985849998,-0.43600949489375,-0.17345301631124999,-0.20613979649499997,-0.1361637068255,-0.35294646032199994,-0.17943565546075002,-0.2690648616325,-0.53206228657425,-0.39561257786875004,-0.389887320637,-0.209014528362,-0.24236699883067503,-0.21996350830175,-0.3928364861825,-0.241564931047,-0.15523403002475,-0.22100512060125002,-0.32069363151175,-0.31350439248925,-0.21347198651549998,-0.076877046164725,-0.46621447853975,-0.1299859578395,-0.371547964301,-0.46090092976775004,-0.25043322791825,-0.152426483931075,-0.22184755220375,-0.22910850224225,-0.130802767629075,-0.12797838089325,-0.5844924629955,-0.18455530769475,-0.22429114545275003,-0.28097122633175,-0.24770733765999997,-0.453764185049,-0.21027987219025002,0.022321106385593252,-0.1709794931435,-0.11943467094155333
CBARP,-0.41427329826674997,-0.4000016544215,-0.25173211990625,-0.54777444797675,-0.48669545278250004,-0.22241930163925,-0.139570855664925,-0.096857021416275,-0.21045071353074998,-0.23575160752450003,-0.600083928296,-0.28799759939475,-0.31852310974125,-0.31163600853675,-0.31456159519775,-0.37736316928675,-0.6034196170185,-0.37405467742525,-0.502569922006,-0.1780617445275,-0.28169601699650004,-0.2877742351005,-0.364723414538,-0.2605553562085,-0.2494577812105,-0.408298479448,-0.46747662218724995,-0.006310546178622501,-0.30452068203225,-0.50043882614625,-0.214491353359,-0.055667075015125,-0.165568708669,-0.2332332427185,-0.25573969505425,-0.413435043869,-0.38254824002,-0.3412028618295,-0.37802354909874997,-0.49085579995600004,-0.11344906888414999,-0.19706612428775,-0.520625052898,-0.212522705025,-0.40824817580874995,-0.53912037722825,-0.28999042453324997,-0.576411535169,-0.42884800920849997,-0.46262412136175,-0.5589142457625,-0.241544648154,-0.29705779587500003,-0.40626288063399996,-0.40800825340075,-0.27039573311625,-0.197196194769875,-0.07518408276907501,-0.21926163225125,-0.28668649291225,-0.19393235704725,-0.044510429179874994,-0.013326106718199997,-0.010498013494215,-0.21565462295300003,-0.21882627107275,-0.19510601126775,-0.1676880462949,-0.16929172228574996,-0.27563350552349997,-0.4159839950125,-0.24106229570624998,-0.44176438244050004,-0.224133639465,-0.206228979614,-0.17221436719,-0.42555707431800005,-0.21165742826425,-0.39955870614425,-0.58547690397125,-0.46114006003975,-0.35927354231624997,-0.18372357460525002,-0.2798837257046,-0.19121768137525,-0.48199438436625,-0.32354195203075,-0.156018852464,-0.28839795003775,-0.34489255346175,-0.3027625091955,-0.26979764096875003,-0.09251333304537501,-0.51830136617225,-0.11578755436645,-0.494760028014,-0.48709450514599995,-0.2853891424475,-0.18642173658487501,-0.26727284553875,-0.27623554173250003,-0.15431835339875,-0.13677202171105002,-0.5699472654465,-0.21385324936925,-0.20886120259200003,-0.2512087995665,-0.25112584722425,-0.560706849414,-0.2021102559538,0.056852421406575,-0.21269368565775001,-0.1255220833098233
