,AHR,ARID1A,ARRDC3,ATL1,BAK1,BCL2L11,BCORL1,BPGM,CBARP,FOXL2NB,CBFA2T3,CBL,CDKN1A,CDKN1B,CDKN1C,CEBPA,CEBPB,CEBPE,CELF2,CITED1,CKS1B,CLDN6,CNN1,CNNM4,COL1A1,COL2A1,CSRNP1,DLX2,DUSP9,EGR1,ELMSAN1,ETS2,FEV,FOSB,FOXA1,FOXA3,FOXF1,FOXL2,FOXO4,GLB1L2,HES7,HK2,HNF4A,HOXA13,HOXB9,HOXC13,IER5L,IGDCC3,IKZF3,IRF1,ISL2,JUN,RP5-862P8.2,KIF18B,KIF2C,KLF1,KMT2A,LHX1,LYL1,MAML2,MAP2K3,MAP2K6,MAP4K3,MAP4K5,MAP7D1,MAPK1,MEIS1,MIDN,NCL,NIT1,OSR2,PLK4,POU3F2,PRDM1,PRTG,PTPN1,PTPN12,PTPN13,PTPN9,RHOXF2B,RREB1,RUNX1T1,S1PR2,SAMD1,SET,SGK1,SLC4A1,SLC6A9,SNAI1,SPI1,STIL,TBX2,TBX3,TGFBR2,TMSB4X,TP73,TSC22D1,UBASH3A,UBASH3B,ZBTB1,ZBTB10,ZBTB25,ZC3HAV1,ZNF318
AHR,0.46601870282700003,1.04340307143,1.36338451458,-0.606902573374,-1.31251473886,-0.321820197337,-0.206990448017,1.94721525714,0.659082661602,-0.33940127557599997,-0.711257441573,-3.0701563961400002,-0.42050583762599997,1.51539509875,-0.897161146287,-1.28646625301,0.34175323611599995,-0.82393531667,-1.1944445146,0.8407918227529999,-0.19145223678,1.02254561237,0.286316951314,0.63033383278,-0.242226346156,-0.857598139333,3.50218698914,-0.927950016875,-1.19044171854,1.6803714323899999,-1.28127559612,-2.66453580495,0.0405009699621,-2.25805561032,0.27602866719700003,0.188449224573,-0.9871402998209999,0.12956567426899998,1.30793806063,0.37585138146499997,0.608529412937,2.37660616461,-0.0615110705242,-0.948477089226,-0.01967199087,-0.0642008098377,-1.05618863381,-2.14685053737,-0.054250683085,-0.0210218969234,-0.214339586746,0.34382785399800003,-2.0327818949200003,-0.621999519915,-0.765713896786,5.6766749774,-2.18576278964,-2.1989177940599998,-2.25102197172,1.3618652625299998,0.776028180261,0.0673823051714,1.4895564064700002,1.12145664687,0.329239018778,-5.454361958280001,-2.42357400067,0.9303848027230001,-2.69851896843,-0.0433701501068,-0.631212375002,0.54186935677,-2.1035845112900002,0.933806695748,0.268687033665,0.305364448819,2.9025892092000003,0.534636865757,-0.555802179831,-3.18108564119,0.681546272175,-3.25212679597,0.276903172119,0.164775972632,0.121555784342,0.364727630263,-0.359502155304,0.17328478482299997,-0.058053385071900006,1.99444534725,0.370748132233,2.28385806843,1.2299963678499999,-0.714325593391,0.243932245635,1.33218106574,-1.04845067765,-0.664021776441,-2.1931666429599996,-0.34520177674099994,0.9314424605830001,3.2031510449000002,3.10911760207,-1.1896823508299998
ARID1A,1.04340307143,1.2557358474299998,0.0612945933018,0.388504449546,-0.702610255622,-0.098253372745,1.10089418126,-0.9670096827240001,0.560266638799,-0.228081440216,-1.4591627869200001,0.394913067389,0.8924265210200001,0.256801766679,0.5592957997510001,-0.47951848295599997,0.759322256918,1.87180799868,0.729749521109,0.531143363922,0.023010776426,-0.231893013418,-0.580241823688,1.64136217,0.662722649067,-0.501225308581,0.813288905007,1.1839744514100001,1.60955388884,2.23209505783,0.551555663684,-1.37221589725,2.90946195323,0.0965279903627,0.658467925795,1.4687958765399998,0.90040511586,-0.111909775975,0.593205137642,0.46946205101000005,0.176575788668,-0.542851110404,0.649190392369,-0.226258143786,-0.47396687924099995,1.10311427541,0.853821367341,0.17056177922000001,-0.0781408227296,-0.5999331652090001,-1.06355300421,-1.1812809477500001,-1.1058080644,0.935741314052,0.926893442431,4.16322064765,-2.2093792318400003,1.4446705402000002,-0.00184896690565,1.10078869062,2.37270014687,4.2250137164699995,0.21401088154800002,0.29977762777399997,0.049838091752000005,-1.63377311099,-0.7892985897139999,0.714474173719,0.7347178999539999,0.19045218193100003,1.7025620233899998,1.3243096133299999,-0.10421727005100001,-0.08772488608510001,-2.41816609979,-0.117516253301,-0.66742438783,1.79994067836,0.285656791332,1.2171026443700002,0.974406750958,0.787338817607,-0.0591908273313,0.44367223456999993,-0.204772067188,1.2156745243,1.11907960226,-1.0302176300299999,-0.63217045205,0.309547980781,0.912480477661,0.32375591043699997,1.14634151663,1.93092784605,0.579535353507,1.5192042514700002,-0.200126959113,1.18605769431,0.267170018019,0.315403118183,-0.52253354498,1.5652476780700002,2.97442636893,0.10169368767100001
ARRDC3,1.36338451458,0.0612945933018,3.15622795635,0.941248247523,2.24127271313,0.320085172366,-0.396150088479,-2.24770992977,-1.7501289829,-1.14208278295,-1.27282014869,0.338072982382,-1.8482937391099998,1.5538933645100002,0.485390028564,-1.5466957016499998,-0.8633800669220001,1.00212920995,-1.04323756298,-2.7580734416299997,-0.839785286733,-1.7836800113,1.3173954509999999,-2.62574079375,1.18508924643,0.41261445106899997,0.40266314201,0.793593627793,-0.6436931529950001,-3.29924620958,-0.43997919577699995,-3.06410983425,4.076297647480001,0.426019215775,-1.17031670418,-0.453013112897,-3.07312801212,-1.40059773611,-0.569733243087,-2.22197149757,-0.7023633495010001,-0.709044414378,-1.16483375559,-0.119656197602,-1.31537697735,1.0391681160600001,-0.457706369555,-1.08847510927,-0.336850988906,-0.5190850186399999,-0.941002355703,1.2713126891500002,1.4554237765,0.35819544428800004,0.044311343361,-1.1194960341,-0.645541069657,-2.00891261905,-0.360760404362,1.96340637482,-0.0313667600047,-0.376790007262,-1.50040174948,-0.336687881918,1.21938876283,-2.61334610038,-0.515128175541,0.9004892140109999,0.817750229854,-0.7376520780850001,0.119819219089,1.1750660847399998,0.969053903417,0.231581569545,-3.33313178316,0.425887643128,0.8402104291150001,-2.0968386926400004,-0.026784394090800002,-0.48479372469400006,-1.55498717162,-1.16318567547,-1.2958455635500001,-0.9333314047840001,-1.0307575662000001,0.619308541656,-1.4738107637,1.5392995470299997,-1.9176570806400002,1.67310664717,0.0652018509076,-3.9874636765300004,-3.2964512033999998,-0.22316010159400002,-0.5575945697770001,1.9553661625099998,0.319325370183,0.71905123657,3.3482538259400005,-0.604387338458,-0.624721476291,-0.47400228991899995,-1.73250705597,1.05584417451
ATL1,-0.606902573374,0.388504449546,0.941248247523,1.6790102578100001,-0.0217370517209,-0.476474446356,1.89678277985,0.9160822617319999,-0.472706925727,-0.941764726834,1.41258701333,-2.57821525621,0.5276516578639999,0.537273070102,-0.0862118274595,-0.39392034330799996,-0.649215069058,-0.347018139454,0.5793492524989999,-0.025738727022199998,-0.604528495116,0.919358981548,0.17797894821899998,-1.38444211744,1.23567084854,0.00737276598308,2.0785279895,-0.39642673843599996,0.6676016239060001,-1.8637920895200002,5.034775509059999,0.5078948594520001,1.7798435769999998,-0.367794343116,0.0852493998391,-0.161232961901,-0.206416708882,-0.981154322736,0.961541665982,0.0826819562032,-0.23939310221700003,-3.3951070079799996,-0.225261032575,0.43687991694399997,-0.15346366571599998,-0.44479461968199996,0.111964217719,1.22497766556,-0.060000959852099994,-0.08247608948889999,-0.642891806736,-0.42003669383299996,0.48590845428400004,-1.06848468315,-0.514607375669,-0.9466802605429999,2.2296626648599998,-0.573051951212,-0.333841203239,4.84263004212,4.3282143285800005,2.74896264356,-2.02442446252,-1.0153239108,2.28964974863,2.48916038622,0.219786505271,0.8120748983689999,-1.26822183365,-0.48404068375,-1.26615672423,0.20206872168099999,-0.5410851495800001,1.4463208322,0.543407556493,1.1808937080500002,1.33939532823,-0.119405793452,-0.0980381637465,1.19983808265,0.31470092215,-0.825201673951,-0.40969758631700004,0.703266447148,0.150611938189,-0.36405844696500006,0.614670642195,2.39536512017,0.657727806327,-0.127298511265,-0.30295190003,-0.612425064044,-1.5025213783899998,-2.9913941140499998,-1.07769193377,0.130435520247,-2.97228515579,0.15058680637900002,6.2231751609599995,-0.237673618347,-0.666511956084,-2.7521982923799997,3.4663329218300003,1.31079652759
BAK1,-1.31251473886,-0.702610255622,2.24127271313,-0.0217370517209,1.1611897633700001,5.70299122954,1.4626350902899998,0.499088872818,-0.8532583654520001,0.369231405838,-0.406729547217,1.9030357556900002,0.588069897966,-0.13474092740399998,0.778675668876,1.78317393403,0.47393066391099997,-1.19317550824,-0.6855020093529999,-0.10244670294199999,3.44460024018,1.3697167478799999,0.38678008803499997,-1.8291628284099999,2.14068986473,-0.06540062143780001,-3.9571022918699996,-1.12203992491,0.397042193293,4.33302731013,3.9028818310300006,-3.56666384396,3.8379087731699997,-0.337088878067,0.556070213642,-0.6165132875429999,0.19444737328699999,-0.314126046919,-1.77770511348,-1.18044974708,-1.9528245094799999,-7.638069230069999,1.84056064552,-1.7276979520700002,0.70851919874,0.00800573414291,-0.045229904807,0.173927322087,-0.17608072683200002,3.0448502739700003,-0.6184054838790001,-1.30011709731,0.20434560320700002,1.7766634486700001,-1.7275859248099998,5.06332401428,3.5007710109099994,-1.6948359148700003,0.06252446810080001,-1.53224970348,-0.40038649968900003,-2.22223998775,-1.631065091,1.34829716005,-3.9860110571800007,-2.1385692334,2.70716267811,-0.7786813680689999,0.158644189041,-1.75952041058,-2.1868829760299997,-1.24124959322,1.4924932149899999,-0.0115017996028,1.1846856350100001,-0.40717684445299995,5.427533943769999,1.3928186736100001,1.31618699123,0.452303170626,-0.6743636705239999,-2.14103743188,1.8470214726099998,0.786865742697,1.1831431826999999,-1.63811334032,-0.36974817897699996,1.5545053959000001,0.0225843722572,1.5305435595200003,-1.03221474565,-1.9389732125499999,-2.06659643966,-0.649535769246,6.301652671009999,1.75919035444,0.645563042112,0.139189023708,-1.15823976079,0.364900215857,-1.00840780073,7.70434889362,-6.3115370428199995,1.06908808979
BCL2L11,-0.321820197337,-0.098253372745,0.320085172366,-0.476474446356,5.70299122954,2.09458677729,0.114006879792,-1.30149056494,-0.0148389856397,-0.7495191974429999,-2.0805868688299998,-1.88593758028,1.8594392086400002,2.0123485691,-0.47982466502,1.13840112516,1.34719019929,-0.819104483957,-0.8833077135230001,-0.711132131118,2.35830300412,0.49306037027099997,-2.68451387759,1.92754161842,3.7885045978300007,-1.24660209992,-2.3539974027,-2.56683294721,0.151243683355,3.0424796291100002,3.33593347862,-3.6707076302099995,1.8726200826700001,-2.69476056004,1.5655179884200001,1.26838517203,0.215042307239,1.7288116546099999,1.8843265518599999,-0.275184411393,-0.014382908032400001,-5.627335425169999,1.4315569673500002,-1.5484740863799997,1.25789578741,-2.6894813197400005,0.324448751816,-0.30494638543,-0.236257538921,-3.6891219158,-0.41301488190499996,-0.11250030980100001,-2.53654367591,-2.2217479629700003,1.15856833692,5.107167242619999,0.252359453532,0.5672783887349999,-0.0486163730319,-0.847180488142,-2.9490055789499996,0.40890160583000007,2.56716900824,-0.00849121306397,0.243321814025,-4.504985184740001,3.2237026717900004,0.704382343518,1.10866574755,-1.1024432034,0.23218276149,-0.8821203911609999,2.87545062634,-0.120961006481,2.0101474439900002,-1.5563988407700002,-1.9724731608400001,0.872732325713,-4.50591295307,-2.10827579234,0.311811924176,-1.4410950220899998,1.84955703038,-0.898546419103,0.5127135502929999,-0.687835333588,-0.613839402782,0.133563421835,-0.316012937494,1.61979081592,0.366363986886,-0.91278179942,-3.34010425435,-8.576959726970001,3.0353342620099997,-0.7206032325599999,0.042329451045500004,-2.01213611777,-5.97369984974,1.73801674471,0.477614248535,-0.7099656262749999,-0.292547312507,4.68342710742
BCORL1,-0.206990448017,1.10089418126,-0.396150088479,1.89678277985,1.4626350902899998,0.114006879792,1.4034625117299997,2.53489669159,0.631005469838,-0.7640740547,-0.872298608762,-1.7719382998599997,1.3920051116499998,1.7890919714400002,0.953021967169,-0.8529568982790001,1.2350777553299999,2.03103573188,1.79792733835,-0.8256876060330001,0.550303284283,0.0742701098099,2.4165668615500002,1.50976856091,-0.573283634581,1.32895066311,0.302508633169,0.799402864279,0.430016160129,-0.35622771542900006,0.0189678379767,-2.65983432803,-3.25904941315,1.589953226,1.3839055332899999,-0.86534734846,-0.22333640496999999,-1.58569805879,-0.645527288295,0.652506346961,-1.3654220113100002,1.61102679674,1.6349172308000002,0.443201291219,-0.668514947622,-1.0628983103899998,1.2540168976600001,-1.4698748854199999,-1.9258144765799998,1.4503112814899999,0.154085816326,0.0777506205631,-0.6332678890460001,0.038789974197,-0.342196655357,0.8055182774609999,-0.328186525994,0.290579649916,1.1612117210700001,0.659995657132,1.6214736729600001,2.20529210905,2.6418889667700003,0.603083479913,-1.85966696251,-2.52943997687,-0.9532855452150001,0.123849549265,-1.2199840935600001,-0.032842175241400005,0.785103211238,0.127412692229,-1.8220243751700003,-1.31546093282,-3.05314159547,-3.31060561991,-0.987822419056,0.307990463659,-1.13724747055,-0.7815077228210001,1.5515048545899999,0.0516276319981,2.8084396855400002,1.69467871926,2.68093759819,1.1394673503,1.2969098455399999,-0.278572260226,-0.579052748742,0.797166411515,-1.60766606944,-0.17686286028700002,1.7602574040299999,-2.62590653211,1.37496007968,-2.23397971871,-0.126512291007,-0.733886461394,-2.6269947177,0.614956726603,1.5533857995299998,2.3464539820500003,2.0699952785900004,-1.5171417725999998
BPGM,1.94721525714,-0.9670096827240001,-2.24770992977,0.9160822617319999,0.499088872818,-1.30149056494,2.53489669159,-0.961803344328,1.3370502609100001,-0.839486082077,-0.806834603548,-2.9596809855799995,2.85334514394,0.112310504404,-1.1983133563700001,-1.84214678815,0.363178484583,2.05882366094,2.1480037897999997,0.570962218264,0.753210135543,-1.4120812645700003,-1.68290896117,2.32443648224,0.401517327629,1.13226044988,0.40958885947400003,1.4770869984200001,-0.426332925463,2.30588515672,-1.3868094591999998,2.0583439173199998,1.17160028015,2.0164631172400003,1.4099823960100002,1.3960304948700002,2.16426965879,0.7498332187800001,1.09806560957,0.9488427489219999,0.139883390767,-3.62250142433,0.749984588778,1.0554268181200002,0.990169164999,-0.143257182822,-0.0258737267805,-0.9997952026160001,-2.10312570991,-0.8337214407160001,-1.32325668286,-1.40669076176,-0.480522742134,1.2978627937799998,0.489558704328,1.0698406272499998,-3.10546134089,-1.47842290524,-0.545009262198,2.49076494719,1.22279993764,2.9611183145999997,0.7229102305410001,0.9410048259129999,1.6818479345299997,0.959633678434,0.49298611517499996,0.0248823497855,1.68239721778,0.330314569359,3.59294614514,1.9942130350799998,1.3173793926700001,-1.16355003861,-2.5079142683,-1.43880173,-4.74773173214,1.59785529704,-0.331754702752,0.112576106847,2.08470302147,0.322041952784,1.69930677949,0.473697591689,-1.90875672962,0.49714734582500003,-0.47388290546499995,0.8332942277399998,0.629024080652,2.17362281789,3.1311497057,0.9973011253290001,-0.13874347742,-4.02096937999,2.42985230623,-2.6189009791099997,-0.054951833532,-3.79413272611,-4.779644640980001,0.7183256217790001,-0.800583217862,-4.55901856254,1.99665436509,0.698432492897
CBARP,0.659082661602,0.560266638799,-1.7501289829,-0.472706925727,-0.8532583654520001,-0.0148389856397,0.631005469838,1.3370502609100001,4.499014530369999,-0.87178426854,0.00577961646053,-1.63526469961,0.194862557656,-0.219209802749,1.43832077518,0.6808147195890001,-1.1091137393700001,0.40328656010799996,2.8515557517900003,0.840006766635,-0.57352547738,-1.14120117424,0.1281234638,-0.260137817626,1.28254002423,-0.7995893826070001,0.563746446568,-2.04550060772,-3.28461459992,0.588137339243,0.20427264349100002,3.3685003675,0.673363006702,1.5528203892899999,-1.83661003242,-1.52909495015,-2.43535186182,-0.892020876965,0.8700607506839999,0.924246533418,0.113361128671,-1.17033063246,0.29781291975499996,0.936049245322,-0.39470748274800005,-1.21024555535,0.663618529305,-2.193751783,-0.8699302964210001,1.69554489742,-1.5898701703100002,-1.86532669913,-1.5623931645700002,0.9081833397619999,0.8624591257969999,-5.88935017714,-1.85237782408,1.1332819250900001,-0.172806527139,0.9313871322920001,0.448395200378,0.568400208462,-2.16807945921,-1.22226000903,1.30767036778,5.28743274894,-2.31063134917,0.285345475312,-0.0815146812877,0.36637619796,0.6895751618100001,1.42433068289,-4.37712404898,-2.1414777983099995,-3.57703111955,-0.322085544878,-0.39920095491400004,-0.545596323976,1.60669180527,-1.70861441435,0.167009555084,0.790067983617,-2.1743209957099996,0.553521389856,1.7581886295400002,-4.0469714691,-2.78175892587,3.7401566184300004,-3.9761917556300004,0.7498910234080001,1.48230622199,-2.7251103782999997,-3.57078456667,-6.594489902309999,0.635646658873,-0.461658202076,-0.502618282034,-0.689414773787,0.543967623626,0.969949201632,-2.03566386487,-3.9957251991100002,2.24445403541,-2.1851837948700004
FOXL2NB,-0.33940127557599997,-0.228081440216,-1.14208278295,-0.941764726834,0.369231405838,-0.7495191974429999,-0.7640740547,-0.839486082077,-0.87178426854,1.3685496202899998,-1.2378462742899998,-0.088934349594,-0.178073129749,0.40306721725199995,0.233614871249,-1.0671215241399998,-0.368274281443,-0.800649105433,-0.952003246908,-0.7410035198520001,-2.34671584533,-1.30864414691,1.3050171937100001,-3.83174141453,0.48516229995,0.153110207998,0.43060313991800003,-1.4812645757299998,0.510759447982,-2.19137928455,-1.34748181853,-3.5405127644,3.26650847011,0.688913875348,-0.34629766184,-0.725173994498,0.0328837751713,2.23573469485,-1.01337330485,-1.64402080541,0.439640478024,2.66399218309,-0.568862014085,0.786264924453,-1.2635055336399998,0.323564455253,-0.0112793649955,0.358343573914,-0.612441577079,1.9148548806499999,-2.07162888779,0.511514955769,-0.276160341961,-1.4127891619100001,-0.7469932752959999,-4.319421941590001,-1.38149375486,0.20505318902300002,-0.787707655187,-1.31543812679,0.292500711815,-1.0868242795999998,-5.14281658321,-1.79237481195,-0.057175313935,-0.695246503838,-0.0566031172445,-1.07970263095,-2.30230066145,-0.47336962078199996,-0.92960880921,-0.853689303269,0.393258576554,-0.494183910862,0.5126397382460001,1.90045664973,1.5652990122400001,-1.6942511416100001,-1.5437953382299998,0.770142518494,-1.11519058912,-3.0971224635500003,-0.737964817789,-0.18850139519900003,2.6444183748,-1.01365457719,-0.77206623685,-0.36189240735600003,-1.03795099578,-0.450082820383,-1.0398709052700001,-1.25736077231,-1.2782802252,2.07267950949,-1.90090221271,-0.48949240156999996,-0.883174182663,-1.4412323823,-1.1825484369900001,-0.357308180859,-0.016380013627899998,-1.7642169029499999,-2.81672880556,-1.5450959920200003
