,AHR,ARID1A,ARRDC3,ATL1,BAK1,BCL2L11,BCORL1,BPGM,CBARP,FOXL2NB,CBFA2T3,CBL,CDKN1A,CDKN1B,CDKN1C,CEBPA,CEBPB,CEBPE,CELF2,CITED1,CKS1B,CLDN6,CNN1,CNNM4,COL1A1,COL2A1,CSRNP1,DLX2,DUSP9,EGR1,ELMSAN1,ETS2,FEV,FOSB,FOXA1,FOXA3,FOXF1,FOXL2,FOXO4,GLB1L2,HES7,HK2,HNF4A,HOXA13,HOXB9,HOXC13,IER5L,IGDCC3,IKZF3,IRF1,ISL2,JUN,RP5-862P8.2,KIF18B,KIF2C,KLF1,KMT2A,LHX1,LYL1,MAML2,MAP2K3,MAP2K6,MAP4K3,MAP4K5,MAP7D1,MAPK1,MEIS1,MIDN,NCL,NIT1,OSR2,PLK4,POU3F2,PRDM1,PRTG,PTPN1,PTPN12,PTPN13,PTPN9,RHOXF2B,RREB1,RUNX1T1,S1PR2,SAMD1,SET,SGK1,SLC4A1,SLC6A9,SNAI1,SPI1,STIL,TBX2,TBX3,TGFBR2,TMSB4X,TP73,TSC22D1,UBASH3A,UBASH3B,ZBTB1,ZBTB10,ZBTB25,ZC3HAV1,ZNF318
AHR,-0.499276725076,-0.468233410676,-0.37918675276,-0.589119285797,-0.621657578235,-0.428988171034,-0.399750164639,-0.332309307139,-0.43041206944300003,-0.623957664598,-0.5079570638750001,-0.5317202805,-0.48621710318000005,-0.364905880668,-0.569256886915,-0.74482095639,-0.539580780565,-0.629472609754,-0.469477301874,-0.462489649604,-0.414215480223,-0.457194878676,-0.394787482611,-0.389179095776,-0.575420207901,-0.556339462932,-0.107663271979,-0.539084335732,-0.604430720021,-0.355010610822,-0.30695770008,-0.495552290114,-0.35198831880000003,-0.527042674182,-0.490937106938,-0.528215171619,-0.586904101801,-0.538733527426,-0.46809254443400006,-0.40468737183200004,-0.522397218821,-0.33699984070699995,-0.546359084127,-0.682398757089,-0.497798790636,-0.585811665794,-0.550339794084,-0.634785002479,-0.585091823986,-0.46241759980400005,-0.464252629862,-0.526644673444,-0.648556812036,-0.480377378899,-0.467770741535,0.0135863109761,-0.45389746330700004,-0.588635289581,-0.47553313528499996,-0.221038811667,-0.194919726748,-0.21093953374299998,-0.34531001907,-0.369105785173,-0.411958491476,-0.6377234624279999,-0.512833617134,-0.465389577822,-0.490587593464,-0.611932239961,-0.49672296694300005,-0.41739767181599996,-0.581326805185,-0.5206010754479999,-0.547426906368,-0.501738968593,-0.309356482338,-0.496542782802,-0.395437167433,-0.7308110506829999,-0.44715219208499996,-0.45296423635,-0.41676381587,-0.485794230454,-0.456343191493,-0.46136078711,-0.5951283464370001,-0.34603985161399997,-0.5377999139140001,-0.447449054542,-0.513961732037,-0.304489642139,-0.377517813847,-0.43209796113300003,-0.315251021505,-0.500622537211,-0.45246921721699995,-0.44675012168899997,-0.470082444403,-0.465860237677,-0.523549772654,-0.331067498073,-0.0333012451021,-0.44667649376699997
ARID1A,-0.468233410676,-0.444577854397,-0.475477782166,-0.512787302814,-0.570513368445,-0.45903963281099996,-0.418626347998,-0.477573191046,-0.481988665054,-0.583524660971,-0.574725642722,-0.4579969408,-0.44751522887100004,-0.437350373676,-0.46916782522399997,-0.635602727314,-0.502778533226,-0.43963381483099995,-0.41814168931199996,-0.48440251240099996,-0.444536885815,-0.5331266055730001,-0.480414010098,-0.411720637123,-0.486181858661,-0.541144550563,-0.277717584296,-0.473061688815,-0.452029062937,-0.38688795963399997,-0.36058091275,-0.5110403237650001,-0.23042185680100002,-0.458200784781,-0.48521738409500004,-0.453594544892,-0.51232487706,-0.543642289006,-0.493576651988,-0.45068455445100003,-0.530710703024,-0.459304847526,-0.495091001263,-0.596229589581,-0.546762483341,-0.498524292729,-0.466599212219,-0.509717918502,-0.565902073114,-0.520196403038,-0.542263365597,-0.602659646479,-0.6079027584910001,-0.472666341715,-0.45620544666699997,-0.149606829935,-0.516753616299,-0.447940172911,-0.463811543188,-0.319827050041,-0.253227388431,-0.177354357137,-0.43950402174099995,-0.455955838127,-0.478195677303,-0.525731262514,-0.524371201066,-0.481094013694,-0.458484515495,-0.5670776797770001,-0.39702360369,-0.411951263479,-0.526105751848,-0.557246052252,-0.684635342553,-0.5273379650810001,-0.434673925863,-0.435449470097,-0.434240569477,-0.47180698178999997,-0.447242158671,-0.43117022778,-0.469582692235,-0.48309001640199994,-0.49393414647,-0.45576919096999996,-0.48353986019100004,-0.447647940279,-0.575016340813,-0.527188704616,-0.494271537184,-0.427366579105,-0.426942199728,-0.450049699775,-0.38253633177,-0.454799726867,-0.48955607845399995,-0.450895940868,-0.46343645916500004,-0.46524824956,-0.586906383624,-0.422458303443,-0.133275922667,-0.484992227011
ARRDC3,-0.37918675276,-0.475477782166,-0.188839191442,-0.470178604736,-0.385466413624,-0.272838979276,-0.245965012121,-0.325240303541,-0.362616177387,-0.618214948124,-0.380461580803,-0.26248445585499997,-0.44737558851000003,-0.30769222056699996,-0.444464937075,-0.725846090395,-0.547900769137,-0.487271550472,-0.312768489501,-0.550499829311,-0.313853899272,-0.46768604676799996,-0.208728153286,-0.349415754175,-0.481783767515,-0.422569062791,-0.023103695279599996,-0.35469161319799997,-0.47002883921300004,-0.37459990834600004,-0.101898718993,-0.350502512968,-0.125530121271,-0.267137780209,-0.446984255695,-0.473349740418,-0.5483988606669999,-0.5329703568949999,-0.517157412444,-0.343752500049,-0.542697255507,-0.236725355623,-0.542418601971,-0.609419704695,-0.41161258450099997,-0.49875715129500003,-0.441729912711,-0.462897511769,-0.544354027539,-0.36200520566699995,-0.322861478026,-0.406543734723,-0.37872209414700003,-0.335313633098,-0.291068240303,-0.0026346391826199997,-0.260875040037,-0.425353012034,-0.253224909679,-0.029657781983699998,-0.0176606078802,-0.039338773265900004,-0.250663265904,-0.259779450762,-0.236662295665,-0.396967358205,-0.298628318593,-0.396557095354,-0.23279643052700003,-0.610845361994,-0.330414872418,-0.282071467833,-0.329912970911,-0.524141588725,-0.624353067262,-0.413515952089,-0.199240393427,-0.522346635906,-0.240696853101,-0.497880153486,-0.4525888337100001,-0.236199312315,-0.364880106416,-0.44216252085100005,-0.39528130117,-0.328866321928,-0.591647183309,-0.15639524505000002,-0.5053249766,-0.44684947092200006,-0.445851972064,-0.377902246844,-0.394926614172,-0.233990618555,-0.176708910868,-0.487551227905,-0.24221836298500002,-0.23721068820799998,-0.194720367872,-0.35102907556699997,-0.567092133948,-0.254936237868,-0.034172674827900006,-0.209453024648
ATL1,-0.589119285797,-0.512787302814,-0.470178604736,-0.459651392506,-0.556379683821,-0.507320373389,-0.43321782691699995,-0.453043050072,-0.5605210792409999,-0.658587296295,-0.470201167222,-0.597250305397,-0.491038771581,-0.446905889964,-0.531062109675,-0.666096234963,-0.608520706822,-0.609310282725,-0.464380347109,-0.545532713444,-0.499300952938,-0.513850798029,-0.486945505395,-0.5453687805449999,-0.471479337354,-0.544107574974,-0.290210071517,-0.5751104548120001,-0.530882627896,-0.5526133551269999,-0.321906285724,-0.49463820228699995,-0.295279441232,-0.519437269643,-0.546367126755,-0.573246653337,-0.590588143275,-0.62614568868,-0.494281716654,-0.502398726276,-0.578175745942,-0.556504641827,-0.571611175533,-0.580854142981,-0.565079712256,-0.610464045393,-0.528693524482,-0.475139498971,-0.589756904824,-0.5263370193779999,-0.562840467133,-0.591644681115,-0.555551318296,-0.571036083433,-0.548600092963,-0.371845344717,-0.472784972483,-0.573406389337,-0.514395699658,-0.285020643855,-0.24937698844300002,-0.279895073475,-0.532141395692,-0.54193667526,-0.46317325078500005,-0.400682670375,-0.534796166763,-0.5023403835970001,-0.5514865569749999,-0.643618420809,-0.606663454536,-0.501147821021,-0.572665464948,-0.486222423839,-0.541510438051,-0.48928032422300005,-0.438039671648,-0.573794647918,-0.481731358319,-0.49678446323700004,-0.51443368845,-0.510852189737,-0.524747672486,-0.496539081183,-0.506046515301,-0.561465333597,-0.5374507653239999,-0.396481428965,-0.54537459723,-0.576261257735,-0.584590431696,-0.497056260026,-0.569448292576,-0.587989177882,-0.461462195944,-0.567986924732,-0.6146489960329999,-0.520414966874,-0.352876394921,-0.524902411022,-0.621376275394,-0.546418948544,-0.160369385712,-0.498666266541
BAK1,-0.621657578235,-0.570513368445,-0.385466413624,-0.556379683821,-0.474797030309,-0.20443136797000003,-0.40851559823,-0.433469711672,-0.545663117232,-0.573013901821,-0.5356571225819999,-0.40742737347900004,-0.467776475793,-0.46266923770499996,-0.468830625369,-0.509023166334,-0.5373708268990001,-0.663009696715,-0.497691007831,-0.535310004836,-0.31435099910799996,-0.47103842283799996,-0.447212134084,-0.524142650879,-0.40386591193099997,-0.533090257759,-0.415110743445,-0.586325118275,-0.533038095708,-0.320751509721,-0.291673882619,-0.585805914127,-0.17408173730700002,-0.485907639409,-0.501525900374,-0.5912187624840001,-0.557428207485,-0.576953351126,-0.645223037725,-0.522971587622,-0.6729428842749999,-0.595324439985,-0.43977034348399996,-0.7388039870379999,-0.503278515095,-0.583481351321,-0.520993819927,-0.522218789439,-0.595729210455,-0.327945105894,-0.534136007449,-0.627336651216,-0.556507218886,-0.451302687345,-0.562445309652,-0.110572466179,-0.411788385314,-0.606934019067,-0.465934628895,-0.381757740792,-0.334494802325,-0.389548040569,-0.485676853273,-0.421840548921,-0.5818150559449999,-0.554523456843,-0.436977674091,-0.583768856403,-0.477970257385,-0.736793206514,-0.636558719407,-0.549758401194,-0.467214738623,-0.5765473645570001,-0.498706782711,-0.554240157542,-0.327836573679,-0.46807854541199995,-0.41239405475199997,-0.5309295715860001,-0.5523465677889999,-0.5008694913989999,-0.369158466644,-0.47528024313100004,-0.433756976003,-0.597554634716,-0.5982400402179999,-0.377905392746,-0.559334395901,-0.472154995573,-0.608700069909,-0.518835371801,-0.5650545145310001,-0.504307281934,-0.26975198090999997,-0.460733634761,-0.468687519419,-0.48678383156099997,-0.501991387009,-0.469509478156,-0.645915006365,-0.298639357305,-0.450113018435,-0.465204684345
BCL2L11,-0.428988171034,-0.45903963281099996,-0.272838979276,-0.507320373389,-0.20443136797000003,-0.19967586670899998,-0.224054426575,-0.290526923134,-0.29593686112100004,-0.574719703864,-0.397056537157,-0.318572663923,-0.301393161733,-0.271792357018,-0.46303540509999996,-0.567352451117,-0.43042505645499995,-0.5462791771109999,-0.294286409492,-0.44110241782799997,-0.202965256736,-0.369725478915,-0.326764671193,-0.220628577711,-0.329065691233,-0.46778635485,-0.0943228510143,-0.456073929072,-0.41468262823700003,-0.196191854166,-0.0323549658215,-0.35789135155,-0.19360594093400002,-0.372407239124,-0.313892296305,-0.375759499269,-0.411476399388,-0.363744912913,-0.392017800503,-0.271305197051,-0.49128559058700005,-0.313497773649,-0.40735364064199997,-0.655307912768,-0.304993059652,-0.6353635985849999,-0.392662822896,-0.409774182112,-0.516027870884,-0.47514737900700005,-0.297700780817,-0.43869900271300005,-0.516355953752,-0.39126512036399996,-0.24612089695099998,0.16019378462300002,-0.240008103435,-0.315606098409,-0.237561709362,-0.0878621316364,-0.097512211389,-0.021538422278400002,-0.162481958566,-0.24209090442200001,-0.250145877322,-0.44454614257200004,-0.2059891889,-0.381986225027,-0.21909306376200002,-0.604158404542,-0.30766870072299995,-0.345785146163,-0.251651763447,-0.515298050259,-0.37465004820299996,-0.468123613287,-0.239474835929,-0.37495209269599994,-0.32626236719,-0.544885273454,-0.353902658156,-0.23682584135899998,-0.21982783618500001,-0.42208008674999997,-0.32109087281,-0.3604174124,-0.528666861731,-0.184481882522,-0.429857599079,-0.423893067396,-0.41321256236500004,-0.274153190288,-0.386428131711,-0.376798839903,-0.109513581384,-0.5893856932320001,-0.242150813158,-0.300173160634,-0.384887159079,-0.24651663484,-0.492597782082,-0.253283217806,0.00027610671727599996,-0.126412297747
BCORL1,-0.399750164639,-0.418626347998,-0.245965012121,-0.43321782691699995,-0.40851559823,-0.224054426575,-0.145392604062,-0.15443294397,-0.23041039380800002,-0.5998702629379999,-0.296674308816,-0.25596688980099996,-0.30396276458,-0.271092048506,-0.40840410242499997,-0.7748641635600001,-0.458233744609,-0.45858348525700005,-0.15916960733899999,-0.423003446887,-0.22257347261799998,-0.359799367922,-0.125763822669,-0.20108939704,-0.568217732681,-0.36304605675499996,0.011854786950999998,-0.307948775341,-0.383642412183,-0.250324320477,-0.045075096235800007,-0.278915429206,-0.331572168203,-0.17923066344500002,-0.301646864837,-0.442167633112,-0.39750308655100003,-0.488107706835,-0.49699087326200003,-0.19656570571499998,-0.5491370692149999,-0.150855266069,-0.420870239153,-0.630094582149,-0.32569848874400004,-0.57758969164,-0.35101564950099995,-0.416094068523,-0.583379693637,-0.23779475420899998,-0.226299606024,-0.41020709944899997,-0.404937385929,-0.298374998526,-0.243980700107,0.07965362069889999,-0.198483673703,-0.282937832959,-0.158918063332,-0.013009031784000001,0.05955314416659999,0.05986126461,-0.118495201226,-0.175861958506,-0.24058601959800002,-0.334492779199,-0.24426148989799998,-0.389205282517,-0.216341808965,-0.596997418259,-0.253209930609,-0.270037881532,-0.351266996567,-0.572455770011,-0.548625486379,-0.48587245526100004,-0.177915278587,-0.381359769283,-0.211264834124,-0.47277720669,-0.287228200405,-0.157398425121,-0.166197413973,-0.311550379466,-0.225028073149,-0.261354729969,-0.46910037821500006,-0.147259274636,-0.409956717636,-0.479689505207,-0.46151240575499997,-0.205485829281,-0.182485253406,-0.206844150236,-0.1002785263,-0.692838830074,-0.19180977873399999,-0.20854081444800002,-0.256836434388,-0.254375791304,-0.47933389693499995,-0.155543393433,0.0902320675733,-0.196620165774
BPGM,-0.332309307139,-0.477573191046,-0.325240303541,-0.453043050072,-0.433469711672,-0.290526923134,-0.15443294397,-0.263597025354,-0.24127040132,-0.576053596267,-0.319302708969,-0.316894650235,-0.273057861272,-0.330192840225,-0.472936841957,-0.7586863523340001,-0.47331604276699996,-0.439427408762,-0.17656777383400002,-0.37642182002400004,-0.242489197682,-0.410323834753,-0.26801086516999995,-0.208104446213,-0.506879534225,-0.36961031584299997,-0.0336864973633,-0.30489587323600004,-0.41548953608499994,-0.21381408247699998,-0.113146326206,-0.20425619968800002,-0.216885711608,-0.193617732149,-0.313101246479,-0.367385302406,-0.337694379754,-0.40189513013899997,-0.429588118605,-0.22032539957199998,-0.484301726739,-0.263547717485,-0.43944290617700005,-0.5721067383039999,-0.299350706244,-0.526627232838,-0.39209722459,-0.407543432042,-0.571536531615,-0.32952790008,-0.29690524761500003,-0.45842116007100003,-0.408368654777,-0.289396240443,-0.251877868279,0.0292467067032,-0.27838539244000005,-0.356611379198,-0.23371416344700002,-0.026441187085799997,-0.0030727304818199998,0.027541105896,-0.190693530477,-0.203256493021,-0.21028787851599998,-0.263109271095,-0.252211185333,-0.394461915458,-0.19621327273800002,-0.554343249795,-0.179612665756,-0.232725711842,-0.28950589013300004,-0.547829522896,-0.525169745303,-0.43426048681,-0.266718513537,-0.342878022368,-0.22853082391600002,-0.437396825169,-0.280932457907,-0.191376002674,-0.224376490571,-0.356617644469,-0.37764558397,-0.300667917525,-0.514269281502,-0.161558849164,-0.382492977047,-0.41988015151,-0.317654613293,-0.205983879322,-0.26240896384,-0.27379459078,-0.11929801330499999,-0.66925274331,-0.22840609949000001,-0.31322755513,-0.330976453004,-0.27221816851,-0.542081020288,-0.301230785845,0.040432227040400004,-0.198739024219
CBARP,-0.43041206944300003,-0.481988665054,-0.362616177387,-0.5605210792409999,-0.545663117232,-0.29593686112100004,-0.23041039380800002,-0.24127040132,-0.18504978303,-0.647271364652,-0.345325681757,-0.32923017938,-0.392475671807,-0.387329561321,-0.43277356176299997,-0.705762010376,-0.586115855704,-0.5550438914720001,-0.179654592938,-0.41985885099500003,-0.316340599502,-0.458760245546,-0.258252000059,-0.299630914307,-0.525034795178,-0.488847655457,-0.0366322787744,-0.463313114138,-0.589507624271,-0.284767985853,-0.10543994638399999,-0.20157769722199997,-0.265608621547,-0.24089773777399998,-0.484453721318,-0.535317020633,-0.537172153692,-0.5298833637,-0.488212415146,-0.256578798801,-0.540870339976,-0.256140498616,-0.5100406727619999,-0.624479302925,-0.391548197127,-0.627370058928,-0.41998862952699995,-0.518637553102,-0.598074848363,-0.290600312117,-0.351625669455,-0.539805735048,-0.5099651860050001,-0.334845353893,-0.27995734223200003,-0.146116088186,-0.293108018985,-0.326083811678,-0.26039843035300003,-0.06702997125389999,-0.024883856159700003,-0.0316976465301,-0.27515573036400004,-0.295949806175,-0.24835450520100003,-0.172125982148,-0.349503878398,-0.443284028025,-0.266215375252,-0.610752398147,-0.321505280132,-0.289006271371,-0.510172518552,-0.657221548466,-0.6464791429410001,-0.457599544722,-0.230952430292,-0.47482058598899995,-0.220501050534,-0.5688040079819999,-0.396716606928,-0.21104769309000002,-0.40666516300399996,-0.403840791162,-0.309766522507,-0.499479857042,-0.6747190935430001,-0.120936779716,-0.586941791984,-0.521749598624,-0.41525850341700005,-0.34605659503499997,-0.40891055482699995,-0.35588362352200004,-0.16860449098299998,-0.65290573982,-0.275176599201,-0.28495861753400004,-0.266473501763,-0.306741493925,-0.660260668124,-0.328032561715,0.056934885487800006,-0.290050531447
FOXL2NB,-0.623957664598,-0.583524660971,-0.618214948124,-0.658587296295,-0.573013901821,-0.574719703864,-0.5998702629379999,-0.576053596267,-0.647271364652,-0.524765366332,-0.659519991849,-0.56436408612,-0.573807532353,-0.489272660491,-0.548596552052,-0.766584262113,-0.640887568025,-0.700582130123,-0.622524597882,-0.648728186945,-0.625225295451,-0.680222648167,-0.495859015321,-0.704181940571,-0.554768250023,-0.588469401808,-0.41532235688600005,-0.691245287307,-0.587360529286,-0.635863046021,-0.545124603191,-0.697647223392,-0.21313553879799998,-0.5334950036630001,-0.629039511499,-0.66081774126,-0.629203457221,-0.442100865818,-0.647071837355,-0.640629677555,-0.577217869449,-0.519129349821,-0.643795957558,-0.583744714781,-0.678309348907,-0.601566899336,-0.583428023148,-0.562977429579,-0.667896504647,-0.46374850253899996,-0.678410374556,-0.584886531595,-0.647929866308,-0.650608267734,-0.629703873259,-0.581475760075,-0.6079948171339999,-0.5908393081059999,-0.5983745416049999,-0.519788639201,-0.46090303920599995,-0.503799923221,-0.6792267438099999,-0.641665286491,-0.586718480218,-0.586138588248,-0.602308840714,-0.673833535519,-0.648237493658,-0.6978694268150001,-0.671046545456,-0.622501495748,-0.5786701917539999,-0.643674773992,-0.573658820304,-0.48414961815700003,-0.49747272320299996,-0.7392908773129999,-0.583246017896,-0.561508554916,-0.663514199982,-0.639506754228,-0.6138304614019999,-0.589245179676,-0.420411306679,-0.659051637464,-0.6718327277339999,-0.547541183913,-0.6791709131,-0.637017777708,-0.683947769754,-0.58261537023,-0.626202588731,-0.5531405005910001,-0.560041464595,-0.645689002659,-0.623639301044,-0.635750942399,-0.5884770079199999,-0.590972407832,-0.6177577856350001,-0.589023298149,-0.45347472435099995,-0.642630943071
