guide_target,average_fitness,chosen_guide_fitness
AHR,-0.325256968889,-0.33158748110999997
ARID1A,-0.310981635368,-0.41170972874399997
ARRDC3,-0.12351600753855,-0.149085426842
ATL1,-0.413196533533,-0.459068855788
BAK1,-0.40358435302750006,-0.413685938254
BCL2L11,-0.10880249944190001,-0.146784973787
BCORL1,-0.05461453275619999,-0.09460306075089998
BCR,-0.005324088941949998,
BPGM,-0.118120618938,-0.139296502951
CBARP,-0.12358095034194999,-0.16337801850199998
CBFA2T3,-0.160668082404,-0.185163564002
CBL,-0.121284476273,-0.122512520509
CDKN1A,-0.2288907438965,-0.288498240001
CDKN1B,-0.258314552782,-0.270216640642
CDKN1C,-0.3201557995885,-0.39821702438900003
CEBPA,-0.6560022795939999,-0.731820936056
CEBPB,-0.3111930909985,-0.46215695452
CEBPE,-0.40393035086749995,-0.498322075369
CELF2,-0.07375986835862,-0.14023297444
CITED1,-0.1955471598244,-0.341754600285
CKS1B,-0.163245635104,-0.163245635104
CLDN6,-0.256750064722,-0.302748543835
CNN1,-0.09770986612915,-0.0984339867021
CNNM4,-0.134964598495,-0.16888585289500002
COL1A1,-0.450200220563,-0.519392351776
COL2A1,-0.34329917164,-0.356346932063
CSRNP1,0.09034548834045,0.09224211738230001
DLX2,-0.1985056919065,-0.262070276627
DUSP9,-0.33205386002049997,-0.33603787897
EGR1,-0.12213915463639999,-0.177090618879
ELMSAN1,0.0363236090397,0.04356676230769999
ETS2,-0.123139654297,-0.143249271288
FEV,-0.168077125293,-0.16425289473899998
FOSB,-0.1464188749585,-0.152158762656
FOXA1,-0.23262982483649997,-0.27965900690699996
FOXA3,-0.23689741745300003,-0.35390153261600005
FOXF1,-0.216387937648,-0.324847554381
FOXL2,-0.254307044529,-0.375045686364
FOXL2NB,-0.503967624945,-0.537680719969
FOXO4,-0.42854010940699994,-0.43459056893799997
GCH1,0.023090364597489997,
GLB1L2,-0.07379064728580001,-0.12956106898800002
HES7,-0.312858520736,-0.467859920882
HK2,-0.09053067002840001,-0.0963254357416
HNF4A,-0.366638290686,-0.43701455123800004
HOXA13,-0.5265396145065,-0.626584212042
HOXB9,-0.168293996892,-0.226982820609
HOXC13,-0.46311378812900006,-0.507428370202
IER5L,-0.33839226876649997,-0.337726325241
IGDCC3,-0.273535983222,-0.299919353156
IKZF3,-0.437648444613,-0.475278776316
IRF1,-0.13037393694340002,-0.211635418984
ISL2,-0.143893277842,-0.13511393795600002
JUN,-0.2641945740155,-0.35136859312
KIF18B,-0.2182855612705,-0.235315247064
KIF2C,-0.1030815738074,-0.154098784713
KLF1,0.143951092615,0.155925787409
KMT2A,-0.08582617092440001,-0.102720940374
LHX1,-0.1963629441915,-0.21093986333599998
LYL1,-0.07787328559045,-0.0967393248793
MAML2,0.06080807986395001,0.062019866028000005
MAP2K3,0.06621869839685,0.119417424886
MAP2K6,0.07651905052614999,0.0927923808406
MAP4K3,-0.11617945636990001,-0.07925933845580001
MAP4K5,-0.08666692215405,-0.101906633934
MAP7D1,-0.1069903363002,-0.118334336988
MAPK1,-0.10852994850594999,-0.202067900393
MCOLN3,-0.021035216772725,
MEIS1,-0.127397787868,-0.130894442292
MIDN,-0.268205580126,-0.335927832154
NCL,-0.0955066763632,-0.0977817928332
NIT1,-0.42872472673400003,-0.568357120246
OSR2,-0.1371134334247,-0.209672303696
PEG10,-0.1249067198245,
PIK3CB,-0.16065055478544998,
PLEKHO2,-0.30276268271850004,
PLK4,-0.12574127272354998,-0.203735580402
POU3F2,-0.20198493303850001,-0.217295498268
PRDM1,-0.45055446075399996,-0.487249509423
PRTG,-0.3032056229015,-0.386728391338
PTPN1,-0.2632920621055,-0.324533349861
PTPN12,-0.07060535051865,-0.08303419258019999
PTPN13,-0.17202191333119998,-0.333692189067
PTPN9,-0.09368920651320001,-0.113079151608
RHOXF2B,-0.357056360748,-0.395499413151
RP5-862P8.2,-0.2775915045765,-0.315948917137
RREB1,-0.20870916775749998,-0.27661059991799997
RUNX1T1,-0.06595194131465,-0.0699694342769
S1PR2,-0.16416379104450002,-0.187242871809
SAMD1,-0.24488342037500002,-0.30451849489300004
SET,-0.180733756213,-0.23831199642700002
SGK1,-0.1251595997719,-0.220131876802
SLC38A2,0.023410592764449997,
SLC4A1,-0.403244083313,-0.474995822196
SLC6A9,-0.0537270546415,-0.058486063937999995
SNAI1,-0.24739262825000002,-0.330442402349
SPI1,-0.447909825456,-0.467283530532
STIL,-0.23821271839199998,-0.35680173351899996
TBX2,-0.050471380888100006,-0.12024178814200001
TBX3,-0.0901566275203,-0.14891661136
TGFBR2,-0.045938259845500005,-0.05808853747880001
TMEM173,-0.014928426895819998,
TMSB4X,-0.043091765166849996,-0.0481952717376
TP73,-0.58438583693,-0.591033445199
TSC22D1,-0.08346608425344999,-0.0950653796884
UBASH3A,-0.080910216138,-0.09492064435049999
UBASH3B,-0.11227664743499999,-0.11728216306299999
ZBTB1,-0.1485497090673,-0.19989145910300002
ZBTB10,-0.41126783306799997,-0.496542029195
ZBTB25,-0.0658019989079,-0.109068361848
ZC3HAV1,0.10189730819795,0.11816438364399999
ZNF318,-0.0476286403247,-0.0657639296202
negative,-0.008217998637506822,
